analysis_set,scale_seconds,train_split,test_split,feature_set,classifier,selection_metric,cv_folds,best_c,cv_macro_f1,input_dimensions,retained_dimensions,n_train,n_validation,balanced_accuracy,macro_f1,macro_auroc_ovr,macro_auprc,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high
primary_validation_180,180,discovery,validation,acoustic,L2 multinomial logistic regression,macro_f1,5,10.0,0.9709601735762092,308,308,416,139,0.935337552742616,0.9405220367993153,0.9951476793248946,0.9951351658112921,0.8936708860759495,0.975,0.9019054340155258,0.9778627169931517
primary_validation_180,180,discovery,validation,modulation,L2 multinomial logistic regression,macro_f1,5,1.0,0.8328669198995673,18,18,416,139,0.8680379746835443,0.8680379746835443,0.9044303797468354,0.884397173783076,0.8053797468354431,0.9223628691983122,0.8076841209025116,0.9198006818777865
primary_validation_180,180,discovery,validation,topology,L2 multinomial logistic regression,macro_f1,5,0.01,0.9734837107417406,80,78,416,139,0.9083333333333333,0.9169969057054449,0.9888185654008439,0.9896937876850774,0.8583333333333334,0.95,0.8689042995839111,0.9553915275994864
primary_validation_180,180,discovery,validation,acoustic_modulation,L2 multinomial logistic regression,macro_f1,5,10.0,0.9758259133813063,326,326,416,139,0.9436708860759494,0.9480928247532676,0.9953586497890294,0.9954525223274546,0.9020042194092828,0.9790084388185654,0.9097402597402597,0.9780491656577355
primary_validation_180,180,discovery,validation,all,L2 multinomial logistic regression,macro_f1,5,0.1,0.9903425559215926,406,404,416,139,0.9666666666666667,0.9704129416773095,0.9997890295358649,0.9997842740540914,0.9333333333333333,0.9916666666666667,0.9401893287435457,0.9926536652396808
sensitivity_validation_300,300,discovery,validation,acoustic,L2 multinomial logistic regression,macro_f1,5,1.0,0.9782362715501192,308,308,416,139,0.9520042194092827,0.9556194125159643,0.9955696202531645,0.9955409992472903,0.9123417721518987,0.985387658227848,0.9179941002949852,0.9853389394810074
sensitivity_validation_300,300,discovery,validation,modulation,L2 multinomial logistic regression,macro_f1,5,1.0,0.8375206154343149,18,18,416,139,0.8847046413502109,0.8831441782261454,0.9168776371308016,0.9024306268718862,0.8283755274261604,0.9373839662447258,0.8258145363408521,0.9345882352941177
sensitivity_validation_300,300,discovery,validation,topology,L2 multinomial logistic regression,macro_f1,5,0.1,0.9879375772397653,80,78,416,139,0.925,0.9325133516750284,0.989662447257384,0.9904346880701107,0.875,0.9666666666666667,0.8852188274153592,0.9704129416773095
sensitivity_validation_300,300,discovery,validation,acoustic_modulation,L2 multinomial logistic regression,macro_f1,5,10.0,0.97822904633272,326,326,416,139,0.9603375527426161,0.9631045283219197,0.9964135021097047,0.9964516228417583,0.9206249999999999,0.9874498945147677,0.9256421488724014,0.9855745383523034
sensitivity_validation_300,300,discovery,validation,all,L2 multinomial logistic regression,macro_f1,5,10.0,0.992764852725912,406,404,416,139,0.9666666666666667,0.9704129416773095,0.9995780590717299,0.9995719535055211,0.9333333333333333,0.9916666666666667,0.9401893287435457,0.9926536652396808
