track_id,group,source_dataset,source_track_id,title,creator,artist_key,album_key,composer_key,subpool,duration_seconds,source_url,download_url,license_type,license_url,instrumental_evidence,split,relative_path,sha256,download_status,downloaded_at,error
classical_musopen_12be103565ed,classical,musopen-lossless-dvd,"Musopen DVD (lossless)/Goldberg Variations/Goldberg Variations, BWV 988 - Aria Da Capo.m4a","Goldberg Variations, BWV 988 - Aria Da Capo",Musopen Kickstarter Project performers,,goldberg_variations_bwv_988,bach,piano_solo,339.973,https://archive.org/details/musopen-lossless-dvd,https://archive.org/download/musopen-lossless-dvd/Musopen-Lossless-DVD.zip/Musopen%20DVD%20%28lossless%29%2FGoldberg%20Variations%2FGoldberg%20Variations%2C%20BWV%20988%20-%20Aria%20Da%20Capo.m4a,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/,curated Musopen piano_solo,discovery,classical_music/classical_musopen_12be103565ed.m4a,efbddeea533b4972d96597f9db831f3885731e6e7c35ea3f43306987ce20092c,verified,2026-07-16,
classical_musopen_39eaf7f62acd,classical,musopen-lossless-dvd,"Musopen DVD (lossless)/Goldberg Variations/Goldberg Variations, BWV 988 - Aria.m4a","Goldberg Variations, BWV 988 - Aria",Musopen Kickstarter Project performers,,goldberg_variations_bwv_988,bach,piano_solo,292.427,https://archive.org/details/musopen-lossless-dvd,https://archive.org/download/musopen-lossless-dvd/Musopen-Lossless-DVD.zip/Musopen%20DVD%20%28lossless%29%2FGoldberg%20Variations%2FGoldberg%20Variations%2C%20BWV%20988%20-%20Aria.m4a,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/,curated Musopen piano_solo,discovery,classical_music/classical_musopen_39eaf7f62acd.m4a,659a6c751cffb1dfc3f46fcbf8b3ba26da79fcd045e3d055e6db4d09f051f3e8,verified,2026-07-16,
classical_musopen_5b78471c4c9d,classical,musopen-lossless-dvd,"Musopen DVD (lossless)/Goldberg Variations/Goldberg Variations, BWV. 988 - Variation 1.m4a","Goldberg Variations, BWV. 988 - Variation 1",Musopen Kickstarter Project performers,,goldberg_variations_bwv_988,bach,piano_solo,114.000,https://archive.org/details/musopen-lossless-dvd,https://archive.org/download/musopen-lossless-dvd/Musopen-Lossless-DVD.zip/Musopen%20DVD%20%28lossless%29%2FGoldberg%20Variations%2FGoldberg%20Variations%2C%20BWV.%20988%20-%20Variation%201.m4a,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/,curated Musopen piano_solo,discovery,classical_music/classical_musopen_5b78471c4c9d.m4a,3ded89d2082a53a3c19edfed6e97e9dbad68179d7217f56d31acd2b53d19d482,verified,2026-07-16,
classical_musopen_9887c7fd8762,classical,musopen-lossless-dvd,"Musopen DVD (lossless)/Goldberg Variations/Goldberg Variations, BWV. 988 - Variation 10. Fughetta.m4a","Goldberg Variations, BWV. 988 - Variation 10. Fughetta",Musopen Kickstarter Project performers,,goldberg_variations_bwv_988,bach,piano_solo,86.640,https://archive.org/details/musopen-lossless-dvd,https://archive.org/download/musopen-lossless-dvd/Musopen-Lossless-DVD.zip/Musopen%20DVD%20%28lossless%29%2FGoldberg%20Variations%2FGoldberg%20Variations%2C%20BWV.%20988%20-%20Variation%2010.%20Fughetta.m4a,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/,curated Musopen piano_solo,discovery,classical_music/classical_musopen_9887c7fd8762.m4a,7828d2db8352aa67b6b2bb75cd2f5cb756f3257959d8ec4c10c055b0392bae31,verified,2026-07-16,
classical_musopen_c678e65ee624,classical,musopen-lossless-dvd,"Musopen DVD (lossless)/Goldberg Variations/Goldberg Variations, BWV. 988 - Variation 11.m4a","Goldberg Variations, BWV. 988 - Variation 11",Musopen Kickstarter Project performers,,goldberg_variations_bwv_988,bach,piano_solo,94.760,https://archive.org/details/musopen-lossless-dvd,https://archive.org/download/musopen-lossless-dvd/Musopen-Lossless-DVD.zip/Musopen%20DVD%20%28lossless%29%2FGoldberg%20Variations%2FGoldberg%20Variations%2C%20BWV.%20988%20-%20Variation%2011.m4a,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/,curated Musopen piano_solo,discovery,classical_music/classical_musopen_c678e65ee624.m4a,d228ee97eb776077af367e46a4cbf8649c31c96ade354183a86f054def6dfd63,verified,2026-07-16,
classical_musopen_d95ec9d17c06,classical,musopen-lossless-dvd,"Musopen DVD (lossless)/Goldberg Variations/Goldberg Variations, BWV. 988 - Variation 12. Canon on the fourth.m4a","Goldberg Variations, BWV. 988 - Variation 12. Canon on the fourth",Musopen Kickstarter Project performers,,goldberg_variations_bwv_988,bach,piano_solo,153.200,https://archive.org/details/musopen-lossless-dvd,https://archive.org/download/musopen-lossless-dvd/Musopen-Lossless-DVD.zip/Musopen%20DVD%20%28lossless%29%2FGoldberg%20Variations%2FGoldberg%20Variations%2C%20BWV.%20988%20-%20Variation%2012.%20Canon%20on%20the%20fourth.m4a,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/,curated Musopen piano_solo,discovery,classical_music/classical_musopen_d95ec9d17c06.m4a,aada1be0d9c33b81f30285fb40ad3bb118474ce03a8f1e0e5ac16767d05e9356,verified,2026-07-16,
classical_musopen_5f1728c240a1,classical,musopen-lossless-dvd,"Musopen DVD (lossless)/Goldberg Variations/Goldberg Variations, BWV. 988 - Variation 13.m4a","Goldberg Variations, BWV. 988 - Variation 13",Musopen Kickstarter Project performers,,goldberg_variations_bwv_988,bach,piano_solo,338.840,https://archive.org/details/musopen-lossless-dvd,https://archive.org/download/musopen-lossless-dvd/Musopen-Lossless-DVD.zip/Musopen%20DVD%20%28lossless%29%2FGoldberg%20Variations%2FGoldberg%20Variations%2C%20BWV.%20988%20-%20Variation%2013.m4a,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/,curated Musopen piano_solo,discovery,classical_music/classical_musopen_5f1728c240a1.m4a,890a036edf7e7eec39a91aab879eeab69ee0e8518291ad32ba4c358752a23180,verified,2026-07-16,
classical_musopen_26a41c433b68,classical,musopen-lossless-dvd,"Musopen DVD (lossless)/Goldberg Variations/Goldberg Variations, BWV. 988 - Variation 14.m4a","Goldberg Variations, BWV. 988 - Variation 14",Musopen Kickstarter Project performers,,goldberg_variations_bwv_988,bach,piano_solo,121.760,https://archive.org/details/musopen-lossless-dvd,https://archive.org/download/musopen-lossless-dvd/Musopen-Lossless-DVD.zip/Musopen%20DVD%20%28lossless%29%2FGoldberg%20Variations%2FGoldberg%20Variations%2C%20BWV.%20988%20-%20Variation%2014.m4a,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/,curated Musopen piano_solo,discovery,classical_music/classical_musopen_26a41c433b68.m4a,452d5baa6613240c5ac81263ddeca255887113d8fe0786a24cced636ae750963,verified,2026-07-16,
classical_musopen_dc68b3cf3d10,classical,musopen-lossless-dvd,"Musopen DVD (lossless)/Goldberg Variations/Goldberg Variations, BWV. 988 - Variation 15. Canon on the fifth.m4a","Goldberg Variations, BWV. 988 - Variation 15. Canon on the fifth",Musopen Kickstarter Project performers,,goldberg_variations_bwv_988,bach,piano_solo,286.733,https://archive.org/details/musopen-lossless-dvd,https://archive.org/download/musopen-lossless-dvd/Musopen-Lossless-DVD.zip/Musopen%20DVD%20%28lossless%29%2FGoldberg%20Variations%2FGoldberg%20Variations%2C%20BWV.%20988%20-%20Variation%2015.%20Canon%20on%20the%20fifth.m4a,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/,curated Musopen piano_solo,discovery,classical_music/classical_musopen_dc68b3cf3d10.m4a,99c0ca78dac5301d76cc5ab201ed2c1311dd8ebdedc4d5957510d4b63dc06012,verified,2026-07-16,
classical_musopen_67f1921ea1d2,classical,musopen-lossless-dvd,"Musopen DVD (lossless)/Goldberg Variations/Goldberg Variations, BWV. 988 - Variation 16. Overture.m4a","Goldberg Variations, BWV. 988 - Variation 16. Overture",Musopen Kickstarter Project performers,,goldberg_variations_bwv_988,bach,piano_solo,106.267,https://archive.org/details/musopen-lossless-dvd,https://archive.org/download/musopen-lossless-dvd/Musopen-Lossless-DVD.zip/Musopen%20DVD%20%28lossless%29%2FGoldberg%20Variations%2FGoldberg%20Variations%2C%20BWV.%20988%20-%20Variation%2016.%20Overture.m4a,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/,curated Musopen piano_solo,discovery,classical_music/classical_musopen_67f1921ea1d2.m4a,cdd171002625c0fde6c533da7b1bdbff56c2f28978025b5186f970cd65e6210b,verified,2026-07-16,
