segment_id,track_id,group,split,scale_seconds,input_relative_path,input_sha256,acoustic_relative_path,acoustic_sha256,chroma_relative_path,chroma_sha256,rhythm_relative_path,rhythm_sha256,modulation_relative_path,modulation_sha256,structure_relative_path,structure_sha256,sidecar_relative_path,config_sha256,model_sha256,acoustic_windows,pitch_steps,rhythm_windows,modulation_windows,structure_blocks,structure_boundaries,invalid_acoustic_windows,uncertain_pitch_steps,invalid_rhythm_values,invalid_modulation_windows,status,processed_at,error
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1727__180s.wav,22f15111554832202311b7bb62a57d7fece722069ec4e63b530ceddc0562515c,features/acoustic/180s/classical/validation/classical_musicnet_1727__180s.npz,ab1f6cbb1d90f1b91d1164a2c9be79fea710e5272bcf912709b5baa2f786906b,features/chroma/180s/classical/validation/classical_musicnet_1727__180s.npz,8884301f4dd69b5a21a747ffd94008330043143d4dc778499904c96daf1e21cc,features/rhythm/180s/classical/validation/classical_musicnet_1727__180s.npz,1794c54542e26bdcfd736a6bb354d175efe7274c75fbc4bec7766891750696b4,features/modulation/180s/classical/validation/classical_musicnet_1727__180s.npz,5d0cab313d1f52f3c3a804fc761d12b01666ecec65f140f4641a78c326014547,features/structure/180s/classical/validation/classical_musicnet_1727__180s.npz,a58673c5952d89fbf677af0c3291314ae3917c8533d5b1e033595c1150d55ce7,features/manifests/180s/classical/validation/classical_musicnet_1727__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a0dc5f846e8f7121293a9ff7e9386aad9d5c9377b5e76ae48bd67da2d5322b0d,359,354,359,88,8,9,0,59,21,0,transformed,2026-08-02,
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1727__300s.wav,18f8b97aac9fceb4e6dfd4163eacd452b41c1a8ae8182a43915aad7f0a75c2ec,features/acoustic/300s/classical/validation/classical_musicnet_1727__300s.npz,a2ec2985100cbecdafd5f0c23eaccb2d2528ea6cea4a1bc5fec7bb435556acf4,features/chroma/300s/classical/validation/classical_musicnet_1727__300s.npz,a34d940fb8271b5029aef2dba005c8542fb280a58d795fe3feace2916f68f876,features/rhythm/300s/classical/validation/classical_musicnet_1727__300s.npz,ebb7d73ecaac2d8bc7c8c7c9959e8e310f60960055cc19c4b0ba7614ef641427,features/modulation/300s/classical/validation/classical_musicnet_1727__300s.npz,095dfb563265c75b0ccf95dfec04faa5e5764b5393b38be8885b13696ac2a417,features/structure/300s/classical/validation/classical_musicnet_1727__300s.npz,c2ee2bc6faf17b0d931cc1f4317820868f9dd107b0bb6b6749a41e503b06ee56,features/manifests/300s/classical/validation/classical_musicnet_1727__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a0dc5f846e8f7121293a9ff7e9386aad9d5c9377b5e76ae48bd67da2d5322b0d,599,592,599,148,12,13,0,98,39,0,transformed,2026-08-02,
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1728__180s.wav,db9c30ad604ce16aaca3e4dc4e00fd940d431a548cd75176788d83cabd202bf5,features/acoustic/180s/classical/validation/classical_musicnet_1728__180s.npz,172ed132babb65fec3c6316fa0693228e1fdb86a85fc6f8f187d3214c662cc71,features/chroma/180s/classical/validation/classical_musicnet_1728__180s.npz,c2781d2575f38a504b6b6d3c1d0f2ae6ce01c6357d090d442595a3f8fabc6408,features/rhythm/180s/classical/validation/classical_musicnet_1728__180s.npz,d9bc2339a1406a37a0f8ab7ea4aa8153c8da334db946760f8528478628d82b8d,features/modulation/180s/classical/validation/classical_musicnet_1728__180s.npz,eddafd403a92a27584a1c0f1e5532377e6fb14c5e6c9828e310da83a8a0b50f4,features/structure/180s/classical/validation/classical_musicnet_1728__180s.npz,c789265b2ab281969c222bb1297b9ba02cacdb441d767e29bbdc0277a29712a2,features/manifests/180s/classical/validation/classical_musicnet_1728__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a0dc5f846e8f7121293a9ff7e9386aad9d5c9377b5e76ae48bd67da2d5322b0d,359,317,359,88,6,7,0,59,124,0,transformed,2026-08-02,
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1728__300s.wav,82bfd44e0e348fbd2953b62d37b544939be63356c21582ad0892d320ac39d00c,features/acoustic/300s/classical/validation/classical_musicnet_1728__300s.npz,02a9fd698c5006bae343635cd3b021b88096460494fedae3661b079dd74f3ea8,features/chroma/300s/classical/validation/classical_musicnet_1728__300s.npz,25c6fe668f7cafdf314e358df6e41eb859b5c40c8d1c66a18e742ac478675ad5,features/rhythm/300s/classical/validation/classical_musicnet_1728__300s.npz,bbdd3709fef24fa0066b3317ce94ad9c0b581c6af4d0047a85ee0c21b84ab2e1,features/modulation/300s/classical/validation/classical_musicnet_1728__300s.npz,c1da96cb7085e3fd81a2f21164a800f7d142c3b68b668a1f023a2f0ef9ccdb68,features/structure/300s/classical/validation/classical_musicnet_1728__300s.npz,0fc073d2548e49c7c7265e363c61b5e08370d8c23ff2316c67c006d56233649f,features/manifests/300s/classical/validation/classical_musicnet_1728__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a0dc5f846e8f7121293a9ff7e9386aad9d5c9377b5e76ae48bd67da2d5322b0d,501,437,501,124,11,12,0,86,179,0,transformed,2026-08-02,
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1729__180s.wav,d2bd318c578ee957974a2670c78423c0a62a3e957a84f0372517407eb45cba86,features/acoustic/180s/classical/validation/classical_musicnet_1729__180s.npz,728c252b5e8226269c43a087f754e8ad89b43c496f8ff411c1b7dde06079e697,features/chroma/180s/classical/validation/classical_musicnet_1729__180s.npz,336746980dfccd4efd9eed7b01807832a3c3b1a45cc75fb84ee0aee408c9c5cf,features/rhythm/180s/classical/validation/classical_musicnet_1729__180s.npz,f3e55f33420a785e784780e5dd501ffcf85b60a284aee055a3e6b81b46d16f32,features/modulation/180s/classical/validation/classical_musicnet_1729__180s.npz,436ed558d0442eb8454ad25275afb4b3486f47c2129798df5cc45e0d83646c32,features/structure/180s/classical/validation/classical_musicnet_1729__180s.npz,87b853886f9cfcb5c002e926c32740acc27ed97f6ee7edcb0bb52cc0968896ab,features/manifests/180s/classical/validation/classical_musicnet_1729__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a0dc5f846e8f7121293a9ff7e9386aad9d5c9377b5e76ae48bd67da2d5322b0d,359,391,359,88,10,11,0,90,43,0,transformed,2026-08-02,
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1729__300s.wav,35820627bb2ec7e70f2caa2004ad6f5be95f83c63d74b9f4489be58612993d2c,features/acoustic/300s/classical/validation/classical_musicnet_1729__300s.npz,64cfe55d5e6d62a7f003c0c2a97a42866455d43d093f6674482b9fe7c764dd1e,features/chroma/300s/classical/validation/classical_musicnet_1729__300s.npz,fcc249131acdc43b0914c87ca2380a00b02f43a6a5474d3784f85844765fa0c2,features/rhythm/300s/classical/validation/classical_musicnet_1729__300s.npz,7d3ddf6e7470400abd4f1416bad64758c7a44da1a334762091f251a8bd50699b,features/modulation/300s/classical/validation/classical_musicnet_1729__300s.npz,4d9bbf2bd18b42c48309a192efe60c81b058ff97047dc8d875025b82f921a5a6,features/structure/300s/classical/validation/classical_musicnet_1729__300s.npz,46e34665ae3edd74cf535492b214605822210bb6e40535385303d4c393cf0786,features/manifests/300s/classical/validation/classical_musicnet_1729__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a0dc5f846e8f7121293a9ff7e9386aad9d5c9377b5e76ae48bd67da2d5322b0d,599,653,599,148,16,17,0,137,109,0,transformed,2026-08-02,
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1730__180s.wav,671f20925cb59d9aa69e12681672204ebf27ffbbf6f47ca9f98d710e157f8245,features/acoustic/180s/classical/validation/classical_musicnet_1730__180s.npz,5d376570691e6d7b2b8008e4fb9f0ba85d033c491e372ef9afeb7bb90bbd7b0e,features/chroma/180s/classical/validation/classical_musicnet_1730__180s.npz,ad2205423b5eca502ed53e238f7aa0cf5f38fcf9853ac9fafee3f6eb29199b46,features/rhythm/180s/classical/validation/classical_musicnet_1730__180s.npz,50ede003ff15b39a539ae874f839adf498cebbc2479a92ef99a8a0dab2e1a85d,features/modulation/180s/classical/validation/classical_musicnet_1730__180s.npz,cc1cca8b786d19c2c65791ee072888f2349b0d4df8cb390fb8718c41cd9129a1,features/structure/180s/classical/validation/classical_musicnet_1730__180s.npz,f313bbefc50129ae3a8ef3f012199b3d3cb5cd4796188649277ea8718d3a24eb,features/manifests/180s/classical/validation/classical_musicnet_1730__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a0dc5f846e8f7121293a9ff7e9386aad9d5c9377b5e76ae48bd67da2d5322b0d,359,354,359,88,8,9,0,82,89,0,transformed,2026-08-02,
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1730__300s.wav,da5593b3c9d14268ed7524efa50fe5bc617d68b83f8062e1571d89d47ea8985b,features/acoustic/300s/classical/validation/classical_musicnet_1730__300s.npz,61a6dea20d89abd243da25aaeed8e758374f559ff944681bcdbf50b5a97aa27f,features/chroma/300s/classical/validation/classical_musicnet_1730__300s.npz,62f80a89d9773b65cf9cbd13d785d9c2556fc72e9f53710febea8a6c69634cbc,features/rhythm/300s/classical/validation/classical_musicnet_1730__300s.npz,55c9eead3123ba3f8fefaf2bf2e836fef42c16b07b6336329d7e1ab4f11bba75,features/modulation/300s/classical/validation/classical_musicnet_1730__300s.npz,87542a7281144335313345530ac3988f992393c0ae9acc4f3b1224f783a50258,features/structure/300s/classical/validation/classical_musicnet_1730__300s.npz,32a0525c560c21c960d612d4e3dc7d0aee1078437edc059cc0b272d712fdfcc6,features/manifests/300s/classical/validation/classical_musicnet_1730__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a0dc5f846e8f7121293a9ff7e9386aad9d5c9377b5e76ae48bd67da2d5322b0d,599,585,599,148,12,13,0,130,136,0,transformed,2026-08-02,
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1739__180s.wav,6f8e18b6e67b32cafba6afe71d2149510844c24096e473c71d62b89d73820ee7,features/acoustic/180s/classical/validation/classical_musicnet_1739__180s.npz,6cfd9d295a65640c97c85b158f11e0fd02e44bb0d3235868524df2259033a9d2,features/chroma/180s/classical/validation/classical_musicnet_1739__180s.npz,e648406cffaeedc92f4ff1fabf625981f1f32e37d6e217352e01a507c2cf2e05,features/rhythm/180s/classical/validation/classical_musicnet_1739__180s.npz,045b6c1ba8d2db629236ac2f8611f33dba377cdbaf713f0ad93dacbaaee62d03,features/modulation/180s/classical/validation/classical_musicnet_1739__180s.npz,4719c4d873337f26ad0fcf784630c0bf11f135380be80c003a5003b36e8e8032,features/structure/180s/classical/validation/classical_musicnet_1739__180s.npz,3259c99a0ec828f4b7f93af7a19fc0bdce8ecf74fdf8e997da447dd0142b555c,features/manifests/180s/classical/validation/classical_musicnet_1739__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a0dc5f846e8f7121293a9ff7e9386aad9d5c9377b5e76ae48bd67da2d5322b0d,359,269,359,88,7,8,0,54,209,0,transformed,2026-08-02,
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1739__300s.wav,b4f0faa4ca28cfed952c04b79088e2b7d2260423e3e7c8701e5a43b05b1f0b79,features/acoustic/300s/classical/validation/classical_musicnet_1739__300s.npz,23779cb541f3bcac30921cda49b88d9ee662c03eb4ccafa1ee5042d18c634ccc,features/chroma/300s/classical/validation/classical_musicnet_1739__300s.npz,aebdd682575fe04ae7e1786338b1a42931fad4b232f3a16ef1305d552ad8098b,features/rhythm/300s/classical/validation/classical_musicnet_1739__300s.npz,3c2580527a0cda903e0543c28aa5093dbf5f4f66989b5b898bd9a6465255b43a,features/modulation/300s/classical/validation/classical_musicnet_1739__300s.npz,a864332339e0b326d54557781f404d00b87b34c97fce4afee634c6a6405061b3,features/structure/300s/classical/validation/classical_musicnet_1739__300s.npz,bae7d5d39d15a2af26ac729b7ede8af1f10d778208b9d66eb34242ea8bc33da6,features/manifests/300s/classical/validation/classical_musicnet_1739__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a0dc5f846e8f7121293a9ff7e9386aad9d5c9377b5e76ae48bd67da2d5322b0d,599,490,599,148,13,14,0,98,438,0,transformed,2026-08-02,
