segment_id,track_id,group,split,scale_seconds,input_relative_path,input_sha256,acoustic_relative_path,acoustic_sha256,chroma_relative_path,chroma_sha256,rhythm_relative_path,rhythm_sha256,modulation_relative_path,modulation_sha256,structure_relative_path,structure_sha256,sidecar_relative_path,config_sha256,model_sha256,acoustic_windows,pitch_steps,rhythm_windows,modulation_windows,structure_blocks,structure_boundaries,invalid_acoustic_windows,uncertain_pitch_steps,invalid_rhythm_values,invalid_modulation_windows,status,processed_at,error
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1727__180s.wav,22f15111554832202311b7bb62a57d7fece722069ec4e63b530ceddc0562515c,features/acoustic/180s/classical/validation/classical_musicnet_1727__180s.npz,cf473da8e77f0205aca1fedd84f814633a1fbbb98b758b1ebb9baeb50671dd02,features/chroma/180s/classical/validation/classical_musicnet_1727__180s.npz,8884301f4dd69b5a21a747ffd94008330043143d4dc778499904c96daf1e21cc,features/rhythm/180s/classical/validation/classical_musicnet_1727__180s.npz,08c02879ac4c3b3d5c8d6a56a698da7837565c6ffa72137b397cec612a23b386,features/modulation/180s/classical/validation/classical_musicnet_1727__180s.npz,9a1baecc841a6cff803b1809f3f71daac4fc5c4a974f6774884d7e6afc17c953,features/structure/180s/classical/validation/classical_musicnet_1727__180s.npz,1bd0d171ef464376c0fa283eaa075c7f381dea823a9e54211e1a7e1c2dcc0e4d,features/manifests/180s/classical/validation/classical_musicnet_1727__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a39de25ea9f410ca5f96e86f4255d44be233a9179549f602d379f6cb72f9412f,359,354,359,88,8,9,0,59,21,0,verified_materialized,2026-08-02,
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1727__300s.wav,18f8b97aac9fceb4e6dfd4163eacd452b41c1a8ae8182a43915aad7f0a75c2ec,features/acoustic/300s/classical/validation/classical_musicnet_1727__300s.npz,1a7cb0b51f976f81199e48a828fbbed3b3b6b95ece914e7b14c2699cdc7026d5,features/chroma/300s/classical/validation/classical_musicnet_1727__300s.npz,a34d940fb8271b5029aef2dba005c8542fb280a58d795fe3feace2916f68f876,features/rhythm/300s/classical/validation/classical_musicnet_1727__300s.npz,4ec6c93b57848e5b0bc908bc93904ec0329a39d510b38f1bd2719026292a38e2,features/modulation/300s/classical/validation/classical_musicnet_1727__300s.npz,69e30daeb09d2ca2e8d786698de645d52aa969439bf40c4f1b8041bd42b6965c,features/structure/300s/classical/validation/classical_musicnet_1727__300s.npz,2d14dd8ac32d40c91363f198a412be64f6a3d124fec83033fc37fa11fb874a59,features/manifests/300s/classical/validation/classical_musicnet_1727__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a39de25ea9f410ca5f96e86f4255d44be233a9179549f602d379f6cb72f9412f,599,592,599,148,12,13,0,98,39,0,verified_materialized,2026-08-02,
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1728__180s.wav,db9c30ad604ce16aaca3e4dc4e00fd940d431a548cd75176788d83cabd202bf5,features/acoustic/180s/classical/validation/classical_musicnet_1728__180s.npz,57133985ecf096fe8c58a2ada563b3022fa0332896aae374c09fdf55a64d39f5,features/chroma/180s/classical/validation/classical_musicnet_1728__180s.npz,c2781d2575f38a504b6b6d3c1d0f2ae6ce01c6357d090d442595a3f8fabc6408,features/rhythm/180s/classical/validation/classical_musicnet_1728__180s.npz,16c592586bfaa2a1bb034e924b307da97a1adbf927add59d66ab03fa6c3ba0e2,features/modulation/180s/classical/validation/classical_musicnet_1728__180s.npz,fab9085af07e86d700f95c9e0965a643eb602a94637649c3071ba2348c944b33,features/structure/180s/classical/validation/classical_musicnet_1728__180s.npz,3fad2211ac69b1bdc21276effcc6e244cf6e03bc2d31648ed4e548a72d4febbc,features/manifests/180s/classical/validation/classical_musicnet_1728__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a39de25ea9f410ca5f96e86f4255d44be233a9179549f602d379f6cb72f9412f,359,317,359,88,6,7,0,59,124,0,verified_materialized,2026-08-02,
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1728__300s.wav,82bfd44e0e348fbd2953b62d37b544939be63356c21582ad0892d320ac39d00c,features/acoustic/300s/classical/validation/classical_musicnet_1728__300s.npz,3e9eb3675189452d5c51ec3aefea03e30f5f0f5f4913893974a4686ac9ca9d0a,features/chroma/300s/classical/validation/classical_musicnet_1728__300s.npz,25c6fe668f7cafdf314e358df6e41eb859b5c40c8d1c66a18e742ac478675ad5,features/rhythm/300s/classical/validation/classical_musicnet_1728__300s.npz,19b1e73b00bde6ef4383188cb38dfa13ac84817ee11544826bdf4e3eb51373d2,features/modulation/300s/classical/validation/classical_musicnet_1728__300s.npz,763cbf967798dbd3b3fa19fc28af6e93a34a44e3ef5a953085d3b362e5a7e04a,features/structure/300s/classical/validation/classical_musicnet_1728__300s.npz,35eac65548750a5e97ba4f7703a785e12a18634fa0f360c91a440a11978909d4,features/manifests/300s/classical/validation/classical_musicnet_1728__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a39de25ea9f410ca5f96e86f4255d44be233a9179549f602d379f6cb72f9412f,501,437,501,124,11,12,0,86,179,0,verified_materialized,2026-08-02,
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1729__180s.wav,d2bd318c578ee957974a2670c78423c0a62a3e957a84f0372517407eb45cba86,features/acoustic/180s/classical/validation/classical_musicnet_1729__180s.npz,a927fa1c512561ba3da7b408e4e710fd7178586fb607d9bec1916222d7abb27c,features/chroma/180s/classical/validation/classical_musicnet_1729__180s.npz,336746980dfccd4efd9eed7b01807832a3c3b1a45cc75fb84ee0aee408c9c5cf,features/rhythm/180s/classical/validation/classical_musicnet_1729__180s.npz,ac5b66c4841bf3c2a3d1688cb991ac752d1b137419f934ab671f7af09ab032b0,features/modulation/180s/classical/validation/classical_musicnet_1729__180s.npz,1c9fb1e89e542d94fd369ddbff202977349c17e27718835e1f37625d08a431ca,features/structure/180s/classical/validation/classical_musicnet_1729__180s.npz,6ea867d8495527f864a17e9779510dd324ce7f451603e11740adbb626dc949ee,features/manifests/180s/classical/validation/classical_musicnet_1729__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a39de25ea9f410ca5f96e86f4255d44be233a9179549f602d379f6cb72f9412f,359,391,359,88,10,11,0,90,43,0,verified_materialized,2026-08-02,
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1729__300s.wav,35820627bb2ec7e70f2caa2004ad6f5be95f83c63d74b9f4489be58612993d2c,features/acoustic/300s/classical/validation/classical_musicnet_1729__300s.npz,a751dc5083a608f1725252571f815165b7743fe25828de706943a350432d14e1,features/chroma/300s/classical/validation/classical_musicnet_1729__300s.npz,fcc249131acdc43b0914c87ca2380a00b02f43a6a5474d3784f85844765fa0c2,features/rhythm/300s/classical/validation/classical_musicnet_1729__300s.npz,9b569a2ae052dc5b83de8bbea10aa26b2eb4b89f175c37a8f384aa724b6da56b,features/modulation/300s/classical/validation/classical_musicnet_1729__300s.npz,bdef7fdbb7c7661dfe45cbf89528f4ed0b243e5639b0a56a07bdc3aee707741e,features/structure/300s/classical/validation/classical_musicnet_1729__300s.npz,6c4461c27ca23232fdaef3328e20636b300bc59f183afdb04e629e167677c824,features/manifests/300s/classical/validation/classical_musicnet_1729__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a39de25ea9f410ca5f96e86f4255d44be233a9179549f602d379f6cb72f9412f,599,653,599,148,16,17,0,137,109,0,verified_materialized,2026-08-02,
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1730__180s.wav,671f20925cb59d9aa69e12681672204ebf27ffbbf6f47ca9f98d710e157f8245,features/acoustic/180s/classical/validation/classical_musicnet_1730__180s.npz,5d41ba98dd1790a8264daf2aacfc4eee07248dc241031ae1962a3746c01ae6fb,features/chroma/180s/classical/validation/classical_musicnet_1730__180s.npz,ad2205423b5eca502ed53e238f7aa0cf5f38fcf9853ac9fafee3f6eb29199b46,features/rhythm/180s/classical/validation/classical_musicnet_1730__180s.npz,9dbbec1deadf1405cbfd1cf5eb5fadbbe54ae7072367f68cc1a25487634cc522,features/modulation/180s/classical/validation/classical_musicnet_1730__180s.npz,9007532f880645f899488ac78645685d2821551b788f6aa46f03c1123b1967dc,features/structure/180s/classical/validation/classical_musicnet_1730__180s.npz,86f93be10dcd01fe2e58385b195288ec838960097d9519c1ef7e18e6bde5d863,features/manifests/180s/classical/validation/classical_musicnet_1730__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a39de25ea9f410ca5f96e86f4255d44be233a9179549f602d379f6cb72f9412f,359,354,359,88,8,9,0,82,89,0,verified_materialized,2026-08-02,
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1730__300s.wav,da5593b3c9d14268ed7524efa50fe5bc617d68b83f8062e1571d89d47ea8985b,features/acoustic/300s/classical/validation/classical_musicnet_1730__300s.npz,5ac9a6c89d2efcb6505ecff2de59e166bf7e66de365349640e2e1d81debefd26,features/chroma/300s/classical/validation/classical_musicnet_1730__300s.npz,62f80a89d9773b65cf9cbd13d785d9c2556fc72e9f53710febea8a6c69634cbc,features/rhythm/300s/classical/validation/classical_musicnet_1730__300s.npz,b1b38a278857e2cfe280df6eb8e4f873361920d63a7cbdc26523c6848237ffa8,features/modulation/300s/classical/validation/classical_musicnet_1730__300s.npz,ce84542bcfb066f844ec1d0ae073df5224d491669344c222a6373481a94bbea1,features/structure/300s/classical/validation/classical_musicnet_1730__300s.npz,9f17f7c45c71c6e0e127dc6ade691a9c6e3f0ffbdd70ec294a505630c65e648e,features/manifests/300s/classical/validation/classical_musicnet_1730__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a39de25ea9f410ca5f96e86f4255d44be233a9179549f602d379f6cb72f9412f,599,585,599,148,12,13,0,130,136,0,verified_materialized,2026-08-02,
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1739__180s.wav,6f8e18b6e67b32cafba6afe71d2149510844c24096e473c71d62b89d73820ee7,features/acoustic/180s/classical/validation/classical_musicnet_1739__180s.npz,70ab6d6cddb92ae4b6c071e03f7937d7f42ef094fe222b762c66ca4219f77544,features/chroma/180s/classical/validation/classical_musicnet_1739__180s.npz,e648406cffaeedc92f4ff1fabf625981f1f32e37d6e217352e01a507c2cf2e05,features/rhythm/180s/classical/validation/classical_musicnet_1739__180s.npz,1373e850b91728cd80eb669fd889ea66933157892ad578ad645374c75ec22697,features/modulation/180s/classical/validation/classical_musicnet_1739__180s.npz,9cd2ec268dbe424f101919d614ad84b071cec1b6f700c6ffe9b25fbf659b1c9d,features/structure/180s/classical/validation/classical_musicnet_1739__180s.npz,ebcf5c8cc62644862cf516d56dcf2181d45fcbb2558305087d4b112df54bab78,features/manifests/180s/classical/validation/classical_musicnet_1739__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a39de25ea9f410ca5f96e86f4255d44be233a9179549f602d379f6cb72f9412f,359,269,359,88,7,8,0,54,209,0,verified_materialized,2026-08-02,
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1739__300s.wav,b4f0faa4ca28cfed952c04b79088e2b7d2260423e3e7c8701e5a43b05b1f0b79,features/acoustic/300s/classical/validation/classical_musicnet_1739__300s.npz,76fa9990b5252d0b277724c7aca3175eb860358f795891a2b0f2e521957cf88d,features/chroma/300s/classical/validation/classical_musicnet_1739__300s.npz,aebdd682575fe04ae7e1786338b1a42931fad4b232f3a16ef1305d552ad8098b,features/rhythm/300s/classical/validation/classical_musicnet_1739__300s.npz,01dc019d717153e1aa534b9dfa44159a28263c8594946aaae5e14143f16ac8e7,features/modulation/300s/classical/validation/classical_musicnet_1739__300s.npz,f2a146d555b35fe98a466a8d7964f85d287cd4671f7bfa10b80743f2d5300b6a,features/structure/300s/classical/validation/classical_musicnet_1739__300s.npz,f018790dd6a6d549fb9510cbe6b76f6cd18f13127b2c6ae5902bbf7ab6d63790,features/manifests/300s/classical/validation/classical_musicnet_1739__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,a39de25ea9f410ca5f96e86f4255d44be233a9179549f602d379f6cb72f9412f,599,490,599,148,13,14,0,98,438,0,verified_materialized,2026-08-02,
