segment_id,track_id,group,split,scale_seconds,source_relative_path,output_relative_path,source_duration_seconds,start_seconds,requested_duration_seconds,actual_duration_seconds,sample_rate,channels,dtype,target_lufs,measured_lufs_before,measured_lufs_after,peak_before,peak_after,peak_limited,limiter_gain_db,limited_sample_fraction,used_full_track,padding_applied,sha256,status,processed_at,config_sha256,error
focus_jamendo_0016398__180s,focus_jamendo_0016398,focus,holdout,180.0,focus_music/focus_jamendo_0016398.mp3,features/audio/180s/focus/holdout/focus_jamendo_0016398__180s.wav,239.453061,29.726530499999996,180.0,180.0,22050,1,float32,-15.0,-14.342716697825876,-14.99861351666851,0.990111231803894,0.8382340669631958,True,-0.4534260379094128,0.00100050390526581,False,False,c370a009168b99ce627658d15a8a3ca1b5a1b28ef364760c8acf30fc88bb0c51,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_0016398__300s,focus_jamendo_0016398,focus,holdout,300.0,focus_music/focus_jamendo_0016398.mp3,features/audio/300s/focus/holdout/focus_jamendo_0016398__300s.wav,239.453061,0.0,239.453061,239.4530612244898,22050,1,float32,-15.0,-14.706217171422974,-14.997858870112447,0.990111231803894,0.8294218182563782,True,-0.5890280153774636,0.0009844808842524725,True,False,f0cb59e1fc00dfe28f1d7f639184a02a783495c04c3c1a4cf917b025a0fb34d3,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_0214220__180s,focus_jamendo_0214220,focus,holdout,180.0,focus_music/focus_jamendo_0214220.mp3,features/audio/180s/focus/holdout/focus_jamendo_0214220__180s.wav,605.179,212.5895,180.0,180.0,22050,1,float32,-15.0,-19.528197252099506,-15.034544712269772,0.7512751817703247,0.8598206639289856,True,0.0,0.0004406651549508692,False,False,4edeb48e9235c393984b0147f8815898e1c4c5befad0bad4b196d4f26810a786,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_0214220__300s,focus_jamendo_0214220,focus,holdout,300.0,focus_music/focus_jamendo_0214220.mp3,features/audio/300s/focus/holdout/focus_jamendo_0214220__300s.wav,605.179,152.5895,300.0,300.0,22050,1,float32,-15.0,-18.98099151048196,-15.043283018967541,0.8314617872238159,0.8594247698783875,True,0.0,0.00042086167800453513,False,False,7d6c0798b006f478811e2fa3c356939f668561dd19c0815c19aa254edeb7d722,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_1027423__180s,focus_jamendo_1027423,focus,discovery,180.0,focus_music/focus_jamendo_1027423.mp3,features/audio/180s/focus/discovery/focus_jamendo_1027423__180s.wav,398.367,109.18350000000001,180.0,180.0,22050,1,float32,-15.0,-16.21689834354136,-15.005719493532299,1.172445297241211,0.8598002195358276,True,0.0,0.0005149911816578483,False,False,73e3fcc0b0b6567e9f7f4d177a9e793f283ddf7a0aeb027ba1306a9b69fa777e,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_1027423__300s,focus_jamendo_1027423,focus,discovery,300.0,focus_music/focus_jamendo_1027423.mp3,features/audio/300s/focus/discovery/focus_jamendo_1027423__300s.wav,398.367,49.18350000000001,300.0,300.0,22050,1,float32,-15.0,-16.240517800292622,-15.005912950434336,1.2065820693969727,0.8598039150238037,True,0.0,0.0005431594860166288,False,False,b166b4186471692ee8eaf11018f097a0edd5e0d991a78a020811916805bb4cd5,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_1027427__180s,focus_jamendo_1027427,focus,discovery,180.0,focus_music/focus_jamendo_1027427.mp3,features/audio/180s/focus/discovery/focus_jamendo_1027427__180s.wav,264.072,42.036,180.0,180.0,22050,1,float32,-15.0,-15.457589748848394,-14.99758974860668,0.7008898258209229,0.7390090227127075,False,0.0,0.0,False,False,b6f0d4bc62f85098a6eabc21e5eda4d2b2462ef99e8431582110f045fbda24ce,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_1027427__300s,focus_jamendo_1027427,focus,discovery,300.0,focus_music/focus_jamendo_1027427.mp3,features/audio/300s/focus/discovery/focus_jamendo_1027427__300s.wav,264.072,0.0,264.072,264.0,22050,1,float32,-15.0,-15.642380126374057,-15.002380744088645,0.7542890906333923,0.8091493844985962,True,0.0,6.5278636707208135e-06,True,False,c082a589bf2fb811e2a8efe822da58862bd7526b4f60c952c2f8338aee8eda34,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_1027938__180s,focus_jamendo_1027938,focus,discovery,180.0,focus_music/focus_jamendo_1027938.mp3,features/audio/180s/focus/discovery/focus_jamendo_1027938__180s.wav,922.331,371.1655,180.0,180.0,22050,1,float32,-15.0,-13.927776361457953,-14.997776596730018,0.9069896936416626,0.8003133535385132,True,0.0,4.031242126480222e-06,False,False,019c15610d6fc1f72274570f3a5abd9c0426ec142c1d56a3a463ddc53fe1b4ea,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_1027938__300s,focus_jamendo_1027938,focus,discovery,300.0,focus_music/focus_jamendo_1027938.mp3,features/audio/300s/focus/discovery/focus_jamendo_1027938__300s.wav,922.331,311.1655,300.0,300.0,22050,1,float32,-15.0,-13.771126868148803,-15.011126937358764,0.9161909818649292,0.7934048771858215,True,0.0,1.965230536659108e-06,False,False,3288647b6c5658a8c1dee0ebb60a158c8b1049382de27b8cb4815af3c9d9bc3f,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_1027941__180s,focus_jamendo_1027941,focus,discovery,180.0,focus_music/focus_jamendo_1027941.mp3,features/audio/180s/focus/discovery/focus_jamendo_1027941__180s.wav,923.376,371.688,180.0,180.0,22050,1,float32,-15.0,-14.246635151741087,-15.006635387268485,0.8750049471855164,0.8001610636711121,True,0.0,8.314436885865457e-06,False,False,e7ef0bf7eec04871eeffb85ea20f17414cb6b403b110470815937b8c00fe79f3,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_1027941__300s,focus_jamendo_1027941,focus,discovery,300.0,focus_music/focus_jamendo_1027941.mp3,features/audio/300s/focus/discovery/focus_jamendo_1027941__300s.wav,923.376,311.688,300.0,300.0,22050,1,float32,-15.0,-14.429717234510578,-14.989718906028923,0.881862998008728,0.8212098479270935,True,0.0,1.7535903250188966e-05,False,False,a673245bc922821b3e2735bf4053ed2394311e2a6e964453f6ebee354e71b3e4,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_1056129__180s,focus_jamendo_1056129,focus,discovery,180.0,focus_music/focus_jamendo_1056129.mp3,features/audio/180s/focus/discovery/focus_jamendo_1056129__180s.wav,328.0,74.0,180.0,180.0,22050,1,float32,-15.0,-12.917042465080906,-14.887234875881418,1.2711257934570312,0.859580934047699,True,0.0,0.0019140841521793903,False,False,708598be217d8c9738c33afbb4d33b640212c0b32d03195d9889ba684c03d662,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_1056129__300s,focus_jamendo_1056129,focus,discovery,300.0,focus_music/focus_jamendo_1056129.mp3,features/audio/300s/focus/discovery/focus_jamendo_1056129__300s.wav,328.0,14.0,300.0,300.0,22050,1,float32,-15.0,-12.968896365624898,-14.805537993943926,1.2711257934570312,0.8599825501441956,True,0.0,0.0014278155706727135,False,False,d2258ff25b39ebb9b43e9d3a309a9e7cf371cb60ef095842636e2344a5d73e24,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_1056135__180s,focus_jamendo_1056135,focus,discovery,180.0,focus_music/focus_jamendo_1056135.mp3,features/audio/180s/focus/discovery/focus_jamendo_1056135__180s.wav,152.268,0.0,152.268,152.20802721088435,22050,1,float32,-15.0,-18.03644667256338,-14.998843090728117,1.2600492238998413,0.8401200771331787,True,-0.3830587166384838,0.0008047823318545719,True,False,dd41d38616263b7dba898d362514e16460ae8e3077e7bbfb004394ba6cee8988,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
focus_jamendo_1056135__300s,focus_jamendo_1056135,focus,discovery,300.0,focus_music/focus_jamendo_1056135.mp3,features/audio/300s/focus/discovery/focus_jamendo_1056135__300s.wav,152.268,0.0,152.268,152.20802721088435,22050,1,float32,-15.0,-18.03644667256338,-14.998843090728117,1.2600492238998413,0.8401200771331787,True,-0.3830587166384838,0.0008047823318545719,True,False,f92568fa079ac926740e3e2ac6a0a5645daaec29ab6a2115e634ee7d5eeaf56d,verified_existing,2026-08-01,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
