layer,view,metric,expected_focus_direction,validation_classical_median,validation_focus_median,validation_p_fdr_bh,evidence_role
local,modulation,directed_recurrence,greater,0.21574844761527281,0.4299023566521337,2.8049511710943165e-07,frozen_before_holdout
local,modulation,edge_count,less,6.0,4.5,2.0338542868271934e-06,frozen_before_holdout
local,modulation,h0_betti_auc,less,0.7749999999999999,0.4624999999999999,9.625025784868042e-05,frozen_before_holdout
local,modulation,h0_betti_max,less,3.0,1.5,2.0338542868271934e-06,frozen_before_holdout
local,modulation,h0_betti_mean,less,1.8333333333333333,1.0833333333333335,9.589746303208692e-05,frozen_before_holdout
local,modulation,h0_interval_count,less,3.0,1.5,2.0338542868271934e-06,frozen_before_holdout
local,modulation,h0_observed_persistence,less,0.8499999999999999,0.4749999999999999,9.625025784868042e-05,frozen_before_holdout
local,modulation,path_entropy,less,0.8549422267612055,0.5455817032599514,2.5462519077590655e-07,frozen_before_holdout
local,modulation,self_transition_ratio,greater,0.5402298850574713,0.7063218390804598,8.766275879389289e-07,frozen_before_holdout
local,modulation,transition_entropy,less,0.8184918057269862,0.6423834333565955,2.0338542868271934e-06,frozen_before_holdout
local,pitch,directed_recurrence,greater,0.02515921936036108,0.11377017669194206,1.1370257019689434e-16,frozen_before_holdout
local,pitch,edge_count,less,70.0,31.0,8.203404602189512e-19,frozen_before_holdout
local,pitch,edge_density,greater,0.31101190476190477,0.33244949494949494,0.06541404191558746,frozen_before_holdout
local,pitch,h0_betti_auc,less,6.199999999999999,3.1249999999999996,8.203404602189512e-19,frozen_before_holdout
local,pitch,h0_betti_max,less,14.5,8.0,8.203404602189512e-19,frozen_before_holdout
local,pitch,h0_betti_mean,less,13.666666666666666,6.833333333333334,8.203404602189512e-19,frozen_before_holdout
local,pitch,h0_censored_count,less,11.0,3.5,6.531772808336314e-17,frozen_before_holdout
local,pitch,h0_interval_count,less,14.5,8.0,8.203404602189512e-19,frozen_before_holdout
local,pitch,h0_observed_persistence,less,6.375,3.3249999999999997,8.203404602189512e-19,frozen_before_holdout
local,pitch,path_entropy,less,1.6960565393962423,0.9648673446596738,8.203404602189512e-19,frozen_before_holdout
local,pitch,reciprocity,greater,0.5224080267558529,0.6666666666666666,6.25388481027363e-11,frozen_before_holdout
local,pitch,self_transition_ratio,greater,0.3220127433010387,0.6313934281163354,3.8859315859001195e-16,frozen_before_holdout
local,pitch,transition_entropy,less,0.9151743812994289,0.7711421275877992,3.027023817667819e-14,frozen_before_holdout
local,pitch,vertex_count,less,16.0,10.0,8.203404602189512e-19,frozen_before_holdout
local,rhythm,directed_recurrence,greater,0.0922880059923223,0.2645125841099273,5.470093552395142e-09,frozen_before_holdout
local,rhythm,edge_count,less,36.0,21.0,5.479951690726012e-10,frozen_before_holdout
local,rhythm,edge_density,less,0.5773809523809523,0.4930555555555556,0.002673216033665903,frozen_before_holdout
local,rhythm,h0_betti_auc,less,3.1,2.175,1.347619228013323e-08,frozen_before_holdout
local,rhythm,h0_betti_max,less,8.0,6.0,5.132863940705939e-08,frozen_before_holdout
local,rhythm,h0_betti_mean,less,6.833333333333333,4.75,8.562088361707466e-09,frozen_before_holdout
local,rhythm,h0_censored_count,less,5.0,2.0,8.460220647834051e-08,frozen_before_holdout
local,rhythm,h0_interval_count,less,8.0,6.0,5.132863940705939e-08,frozen_before_holdout
local,rhythm,h0_observed_persistence,less,3.3,2.275,2.020056770861796e-08,frozen_before_holdout
local,rhythm,path_entropy,less,1.335851722291833,0.8655812512568363,1.3774912833924926e-10,frozen_before_holdout
local,rhythm,reciprocity,less,0.8090172239108409,0.7692307692307693,0.024827577334790258,frozen_before_holdout
local,rhythm,self_transition_ratio,greater,0.4790502793296089,0.6619410904867744,5.77739790757035e-08,frozen_before_holdout
local,rhythm,transition_entropy,less,0.7921767030914423,0.6113399580079253,2.020056770861796e-08,frozen_before_holdout
local,rhythm,vertex_count,less,8.0,7.0,9.637707125057322e-06,frozen_before_holdout
macro_auxiliary,structure,directed_recurrence,greater,0.280625,0.3333333333333333,0.0430274432244914,frozen_before_holdout
macro_auxiliary,structure,edge_density,less,1.0,0.375,2.508556479448865e-06,frozen_before_holdout
macro_auxiliary,structure,path_entropy,less,0.4807226192923259,0.3748900964125389,0.01966151688548635,frozen_before_holdout
macro_auxiliary,structure,reciprocity,less,1.0,0.0,1.745130811359613e-05,frozen_before_holdout
macro_auxiliary,structure,self_transition_ratio,greater,0.3875,0.5357142857142857,0.01966151688548635,frozen_before_holdout
macro_auxiliary,structure,transition_entropy,less,0.9609640474436812,0.896240625180289,0.01966151688548635,frozen_before_holdout
phase,path_acoustic_phase,loop_score,greater,0.3606792251395273,0.414164428246306,2.2088610066512823e-05,exploratory_phase_increment
phase,path_chroma_phase,loop_score,greater,0.3721113527635483,0.4119430178844034,0.001072419223197,exploratory_phase_increment
