segment_id,track_id,group,split,scale_seconds,pitch3_h0_observed_persistence_z,pitch3_self_transition_ratio_z,pitch3_directed_recurrence_z,focus_logit,focus_probability,focus_target_band_loss
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,0.888752941176471,-0.37564728695928307,-0.4659469326223684,-5.829526686575826,0.002930852792830401,0.45998686657464866
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,1.0792000000000006,-0.34345015395975437,-0.488293227940203,-6.802526482548524,0.0011097318930230636,0.5905391549014766
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,0.9522352941176473,-0.8173824727260359,-0.4647750111930065,-8.066019928923748,0.0003139320771426163,0.6880215054754152
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,0.9945568627450985,-0.7847072128085106,-0.46844672791114056,-8.175306212593542,0.0002814410086154795,0.6997644950566494
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,0.8887529411764706,-0.4779817072021614,-0.3396884043304508,-6.325878200478578,0.0017861979015390483,0.44817422043939864
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,1.2273254901960788,-0.411395292831233,-0.39804025044616054,-8.006674816306747,0.00033311992698249363,0.6938707633617013
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,0.8887529411764706,-0.8055355872375969,-0.45417714827206396,-7.648104401368415,0.00047672000309245227,0.6364702287340308
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,1.0792000000000006,-0.691176645378239,-0.5183749074634997,-8.253180626639656,0.0002603611059113077,0.7324000693806777
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,0.10580392156862747,-0.4942033766086871,-0.3334104183479851,-1.7920884219529112,0.1428168676636687,0.17032460456332785
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,0.8041098039215689,-0.5579068105680294,-0.4095428274817517,-6.129086221739513,0.0021738349288075677,0.45068534322436404
classical_musicnet_1742__180s,classical_musicnet_1742,classical,validation,180.0,0.6136627450980398,0.44718805750157387,0.185903455875923,-1.0770736354011103,0.2540602033515306,0.1434384732846343
classical_musicnet_1742__300s,classical_musicnet_1742,classical,validation,300.0,0.9522352941176473,0.3373959484943164,-0.06187156893116596,-3.40419196060032,0.03216471213018755,0.3403426320848646
classical_musicnet_1763__180s,classical_musicnet_1763,classical,validation,180.0,1.0792000000000006,-0.4371793483485608,-0.47099236070072825,-7.206605488778596,0.0007411208286368888,0.6106122165417697
classical_musicnet_1763__300s,classical_musicnet_1763,classical,validation,300.0,1.2696470588235296,-0.30250733664200896,-0.4293862035255136,-7.780405957719805,0.000417667994336969,0.7124861286524693
classical_musicnet_1764__180s,classical_musicnet_1764,classical,validation,180.0,0.6559843137254906,-0.4712578955496106,-0.3648186741416638,-4.915438709216497,0.007279126156102641,0.32729652549562765
classical_musicnet_1764__300s,classical_musicnet_1764,classical,validation,300.0,0.9945568627450981,-0.25261190908531866,-0.24265864239462454,-6.0478698466047165,0.0023573198800171595,0.4301520877054145
classical_musicnet_1765__180s,classical_musicnet_1765,classical,validation,180.0,0.6348235294117648,-0.6508186654921324,-0.34193401922895483,-5.559806483103715,0.003834759285498013,0.3824912752745669
classical_musicnet_1765__300s,classical_musicnet_1765,classical,validation,300.0,1.1850039215686277,-0.6143168621630308,-0.3787519137197502,-8.623219646598388,0.00017984781973302396,0.7270767223427126
classical_musicnet_1766__180s,classical_musicnet_1766,classical,validation,180.0,0.7617882352941181,-0.05739073468261759,-0.19232354132703425,-3.8814523157990655,0.020204226986315778,0.25058766750788464
classical_musicnet_1766__300s,classical_musicnet_1766,classical,validation,300.0,1.0368784313725496,-0.1296525346878987,-0.32564862944609807,-5.735733440863221,0.0032181238195419445,0.4631529280886973
classical_musicnet_1805__180s,classical_musicnet_1805,classical,validation,180.0,0.7617882352941178,-0.48077920899010596,-0.3420423261017692,-5.5896402325874135,0.003722463340515278,0.37642704094780144
classical_musicnet_1805__300s,classical_musicnet_1805,classical,validation,300.0,0.46553725490196113,-0.39038698606288347,-0.39103757331092476,-3.4407559924639246,0.031045734408106342,0.2339341810612242
classical_musicnet_1807__180s,classical_musicnet_1807,classical,validation,180.0,0.8464313725490198,-0.20800758085143833,-0.265669734736726,-4.976686739616859,0.0068496348078682,0.33269521712053063
classical_musicnet_1807__300s,classical_musicnet_1807,classical,validation,300.0,1.0368784313725496,-0.08507010342674808,-0.38288337700598835,-5.518349993101274,0.0039964275568335735,0.47671348662676305
classical_musicnet_1811__180s,classical_musicnet_1811,classical,validation,180.0,0.6559843137254906,0.3450457514214028,-0.10439445000112818,-1.6074989265575164,0.1669361443473468,0.17883660736587656
classical_musicnet_1811__300s,classical_musicnet_1811,classical,validation,300.0,0.6136627450980398,0.37214963105419585,-0.08786631687223559,-1.2527736125860676,0.22222038250828155,0.1573863535832519
classical_musicnet_1812__180s,classical_musicnet_1812,classical,validation,180.0,0.9522352941176476,-0.8376559592122381,-0.4322859114291008,-8.168193919063711,0.00028344926549283433,0.6875177444095465
