segment_id,track_id,group,split,scale_seconds,acoustic_novelty_delay__h0_max_persistence,rhythm__h0_total_persistence,path_acoustic_phase__loop_score,path_rhythm_phase__loop_score,path_chroma_phase__loop_score,pitch__h0_observed_persistence,pitch__path_entropy,rhythm__edge_density,rhythm__reciprocity,core_distance,core_inside_r90,core_shell_loss,support_band_loss
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,0.9224553108215332,10.547992676496506,0.3566093801188895,0.3861018033920776,0.3450685745705055,6.749999999999999,1.7061714163163753,0.6071428571428571,0.8823529411764706,0.9464117760163409,True,0.0,10.227482579989172
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,1.296895146369934,11.084523797035216,0.3840158443293457,0.3649380030250296,0.4015890010783674,6.75,1.8823356801034443,0.6607142857142857,0.7567567567567568,0.3493100298222444,True,0.0,13.641224031513028
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,0.9144230484962464,10.537235543131828,0.4399961818940337,0.3739417861334795,0.4274014451980104,6.449999999999999,1.853717580556394,0.5277777777777778,0.8947368421052632,0.5292251962698135,True,0.0,11.670432237334207
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,1.699565291404724,10.063810050487518,0.3973736858677444,0.3256717623291546,0.4068217876272672,6.55,1.891686588330589,0.5555555555555556,0.85,1.0776047030902884,True,0.0,12.937889147783151
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,1.5874884128570557,11.854051545262337,0.4041560074848887,0.3261006299810072,0.3822001517103153,6.299999999999999,1.681009231084291,0.4464285714285714,0.72,0.9078308534326632,True,0.0,7.870307783301943
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,1.2365834712982178,11.540275573730469,0.3849816040618465,0.321404932941302,0.3759972559498944,7.1,1.7921618792804823,0.4821428571428571,0.7407407407407407,0.7554757523373664,True,0.0,13.533868872381404
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,1.562246561050415,11.695042192935944,0.429203084451382,0.3520769166404812,0.3641947260615435,6.299999999999999,1.696784611879593,0.6666666666666666,0.6666666666666666,0.7373548443961897,True,0.0,8.119357633903931
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,1.8583331108093264,11.342984646558762,0.424636706140086,0.3879558441501796,0.3785499147312407,6.75,1.9095069345199367,0.6805555555555556,0.7755102040816326,1.053843452995858,True,0.0,14.261906964148643
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,2.699819803237915,10.904580518603323,0.3229762148726929,0.368898676898754,0.361693653243323,4.449999999999999,1.5695649359063577,0.6904761904761905,0.8275862068965517,2.288069520796807,True,0.0,2.124806833245507
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,2.226632595062256,11.89229927957058,0.3261655164641018,0.3499396572706461,0.3662907046311152,6.1,1.7688160226120964,0.6527777777777778,0.8085106382978723,1.7209069274986728,True,0.0,8.611532563104015
