segment_id,track_id,group,split,scale_seconds,input_relative_path,input_sha256,acoustic_relative_path,acoustic_sha256,chroma_relative_path,chroma_sha256,rhythm_relative_path,rhythm_sha256,modulation_relative_path,modulation_sha256,structure_relative_path,structure_sha256,sidecar_relative_path,config_sha256,model_sha256,acoustic_windows,pitch_steps,rhythm_windows,modulation_windows,structure_blocks,structure_boundaries,invalid_acoustic_windows,uncertain_pitch_steps,invalid_rhythm_values,invalid_modulation_windows,status,processed_at,error
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,features/audio/180s/classical/discovery/classical_musicnet_1727__180s.wav,22f15111554832202311b7bb62a57d7fece722069ec4e63b530ceddc0562515c,features/acoustic/180s/classical/discovery/classical_musicnet_1727__180s.npz,37af16baff12a9d2c4bd13ed78f158c1587630d6894a810f8cc00ba478f83740,features/chroma/180s/classical/discovery/classical_musicnet_1727__180s.npz,8884301f4dd69b5a21a747ffd94008330043143d4dc778499904c96daf1e21cc,features/four_group/rhythm/180s/classical/discovery/classical_musicnet_1727__180s.npz,e4393480647feab239c515fcbc49628bd4cbb19d58737661ff597e64c4d9a918,features/modulation/180s/classical/discovery/classical_musicnet_1727__180s.npz,112ba2803b586219e078c516d649c720ad5a3644261931a1383535741e5b30f3,features/four_group/structure/180s/classical/discovery/classical_musicnet_1727__180s.npz,dd4f22ad65e05e8704184edb75d116d5d37be212c7904bb337ffc89a57dbc810,features/manifests/180s/classical/discovery/classical_musicnet_1727__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,6f8c5d5ac49ef0ff8aec8bb894728c11869fe04d966efde673dbd92e08da1186,359,354,359,88,8,9,0,59,21,0,transformed,2026-08-02,
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,features/audio/300s/classical/discovery/classical_musicnet_1727__300s.wav,18f8b97aac9fceb4e6dfd4163eacd452b41c1a8ae8182a43915aad7f0a75c2ec,features/acoustic/300s/classical/discovery/classical_musicnet_1727__300s.npz,a948caa7e07adaaa6fa90088bab45eddac6500b5c79f3bd21786e37e1518e252,features/chroma/300s/classical/discovery/classical_musicnet_1727__300s.npz,a34d940fb8271b5029aef2dba005c8542fb280a58d795fe3feace2916f68f876,features/four_group/rhythm/300s/classical/discovery/classical_musicnet_1727__300s.npz,3e1a3d83503ff007b0085d1039fd0f4047337a99100ed2fdf7b2ba0fa3477497,features/modulation/300s/classical/discovery/classical_musicnet_1727__300s.npz,9229cf4f01dccfa968f2a6390760d30cd8d4644d7b9f7e8a26fe16fe9e49a511,features/four_group/structure/300s/classical/discovery/classical_musicnet_1727__300s.npz,6edca3fbbd83fa1c91c2e260e65de70161374b7549a2ae76b5975cfb66ae8c44,features/manifests/300s/classical/discovery/classical_musicnet_1727__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,6f8c5d5ac49ef0ff8aec8bb894728c11869fe04d966efde673dbd92e08da1186,599,592,599,148,12,13,0,98,39,0,transformed,2026-08-02,
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,features/audio/180s/classical/discovery/classical_musicnet_1728__180s.wav,db9c30ad604ce16aaca3e4dc4e00fd940d431a548cd75176788d83cabd202bf5,features/acoustic/180s/classical/discovery/classical_musicnet_1728__180s.npz,30b1d0ed8ebfe345a19384feb1c73f396708e9c2f47431c375eeb2f2085fafa1,features/chroma/180s/classical/discovery/classical_musicnet_1728__180s.npz,c2781d2575f38a504b6b6d3c1d0f2ae6ce01c6357d090d442595a3f8fabc6408,features/four_group/rhythm/180s/classical/discovery/classical_musicnet_1728__180s.npz,23646086c65748544e826865bb05ad7056d9068ccadb6d51a3602d7c986cc6a1,features/modulation/180s/classical/discovery/classical_musicnet_1728__180s.npz,b3d44f0075bd3e85e1a895c89d97a266719f50f4084bf09d0f0737528f4e12ba,features/four_group/structure/180s/classical/discovery/classical_musicnet_1728__180s.npz,a5e59351e5e643f1c0ebf990fda4f9338b5ba20cfb415d8959198554c29f024b,features/manifests/180s/classical/discovery/classical_musicnet_1728__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,6f8c5d5ac49ef0ff8aec8bb894728c11869fe04d966efde673dbd92e08da1186,359,317,359,88,6,7,0,59,124,0,transformed,2026-08-02,
classical_musicnet_1728__300s,classical_musicnet_1728,classical,discovery,300.0,features/audio/300s/classical/discovery/classical_musicnet_1728__300s.wav,82bfd44e0e348fbd2953b62d37b544939be63356c21582ad0892d320ac39d00c,features/acoustic/300s/classical/discovery/classical_musicnet_1728__300s.npz,c520a9a5ae4e79d133f39b1b93ae37738cfd26d550b5d9c649916c0874baa6fe,features/chroma/300s/classical/discovery/classical_musicnet_1728__300s.npz,25c6fe668f7cafdf314e358df6e41eb859b5c40c8d1c66a18e742ac478675ad5,features/four_group/rhythm/300s/classical/discovery/classical_musicnet_1728__300s.npz,f8b56230efaf635ae86937eaf7efa2844f2f7314ba1b87c586057a826e73541d,features/modulation/300s/classical/discovery/classical_musicnet_1728__300s.npz,89c684fd3c090a38848011790bcc5d6956ab8b60ab2b1fcdf139b13aa3379166,features/four_group/structure/300s/classical/discovery/classical_musicnet_1728__300s.npz,1dc196c11d7c556841eb1e9b1d25b4583dbca7e6c014d6d35e9c2185b0b9ae37,features/manifests/300s/classical/discovery/classical_musicnet_1728__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,6f8c5d5ac49ef0ff8aec8bb894728c11869fe04d966efde673dbd92e08da1186,501,437,501,124,11,12,0,86,179,0,transformed,2026-08-02,
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,features/audio/180s/classical/discovery/classical_musicnet_1729__180s.wav,d2bd318c578ee957974a2670c78423c0a62a3e957a84f0372517407eb45cba86,features/acoustic/180s/classical/discovery/classical_musicnet_1729__180s.npz,fe7d374a7c1a1b2d098a2c28d2497e2468e9fb4032696e8cbd414f9cf6ceea40,features/chroma/180s/classical/discovery/classical_musicnet_1729__180s.npz,336746980dfccd4efd9eed7b01807832a3c3b1a45cc75fb84ee0aee408c9c5cf,features/four_group/rhythm/180s/classical/discovery/classical_musicnet_1729__180s.npz,a0a014accdfe9769f025141e201a106a8a28f4df7788a1e9e21de807f88c4260,features/modulation/180s/classical/discovery/classical_musicnet_1729__180s.npz,e859c4bb34a37a8ed97c090b35d0d774c83851ead58a1fd5aae536614f3b77b5,features/four_group/structure/180s/classical/discovery/classical_musicnet_1729__180s.npz,37057c70bc6698dc121498e609207b5a1ab4fe26e063d1597c36a94f2e3ddf16,features/manifests/180s/classical/discovery/classical_musicnet_1729__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,6f8c5d5ac49ef0ff8aec8bb894728c11869fe04d966efde673dbd92e08da1186,359,391,359,88,10,11,0,90,43,0,transformed,2026-08-02,
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,features/audio/300s/classical/discovery/classical_musicnet_1729__300s.wav,35820627bb2ec7e70f2caa2004ad6f5be95f83c63d74b9f4489be58612993d2c,features/acoustic/300s/classical/discovery/classical_musicnet_1729__300s.npz,75e9d496ffa81cb78f5e3acd217f8efc389478b51e3d7b1e57125e785b9d1628,features/chroma/300s/classical/discovery/classical_musicnet_1729__300s.npz,fcc249131acdc43b0914c87ca2380a00b02f43a6a5474d3784f85844765fa0c2,features/four_group/rhythm/300s/classical/discovery/classical_musicnet_1729__300s.npz,f1c8bdcf743b1813222cc5058300c896f05056e1f887a8306773c2da757d0014,features/modulation/300s/classical/discovery/classical_musicnet_1729__300s.npz,4895c77a982f8c0af03fa99da0965b9c5d3b6f018f544f5cc690037e657833ea,features/four_group/structure/300s/classical/discovery/classical_musicnet_1729__300s.npz,6311746e883dfc9507c26cc1268f9fe6ddfff2880126814da3b27418fff2c339,features/manifests/300s/classical/discovery/classical_musicnet_1729__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,6f8c5d5ac49ef0ff8aec8bb894728c11869fe04d966efde673dbd92e08da1186,599,653,599,148,16,17,0,137,109,0,transformed,2026-08-02,
classical_musicnet_1730__180s,classical_musicnet_1730,classical,discovery,180.0,features/audio/180s/classical/discovery/classical_musicnet_1730__180s.wav,671f20925cb59d9aa69e12681672204ebf27ffbbf6f47ca9f98d710e157f8245,features/acoustic/180s/classical/discovery/classical_musicnet_1730__180s.npz,2b7f52d184bd789aad58795d7cddc98d63a2332c803484808b20dfd8639a8bf6,features/chroma/180s/classical/discovery/classical_musicnet_1730__180s.npz,ad2205423b5eca502ed53e238f7aa0cf5f38fcf9853ac9fafee3f6eb29199b46,features/four_group/rhythm/180s/classical/discovery/classical_musicnet_1730__180s.npz,c1cb2ebbd41a0b634e63cb947cbf3df521983ee18c4347ad7485ab5543d81aed,features/modulation/180s/classical/discovery/classical_musicnet_1730__180s.npz,72752c0cbee5cd2b9b11c77201ef1b277bc7f6e775e8c9d27ba6d0ebfa6820af,features/four_group/structure/180s/classical/discovery/classical_musicnet_1730__180s.npz,46abd65bd32476488be32e213d9feee285b83d8ed8bfe9c000cb36fe9955d792,features/manifests/180s/classical/discovery/classical_musicnet_1730__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,6f8c5d5ac49ef0ff8aec8bb894728c11869fe04d966efde673dbd92e08da1186,359,354,359,88,8,9,0,82,89,0,transformed,2026-08-02,
classical_musicnet_1730__300s,classical_musicnet_1730,classical,discovery,300.0,features/audio/300s/classical/discovery/classical_musicnet_1730__300s.wav,da5593b3c9d14268ed7524efa50fe5bc617d68b83f8062e1571d89d47ea8985b,features/acoustic/300s/classical/discovery/classical_musicnet_1730__300s.npz,225c818b9106cc87b488b464026f2384e99ffe5a48a25c0d0f0f794700cdd040,features/chroma/300s/classical/discovery/classical_musicnet_1730__300s.npz,62f80a89d9773b65cf9cbd13d785d9c2556fc72e9f53710febea8a6c69634cbc,features/four_group/rhythm/300s/classical/discovery/classical_musicnet_1730__300s.npz,e3f02a829fe30b46490585e69425db1c81a1cfdc12370fbfb707aef9f08813c2,features/modulation/300s/classical/discovery/classical_musicnet_1730__300s.npz,3abe3ba92755d28f53f709740be0288b06b06b7b53dba1810498e783a7ab8ea0,features/four_group/structure/300s/classical/discovery/classical_musicnet_1730__300s.npz,c03186af2252f1aa076f92ffc1c5e73055ccee8f663fafba44e297510534a7b9,features/manifests/300s/classical/discovery/classical_musicnet_1730__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,6f8c5d5ac49ef0ff8aec8bb894728c11869fe04d966efde673dbd92e08da1186,599,585,599,148,12,13,0,130,136,0,transformed,2026-08-02,
classical_musicnet_1739__180s,classical_musicnet_1739,classical,discovery,180.0,features/audio/180s/classical/discovery/classical_musicnet_1739__180s.wav,6f8e18b6e67b32cafba6afe71d2149510844c24096e473c71d62b89d73820ee7,features/acoustic/180s/classical/discovery/classical_musicnet_1739__180s.npz,acf480c126ad755563ca58ff671e33b5852fc11fef11b4fd3acaffc5aa30b3a2,features/chroma/180s/classical/discovery/classical_musicnet_1739__180s.npz,e648406cffaeedc92f4ff1fabf625981f1f32e37d6e217352e01a507c2cf2e05,features/four_group/rhythm/180s/classical/discovery/classical_musicnet_1739__180s.npz,2eaa8486680664b613c7d0fe257a0578c5265da966dc892655cb0919d2bde70b,features/modulation/180s/classical/discovery/classical_musicnet_1739__180s.npz,ae42d0cd1906d682fcb9f89447d7bf85787c21531d0fa40557309cd5d9b181d3,features/four_group/structure/180s/classical/discovery/classical_musicnet_1739__180s.npz,9e2a33ab2a91a5ac0bee99b69509fa9bd13bf85a1dbc01b27efc05b2556bdc42,features/manifests/180s/classical/discovery/classical_musicnet_1739__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,6f8c5d5ac49ef0ff8aec8bb894728c11869fe04d966efde673dbd92e08da1186,359,269,359,88,7,8,0,54,209,0,transformed,2026-08-02,
classical_musicnet_1739__300s,classical_musicnet_1739,classical,discovery,300.0,features/audio/300s/classical/discovery/classical_musicnet_1739__300s.wav,b4f0faa4ca28cfed952c04b79088e2b7d2260423e3e7c8701e5a43b05b1f0b79,features/acoustic/300s/classical/discovery/classical_musicnet_1739__300s.npz,f109313ae9bbc52b9a0a478958910cd08179db1c927f79dca443502fc89b482f,features/chroma/300s/classical/discovery/classical_musicnet_1739__300s.npz,aebdd682575fe04ae7e1786338b1a42931fad4b232f3a16ef1305d552ad8098b,features/four_group/rhythm/300s/classical/discovery/classical_musicnet_1739__300s.npz,3f3e3233f0723731a800174f6c41cfda98ae1bb8fc86a26dee4be4a5258dd941,features/modulation/300s/classical/discovery/classical_musicnet_1739__300s.npz,c994808e5dced62b5632e9e8212f238a9748daa2e972754536bf5cf9e9ba5b2c,features/four_group/structure/300s/classical/discovery/classical_musicnet_1739__300s.npz,d16b1a6ec0cfbab97751945bd98e6b810032d5dd345e680a8029edcc675b2b54,features/manifests/300s/classical/discovery/classical_musicnet_1739__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,6f8c5d5ac49ef0ff8aec8bb894728c11869fe04d966efde673dbd92e08da1186,599,490,599,148,13,14,0,98,438,0,transformed,2026-08-02,
