segment_id,track_id,group,split,scale_seconds,input_relative_path,input_sha256,acoustic_relative_path,acoustic_sha256,chroma_relative_path,chroma_sha256,rhythm_relative_path,rhythm_sha256,modulation_relative_path,modulation_sha256,structure_relative_path,structure_sha256,sidecar_relative_path,config_sha256,model_sha256,acoustic_windows,pitch_steps,rhythm_windows,modulation_windows,structure_blocks,structure_boundaries,invalid_acoustic_windows,uncertain_pitch_steps,invalid_rhythm_values,invalid_modulation_windows,status,processed_at,error
focus_jamendo_0016398__180s,focus_jamendo_0016398,focus_open,holdout,180.0,features/audio_focus_open/180s/focus/holdout/focus_jamendo_0016398__180s.wav,c370a009168b99ce627658d15a8a3ca1b5a1b28ef364760c8acf30fc88bb0c51,features/acoustic/180s/focus_open/holdout/focus_jamendo_0016398__180s.npz,1ef95046c44ae61e34cd9c76eed7d282856788c5430ea5018c79e83bdffcd1a6,features/chroma/180s/focus_open/holdout/focus_jamendo_0016398__180s.npz,39e074b3e1b4804bbcbcce742748a7d0dfe082e69e073889d7458b9413d3a5f5,features/rhythm/180s/focus_open/holdout/focus_jamendo_0016398__180s.npz,4dd91612fd269c3962986b9356050c5e1ee6066878dbb02f364f3bdb73cb6061,features/modulation/180s/focus_open/holdout/focus_jamendo_0016398__180s.npz,f78283a7a80387aaaddd88eae4163e799491aca3d8dba0faf0e71b12806a53fc,features/structure/180s/focus_open/holdout/focus_jamendo_0016398__180s.npz,0b835235e06f4666d82f5459a83c120dbd27d47e1906f7549d0ffef8aa773425,features/manifests/180s/focus_open/holdout/focus_jamendo_0016398__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,,359,357,359,88,6,7,0,76,62,0,extracted,2026-08-02,
focus_jamendo_0016398__300s,focus_jamendo_0016398,focus_open,holdout,300.0,features/audio_focus_open/300s/focus/holdout/focus_jamendo_0016398__300s.wav,f0cb59e1fc00dfe28f1d7f639184a02a783495c04c3c1a4cf917b025a0fb34d3,features/acoustic/300s/focus_open/holdout/focus_jamendo_0016398__300s.npz,18b54ade5963b83c7f6b850633f4b6c18e7163617c507d92a0b992da69bf02bc,features/chroma/300s/focus_open/holdout/focus_jamendo_0016398__300s.npz,f600fdb34e7bcb925982d839b0379edd343b322046d65b993d8bc4bbe2a3c480,features/rhythm/300s/focus_open/holdout/focus_jamendo_0016398__300s.npz,e95a9d0cd584f0bef3537c3f62635a5438b3bddab319472645b8ec8e57ecb904,features/modulation/300s/focus_open/holdout/focus_jamendo_0016398__300s.npz,892e61d84fa33427739ed44e93f2f71d5f331a144f2afdb518f4d82a8d6487a6,features/structure/300s/focus_open/holdout/focus_jamendo_0016398__300s.npz,a76c2f0e1335c59784d7089636d3d6d594f68342cbf29b5dca3eccff7ea79f7c,features/manifests/300s/focus_open/holdout/focus_jamendo_0016398__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,,477,441,477,118,8,9,0,98,220,0,extracted,2026-08-02,
focus_jamendo_0214220__180s,focus_jamendo_0214220,focus_open,holdout,180.0,features/audio_focus_open/180s/focus/holdout/focus_jamendo_0214220__180s.wav,4edeb48e9235c393984b0147f8815898e1c4c5befad0bad4b196d4f26810a786,features/acoustic/180s/focus_open/holdout/focus_jamendo_0214220__180s.npz,ec120bad0cd1b108c530ff2422cadb09d4fff7252b171ab9fca0c5d6123eca7e,features/chroma/180s/focus_open/holdout/focus_jamendo_0214220__180s.npz,c1f06945d6aa7b1191ec23c19a36bb3a06e61c05c6406e3519cc4e4b9c20e83d,features/rhythm/180s/focus_open/holdout/focus_jamendo_0214220__180s.npz,649b34015bc47b3dc157c7b45b3e0b1f231216bd37a4e971538c8e16ac67d0bf,features/modulation/180s/focus_open/holdout/focus_jamendo_0214220__180s.npz,ec3c80193906c970370ce84285ac6b2bbfed60f60d4407e9c047372e67acd29a,features/structure/180s/focus_open/holdout/focus_jamendo_0214220__180s.npz,b0342ab4c85cc4d38029f99738ed3f4725c6c76c6dd0a8e6f0f8fceeaf46d9a4,features/manifests/180s/focus_open/holdout/focus_jamendo_0214220__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,,359,363,359,88,12,13,0,80,450,0,extracted,2026-08-02,
focus_jamendo_0214220__300s,focus_jamendo_0214220,focus_open,holdout,300.0,features/audio_focus_open/300s/focus/holdout/focus_jamendo_0214220__300s.wav,7d6c0798b006f478811e2fa3c356939f668561dd19c0815c19aa254edeb7d722,features/acoustic/300s/focus_open/holdout/focus_jamendo_0214220__300s.npz,ef2265df4b81ce60bddebfec16d03669b2be977fe60bfccddaa7604d2083a8c6,features/chroma/300s/focus_open/holdout/focus_jamendo_0214220__300s.npz,75848b5d330a427f92412cfeea760ad8482a9e195785f25822c26d97f70e8367,features/rhythm/300s/focus_open/holdout/focus_jamendo_0214220__300s.npz,ed4be939c97418bfc9f10a29a6c48c9a27e22674a5a310c57a7464eeb665127a,features/modulation/300s/focus_open/holdout/focus_jamendo_0214220__300s.npz,2897cc64fe42170d975e4528849fb08e0930b6e295254448a6e29afe8c2160ff,features/structure/300s/focus_open/holdout/focus_jamendo_0214220__300s.npz,80c46b551c00bbd7e6f04c7fe25c5a6cc99418e7f25a32ad543c8dc4e6565dcf,features/manifests/300s/focus_open/holdout/focus_jamendo_0214220__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,,599,624,599,148,15,16,0,153,1139,0,extracted,2026-08-02,
focus_jamendo_1027423__180s,focus_jamendo_1027423,focus_open,discovery,180.0,features/audio_focus_open/180s/focus/discovery/focus_jamendo_1027423__180s.wav,73e3fcc0b0b6567e9f7f4d177a9e793f283ddf7a0aeb027ba1306a9b69fa777e,features/acoustic/180s/focus_open/discovery/focus_jamendo_1027423__180s.npz,80a85126eae31858c187355bbbfdef33cf36ed248de31a1ef30e2b0103f73ec4,features/chroma/180s/focus_open/discovery/focus_jamendo_1027423__180s.npz,4ea397a907ce2cfff8a1b26ead9885f40a769676c28502de3be1ea51112c0b01,features/rhythm/180s/focus_open/discovery/focus_jamendo_1027423__180s.npz,7738afe50fb7e9913a8179f9e5f93c81b434539b487aac6cabd8b02bb9d606d2,features/modulation/180s/focus_open/discovery/focus_jamendo_1027423__180s.npz,ba16ce4863370e77366a5c6c33ec1ee2b532e7714d38065460eb681c48d5511c,features/structure/180s/focus_open/discovery/focus_jamendo_1027423__180s.npz,61c792fed89924e4fdf82b37c92fe514d300f0fe347d5794c1e70babb7ef5453,features/manifests/180s/focus_open/discovery/focus_jamendo_1027423__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,,359,376,359,88,7,8,0,103,564,0,extracted,2026-08-02,
focus_jamendo_1027423__300s,focus_jamendo_1027423,focus_open,discovery,300.0,features/audio_focus_open/300s/focus/discovery/focus_jamendo_1027423__300s.wav,b166b4186471692ee8eaf11018f097a0edd5e0d991a78a020811916805bb4cd5,features/acoustic/300s/focus_open/discovery/focus_jamendo_1027423__300s.npz,8dca896ce04b1f7cc795c0f0519a1804b5f78d1282e36487279cd255fe2ac295,features/chroma/300s/focus_open/discovery/focus_jamendo_1027423__300s.npz,ca93e948241be02ee07acc2be60ad7d9b0311ec1942d8f204b9ad634916e27b8,features/rhythm/300s/focus_open/discovery/focus_jamendo_1027423__300s.npz,cd6e42c6977643f16c16135035059b5b76752130331cd221a0433ca0d97f5721,features/modulation/300s/focus_open/discovery/focus_jamendo_1027423__300s.npz,50c1b1a9405fb7f2b7436b6e758416a58b4d3d4a156d14aa2a99f01c7e51be9c,features/structure/300s/focus_open/discovery/focus_jamendo_1027423__300s.npz,3eb134ff26ee58a656bafcc97fd4281b50a525cbb6598a60e8f16621a0cfbf5e,features/manifests/300s/focus_open/discovery/focus_jamendo_1027423__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,,599,632,599,148,11,12,0,190,1020,0,extracted,2026-08-02,
focus_jamendo_1027427__180s,focus_jamendo_1027427,focus_open,discovery,180.0,features/audio_focus_open/180s/focus/discovery/focus_jamendo_1027427__180s.wav,b6f0d4bc62f85098a6eabc21e5eda4d2b2462ef99e8431582110f045fbda24ce,features/acoustic/180s/focus_open/discovery/focus_jamendo_1027427__180s.npz,9c3fd25ef02a89de3c5f0d62d4b67afa70980a2797fd15dfe323298f7ac94cbc,features/chroma/180s/focus_open/discovery/focus_jamendo_1027427__180s.npz,b4dccfed8ea790a6e85ec4246aefbdbacb1d9fd114e3d94f387b4dc72e465cfe,features/rhythm/180s/focus_open/discovery/focus_jamendo_1027427__180s.npz,ac94145830931c67da4c4fffa385187add3ad28d7c1e79f1936775fc6ddc95e7,features/modulation/180s/focus_open/discovery/focus_jamendo_1027427__180s.npz,d28e99055f46f5975f306696c496550f1ff962907e25d580bc53eed429873d6c,features/structure/180s/focus_open/discovery/focus_jamendo_1027427__180s.npz,13fbf1ec538e28de418e9fd1eb296e35f309840ec9be0049e0f22c39b812c49a,features/manifests/180s/focus_open/discovery/focus_jamendo_1027427__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,,359,412,359,88,7,8,0,206,406,0,extracted,2026-08-02,
focus_jamendo_1027427__300s,focus_jamendo_1027427,focus_open,discovery,300.0,features/audio_focus_open/300s/focus/discovery/focus_jamendo_1027427__300s.wav,c082a589bf2fb811e2a8efe822da58862bd7526b4f60c952c2f8338aee8eda34,features/acoustic/300s/focus_open/discovery/focus_jamendo_1027427__300s.npz,a74ef81ac13b5ed43fcd7c00ebdba443c27b6fb8cab56fa8da4032e892627d7b,features/chroma/300s/focus_open/discovery/focus_jamendo_1027427__300s.npz,b875c0da771508a158d0b8dd94e67a0b87987cfef98398efd1d926283f7356fc,features/rhythm/300s/focus_open/discovery/focus_jamendo_1027427__300s.npz,28735e3d6508290330faf2119141317974d860a85e9c263f64ec74cf9e449cc9,features/modulation/300s/focus_open/discovery/focus_jamendo_1027427__300s.npz,7aa5ec91040341e5ec5179d135d68b60cfb70843d041f7eb07d69bd1cd0f1da6,features/structure/300s/focus_open/discovery/focus_jamendo_1027427__300s.npz,a63ae136ae89d7cb809dba60afd2eb3de9a4ef1cadeeea30e425e05de523a7c9,features/manifests/300s/focus_open/discovery/focus_jamendo_1027427__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,,527,567,527,130,10,11,0,289,717,0,extracted,2026-08-02,
focus_jamendo_1027938__180s,focus_jamendo_1027938,focus_open,discovery,180.0,features/audio_focus_open/180s/focus/discovery/focus_jamendo_1027938__180s.wav,019c15610d6fc1f72274570f3a5abd9c0426ec142c1d56a3a463ddc53fe1b4ea,features/acoustic/180s/focus_open/discovery/focus_jamendo_1027938__180s.npz,8d92ba1f16b1a18c83d6cdcc17e0fc7a46e44fa88beca1dca986f2da04b823fc,features/chroma/180s/focus_open/discovery/focus_jamendo_1027938__180s.npz,9984c99ac5c657a2640de8ad52e77170d0ce40c17b94da71c4e465a30ffc93f6,features/rhythm/180s/focus_open/discovery/focus_jamendo_1027938__180s.npz,3bf3cd932b24468e102325e3a1073d2d41e69a8183b24eb620dbf9442ee0539d,features/modulation/180s/focus_open/discovery/focus_jamendo_1027938__180s.npz,c08bfeecaaf68178b0da4d595d5b15da8c2c1de69708e9f80982b001bd8dfadf,features/structure/180s/focus_open/discovery/focus_jamendo_1027938__180s.npz,775ddc55c778220e6625c30bbd15c7750372b5266aa98150a602741edefc329f,features/manifests/180s/focus_open/discovery/focus_jamendo_1027938__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,,359,384,359,88,6,7,0,78,476,0,extracted,2026-08-02,
focus_jamendo_1027938__300s,focus_jamendo_1027938,focus_open,discovery,300.0,features/audio_focus_open/300s/focus/discovery/focus_jamendo_1027938__300s.wav,3288647b6c5658a8c1dee0ebb60a158c8b1049382de27b8cb4815af3c9d9bc3f,features/acoustic/300s/focus_open/discovery/focus_jamendo_1027938__300s.npz,70454a85c30ee4ac39877839ad39ebd0f5416d289020450410b2976780c874f7,features/chroma/300s/focus_open/discovery/focus_jamendo_1027938__300s.npz,ef607447756676ecd183cd6e18b600d79e6546e96ac44e34da83c37dcc15a1c9,features/rhythm/300s/focus_open/discovery/focus_jamendo_1027938__300s.npz,0af9c768c5432120edcb38fc606bd3ccc2a6ab40b45f7f53d1d63f1f79a11bf3,features/modulation/300s/focus_open/discovery/focus_jamendo_1027938__300s.npz,fccd8a53905d2647226353fce029d8bf1072d4fa85f3069497923a4677dcf1c1,features/structure/300s/focus_open/discovery/focus_jamendo_1027938__300s.npz,cc5a7687e8a10a373bd5fb1b54fe911f4d5caf3534ea92addbad29d75e3bb22d,features/manifests/300s/focus_open/discovery/focus_jamendo_1027938__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,,599,637,599,148,14,15,0,154,940,0,extracted,2026-08-02,
