segment_id,track_id,group,split,scale_seconds,source_chroma_relative_path,source_chroma_sha256,pitch_v2_relative_path,pitch_v2_sha256,codebook_sha256,steps,valid_steps,masked_steps,observed_states,median_codebook_distance,status,processed_at,error
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,features/chroma/180s/classical/discovery/classical_musicnet_1727__180s.npz,8884301f4dd69b5a21a747ffd94008330043143d4dc778499904c96daf1e21cc,features/four_group/pitch_v2/180s/classical/discovery/classical_musicnet_1727__180s.npz,4985c5156a9946b00df0c8b90d22bc64f06302bf29c09a258bca102513e2fc85,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,354,295,59,16,0.20805753767490387,success,2026-08-02,
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,features/chroma/300s/classical/discovery/classical_musicnet_1727__300s.npz,a34d940fb8271b5029aef2dba005c8542fb280a58d795fe3feace2916f68f876,features/four_group/pitch_v2/300s/classical/discovery/classical_musicnet_1727__300s.npz,4cff5566a6862e4387858420a76775400663f49f6430124ac40ac5534f9e7187,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,592,494,98,16,0.21511361002922058,success,2026-08-02,
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,features/chroma/180s/classical/discovery/classical_musicnet_1728__180s.npz,c2781d2575f38a504b6b6d3c1d0f2ae6ce01c6357d090d442595a3f8fabc6408,features/four_group/pitch_v2/180s/classical/discovery/classical_musicnet_1728__180s.npz,ec461d20f6bb0a4ffb33090260645de23b5d0d49f3290015a2b42bbdf23bd3fd,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,317,258,59,15,0.22653955221176147,success,2026-08-02,
classical_musicnet_1728__300s,classical_musicnet_1728,classical,discovery,300.0,features/chroma/300s/classical/discovery/classical_musicnet_1728__300s.npz,25c6fe668f7cafdf314e358df6e41eb859b5c40c8d1c66a18e742ac478675ad5,features/four_group/pitch_v2/300s/classical/discovery/classical_musicnet_1728__300s.npz,cb719ba174350a0c248f5aee0bdd95dca2bcab70bff0e8cabbbde55bd9b9f1dd,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,437,351,86,15,0.22542348504066467,success,2026-08-02,
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,features/chroma/180s/classical/discovery/classical_musicnet_1729__180s.npz,336746980dfccd4efd9eed7b01807832a3c3b1a45cc75fb84ee0aee408c9c5cf,features/four_group/pitch_v2/180s/classical/discovery/classical_musicnet_1729__180s.npz,bb99268763ceab280fbf60fec9379759d305e4c804a0f8c1fabd5a1e7087ee6b,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,391,301,90,15,0.20699116587638855,success,2026-08-02,
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,features/chroma/300s/classical/discovery/classical_musicnet_1729__300s.npz,fcc249131acdc43b0914c87ca2380a00b02f43a6a5474d3784f85844765fa0c2,features/four_group/pitch_v2/300s/classical/discovery/classical_musicnet_1729__300s.npz,c83136f7f675bf7ef2157e5ddabe0f11e1bb7ce39306fea6d97128aaf7c49773,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,653,516,137,16,0.2138528823852539,success,2026-08-02,
classical_musicnet_1730__180s,classical_musicnet_1730,classical,discovery,180.0,features/chroma/180s/classical/discovery/classical_musicnet_1730__180s.npz,ad2205423b5eca502ed53e238f7aa0cf5f38fcf9853ac9fafee3f6eb29199b46,features/four_group/pitch_v2/180s/classical/discovery/classical_musicnet_1730__180s.npz,14d23c5cdf7f1ace51fd6e08921b9b23143c13b5f565cc978cd14094d5788760,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,354,272,82,16,0.2067587673664093,success,2026-08-02,
classical_musicnet_1730__300s,classical_musicnet_1730,classical,discovery,300.0,features/chroma/300s/classical/discovery/classical_musicnet_1730__300s.npz,62f80a89d9773b65cf9cbd13d785d9c2556fc72e9f53710febea8a6c69634cbc,features/four_group/pitch_v2/300s/classical/discovery/classical_musicnet_1730__300s.npz,4fc8fdc046c015b29749635c8b108283f5625d59f9e399d64a69866a7aea6cd9,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,585,455,130,16,0.20832350850105286,success,2026-08-02,
classical_musicnet_1739__180s,classical_musicnet_1739,classical,discovery,180.0,features/chroma/180s/classical/discovery/classical_musicnet_1739__180s.npz,e648406cffaeedc92f4ff1fabf625981f1f32e37d6e217352e01a507c2cf2e05,features/four_group/pitch_v2/180s/classical/discovery/classical_musicnet_1739__180s.npz,98c12b881d3c2b68ccc2823fc2c34875b3d42e29264b951619118ab837d319a8,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,269,215,54,14,0.22955170273780823,success,2026-08-02,
classical_musicnet_1739__300s,classical_musicnet_1739,classical,discovery,300.0,features/chroma/300s/classical/discovery/classical_musicnet_1739__300s.npz,aebdd682575fe04ae7e1786338b1a42931fad4b232f3a16ef1305d552ad8098b,features/four_group/pitch_v2/300s/classical/discovery/classical_musicnet_1739__300s.npz,5655f1c8e2ccc6b3c7f65d0e2ce4d0994aaf1375bf173c43efac5416282bc5b2,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,490,392,98,16,0.2284490168094635,success,2026-08-02,
classical_musicnet_1742__180s,classical_musicnet_1742,classical,discovery,180.0,features/chroma/180s/classical/discovery/classical_musicnet_1742__180s.npz,ce2a1c7eb80275996bf6bbd36dc185ac07d69c7404b3ceeba5459ed84cccd0c5,features/four_group/pitch_v2/180s/classical/discovery/classical_musicnet_1742__180s.npz,3334bca81efda16f078b837bd617f3817243a4e0f1dc5d0f9c23b13669a1f61f,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,361,292,69,16,0.25746867060661316,success,2026-08-02,
classical_musicnet_1742__300s,classical_musicnet_1742,classical,discovery,300.0,features/chroma/300s/classical/discovery/classical_musicnet_1742__300s.npz,ae34528badef9b69ba36a5f896d93c9b3e352bd829d1f13ee3af2b226a2e7a55,features/four_group/pitch_v2/300s/classical/discovery/classical_musicnet_1742__300s.npz,cf3acda828c4d2fc402dc4e835c89f0136acd9badf601c083055712318429aee,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,598,494,104,16,0.25622066855430603,success,2026-08-02,
classical_musicnet_1763__180s,classical_musicnet_1763,classical,discovery,180.0,features/chroma/180s/classical/discovery/classical_musicnet_1763__180s.npz,1ccdc2a9319843b5904517ea48aa09c4ce9f689f0a55a62960b3062a474d33c3,features/four_group/pitch_v2/180s/classical/discovery/classical_musicnet_1763__180s.npz,f44d121d816e6d436d348f3584476afa066f7b4877fe6eff88e24e54efb72ffd,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,369,292,77,16,0.24080109596252441,success,2026-08-02,
classical_musicnet_1763__300s,classical_musicnet_1763,classical,discovery,300.0,features/chroma/300s/classical/discovery/classical_musicnet_1763__300s.npz,83781d670d58f6fc1a22187fbfef31da40fd6ec64a24adb519952289b1a25abf,features/four_group/pitch_v2/300s/classical/discovery/classical_musicnet_1763__300s.npz,84fd2d8ec7aba33c0cce2c38375ee990a5b470625b7155f19f067034c53ca896,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,613,487,126,16,0.2515661418437958,success,2026-08-02,
classical_musicnet_1764__180s,classical_musicnet_1764,classical,discovery,180.0,features/chroma/180s/classical/discovery/classical_musicnet_1764__180s.npz,e9427b8059ce409eff0baa8509993bd02c36e87fe37e7022861e5eec7cff166e,features/four_group/pitch_v2/180s/classical/discovery/classical_musicnet_1764__180s.npz,640451232ba638dc01a06bab70914c099f9c2d2bac4889493ae29e9883a19b24,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,407,323,84,15,0.23584505915641785,success,2026-08-02,
classical_musicnet_1764__300s,classical_musicnet_1764,classical,discovery,300.0,features/chroma/300s/classical/discovery/classical_musicnet_1764__300s.npz,d3becc6f47861c91d2bd97b2b74a18f5017ec786db5045f0558b5403e9d7acfb,features/four_group/pitch_v2/300s/classical/discovery/classical_musicnet_1764__300s.npz,f65ab554aeefa9e039e3c55faf190606fae26c0ecf7f464e124257221ad290e8,1dfbce0fd5fbde0a2e225aea1718a264076ab7cd79c3a8cbd8e544b4aff3fc3f,623,506,117,15,0.24285350739955902,success,2026-08-02,
