segment_id,track_id,group,split,scale_seconds,input_relative_path,input_sha256,acoustic_relative_path,acoustic_sha256,chroma_relative_path,chroma_sha256,rhythm_relative_path,rhythm_sha256,modulation_relative_path,modulation_sha256,structure_relative_path,structure_sha256,sidecar_relative_path,config_sha256,model_sha256,acoustic_windows,pitch_steps,rhythm_windows,modulation_windows,structure_blocks,structure_boundaries,invalid_acoustic_windows,uncertain_pitch_steps,invalid_rhythm_values,invalid_modulation_windows,status,processed_at,error
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,features/audio/180s/classical/discovery/classical_musicnet_1727__180s.wav,22f15111554832202311b7bb62a57d7fece722069ec4e63b530ceddc0562515c,features/acoustic/180s/classical/discovery/classical_musicnet_1727__180s.npz,37af16baff12a9d2c4bd13ed78f158c1587630d6894a810f8cc00ba478f83740,features/chroma/180s/classical/discovery/classical_musicnet_1727__180s.npz,8884301f4dd69b5a21a747ffd94008330043143d4dc778499904c96daf1e21cc,features/rhythm/180s/classical/discovery/classical_musicnet_1727__180s.npz,9ae784b7bb16d7316652651111aa583594307e878f013285ea8bf10f598c8713,features/modulation/180s/classical/discovery/classical_musicnet_1727__180s.npz,112ba2803b586219e078c516d649c720ad5a3644261931a1383535741e5b30f3,features/structure/180s/classical/discovery/classical_musicnet_1727__180s.npz,1436b7fb7e63c7aa890e1e14f20b704ee2ebaf4976cbe1f683772fc962e6c7cc,features/manifests/180s/classical/discovery/classical_musicnet_1727__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,047af2e4ddd32138f21873bfb9c41fbbdf9903a56e6efbdc0ed39d426a3ac0f2,359,354,359,88,8,9,0,59,21,0,transformed,2026-08-01,
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,features/audio/300s/classical/discovery/classical_musicnet_1727__300s.wav,18f8b97aac9fceb4e6dfd4163eacd452b41c1a8ae8182a43915aad7f0a75c2ec,features/acoustic/300s/classical/discovery/classical_musicnet_1727__300s.npz,a948caa7e07adaaa6fa90088bab45eddac6500b5c79f3bd21786e37e1518e252,features/chroma/300s/classical/discovery/classical_musicnet_1727__300s.npz,a34d940fb8271b5029aef2dba005c8542fb280a58d795fe3feace2916f68f876,features/rhythm/300s/classical/discovery/classical_musicnet_1727__300s.npz,efe18b81f3df42def1e984f9ad4d78a8d1e32acece523bdf99f556b9d9e2a3cd,features/modulation/300s/classical/discovery/classical_musicnet_1727__300s.npz,9229cf4f01dccfa968f2a6390760d30cd8d4644d7b9f7e8a26fe16fe9e49a511,features/structure/300s/classical/discovery/classical_musicnet_1727__300s.npz,17c86fca5ba9f241a80457af3b78b156ed69e36eaeab73860df0146d4aab0daa,features/manifests/300s/classical/discovery/classical_musicnet_1727__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,047af2e4ddd32138f21873bfb9c41fbbdf9903a56e6efbdc0ed39d426a3ac0f2,599,592,599,148,12,13,0,98,39,0,transformed,2026-08-01,
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,features/audio/180s/classical/discovery/classical_musicnet_1728__180s.wav,db9c30ad604ce16aaca3e4dc4e00fd940d431a548cd75176788d83cabd202bf5,features/acoustic/180s/classical/discovery/classical_musicnet_1728__180s.npz,30b1d0ed8ebfe345a19384feb1c73f396708e9c2f47431c375eeb2f2085fafa1,features/chroma/180s/classical/discovery/classical_musicnet_1728__180s.npz,c2781d2575f38a504b6b6d3c1d0f2ae6ce01c6357d090d442595a3f8fabc6408,features/rhythm/180s/classical/discovery/classical_musicnet_1728__180s.npz,6f8d52b32facbfb4c839f1bc2838af60e716718b61616a1c839322131c52d153,features/modulation/180s/classical/discovery/classical_musicnet_1728__180s.npz,b3d44f0075bd3e85e1a895c89d97a266719f50f4084bf09d0f0737528f4e12ba,features/structure/180s/classical/discovery/classical_musicnet_1728__180s.npz,fc299dee73e587f84109ad59cbed15349337e6980522d6e9ca1eaa6736cf4e58,features/manifests/180s/classical/discovery/classical_musicnet_1728__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,047af2e4ddd32138f21873bfb9c41fbbdf9903a56e6efbdc0ed39d426a3ac0f2,359,317,359,88,6,7,0,59,124,0,transformed,2026-08-01,
classical_musicnet_1728__300s,classical_musicnet_1728,classical,discovery,300.0,features/audio/300s/classical/discovery/classical_musicnet_1728__300s.wav,82bfd44e0e348fbd2953b62d37b544939be63356c21582ad0892d320ac39d00c,features/acoustic/300s/classical/discovery/classical_musicnet_1728__300s.npz,c520a9a5ae4e79d133f39b1b93ae37738cfd26d550b5d9c649916c0874baa6fe,features/chroma/300s/classical/discovery/classical_musicnet_1728__300s.npz,25c6fe668f7cafdf314e358df6e41eb859b5c40c8d1c66a18e742ac478675ad5,features/rhythm/300s/classical/discovery/classical_musicnet_1728__300s.npz,de8b1795aeb9163fe0b7583396d7b05570f3648f3b2270daa6a516a77d08c94c,features/modulation/300s/classical/discovery/classical_musicnet_1728__300s.npz,89c684fd3c090a38848011790bcc5d6956ab8b60ab2b1fcdf139b13aa3379166,features/structure/300s/classical/discovery/classical_musicnet_1728__300s.npz,48a2465e1a2d53933678a670df9d4aa36a8170ebe74fe2410a93349274838bc8,features/manifests/300s/classical/discovery/classical_musicnet_1728__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,047af2e4ddd32138f21873bfb9c41fbbdf9903a56e6efbdc0ed39d426a3ac0f2,501,437,501,124,11,12,0,86,179,0,transformed,2026-08-01,
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,features/audio/180s/classical/discovery/classical_musicnet_1729__180s.wav,d2bd318c578ee957974a2670c78423c0a62a3e957a84f0372517407eb45cba86,features/acoustic/180s/classical/discovery/classical_musicnet_1729__180s.npz,fe7d374a7c1a1b2d098a2c28d2497e2468e9fb4032696e8cbd414f9cf6ceea40,features/chroma/180s/classical/discovery/classical_musicnet_1729__180s.npz,336746980dfccd4efd9eed7b01807832a3c3b1a45cc75fb84ee0aee408c9c5cf,features/rhythm/180s/classical/discovery/classical_musicnet_1729__180s.npz,83fa241eebdb5f925af3dfaf9897975828e5ca5ca81d0905f1fd91aef985e35f,features/modulation/180s/classical/discovery/classical_musicnet_1729__180s.npz,e859c4bb34a37a8ed97c090b35d0d774c83851ead58a1fd5aae536614f3b77b5,features/structure/180s/classical/discovery/classical_musicnet_1729__180s.npz,b46698104da5e92d732c7dbfc24193b047db914cf2b4b6135aec1268761de6de,features/manifests/180s/classical/discovery/classical_musicnet_1729__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,047af2e4ddd32138f21873bfb9c41fbbdf9903a56e6efbdc0ed39d426a3ac0f2,359,391,359,88,10,11,0,90,43,0,transformed,2026-08-01,
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,features/audio/300s/classical/discovery/classical_musicnet_1729__300s.wav,35820627bb2ec7e70f2caa2004ad6f5be95f83c63d74b9f4489be58612993d2c,features/acoustic/300s/classical/discovery/classical_musicnet_1729__300s.npz,75e9d496ffa81cb78f5e3acd217f8efc389478b51e3d7b1e57125e785b9d1628,features/chroma/300s/classical/discovery/classical_musicnet_1729__300s.npz,fcc249131acdc43b0914c87ca2380a00b02f43a6a5474d3784f85844765fa0c2,features/rhythm/300s/classical/discovery/classical_musicnet_1729__300s.npz,99114cdd12fa4f8a3def21a8b65d97766a17b2a6c8fe92451df8e69b1557351b,features/modulation/300s/classical/discovery/classical_musicnet_1729__300s.npz,4895c77a982f8c0af03fa99da0965b9c5d3b6f018f544f5cc690037e657833ea,features/structure/300s/classical/discovery/classical_musicnet_1729__300s.npz,3dc3ff062007245d18b67125015d72a4a10dbe369e2beb824bb289164f7abe2f,features/manifests/300s/classical/discovery/classical_musicnet_1729__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,047af2e4ddd32138f21873bfb9c41fbbdf9903a56e6efbdc0ed39d426a3ac0f2,599,653,599,148,16,17,0,137,109,0,transformed,2026-08-01,
classical_musicnet_1730__180s,classical_musicnet_1730,classical,discovery,180.0,features/audio/180s/classical/discovery/classical_musicnet_1730__180s.wav,671f20925cb59d9aa69e12681672204ebf27ffbbf6f47ca9f98d710e157f8245,features/acoustic/180s/classical/discovery/classical_musicnet_1730__180s.npz,2b7f52d184bd789aad58795d7cddc98d63a2332c803484808b20dfd8639a8bf6,features/chroma/180s/classical/discovery/classical_musicnet_1730__180s.npz,ad2205423b5eca502ed53e238f7aa0cf5f38fcf9853ac9fafee3f6eb29199b46,features/rhythm/180s/classical/discovery/classical_musicnet_1730__180s.npz,bc69f9f76366c35f6921af8a66459c2ee3d7a53895c705a76a4d8287da3f08b8,features/modulation/180s/classical/discovery/classical_musicnet_1730__180s.npz,72752c0cbee5cd2b9b11c77201ef1b277bc7f6e775e8c9d27ba6d0ebfa6820af,features/structure/180s/classical/discovery/classical_musicnet_1730__180s.npz,6d579189c5d585f086cd505b09bb14fde1bda3e8557ccda3bb210a2e591c81b5,features/manifests/180s/classical/discovery/classical_musicnet_1730__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,047af2e4ddd32138f21873bfb9c41fbbdf9903a56e6efbdc0ed39d426a3ac0f2,359,354,359,88,8,9,0,82,89,0,transformed,2026-08-01,
classical_musicnet_1730__300s,classical_musicnet_1730,classical,discovery,300.0,features/audio/300s/classical/discovery/classical_musicnet_1730__300s.wav,da5593b3c9d14268ed7524efa50fe5bc617d68b83f8062e1571d89d47ea8985b,features/acoustic/300s/classical/discovery/classical_musicnet_1730__300s.npz,225c818b9106cc87b488b464026f2384e99ffe5a48a25c0d0f0f794700cdd040,features/chroma/300s/classical/discovery/classical_musicnet_1730__300s.npz,62f80a89d9773b65cf9cbd13d785d9c2556fc72e9f53710febea8a6c69634cbc,features/rhythm/300s/classical/discovery/classical_musicnet_1730__300s.npz,f9e3b8ec98684e31c7032bd325148214754f2075e30e0ec29a7b91b4aa44001f,features/modulation/300s/classical/discovery/classical_musicnet_1730__300s.npz,3abe3ba92755d28f53f709740be0288b06b06b7b53dba1810498e783a7ab8ea0,features/structure/300s/classical/discovery/classical_musicnet_1730__300s.npz,3550255f8d416701456c0c256896a7fc96ec39bb2435a87b8c053fa8153df463,features/manifests/300s/classical/discovery/classical_musicnet_1730__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,047af2e4ddd32138f21873bfb9c41fbbdf9903a56e6efbdc0ed39d426a3ac0f2,599,585,599,148,12,13,0,130,136,0,transformed,2026-08-01,
classical_musicnet_1739__180s,classical_musicnet_1739,classical,discovery,180.0,features/audio/180s/classical/discovery/classical_musicnet_1739__180s.wav,6f8e18b6e67b32cafba6afe71d2149510844c24096e473c71d62b89d73820ee7,features/acoustic/180s/classical/discovery/classical_musicnet_1739__180s.npz,acf480c126ad755563ca58ff671e33b5852fc11fef11b4fd3acaffc5aa30b3a2,features/chroma/180s/classical/discovery/classical_musicnet_1739__180s.npz,e648406cffaeedc92f4ff1fabf625981f1f32e37d6e217352e01a507c2cf2e05,features/rhythm/180s/classical/discovery/classical_musicnet_1739__180s.npz,8bbd7f41d5a41cbe42337f6adb2ec3cf91b5e289e5f56ee9bb468b606a7eed1a,features/modulation/180s/classical/discovery/classical_musicnet_1739__180s.npz,ae42d0cd1906d682fcb9f89447d7bf85787c21531d0fa40557309cd5d9b181d3,features/structure/180s/classical/discovery/classical_musicnet_1739__180s.npz,bad29ef349a1e6ea5fdb1cbc6c04592d5d5f3e70fde7e0490243e8d0c217fbb4,features/manifests/180s/classical/discovery/classical_musicnet_1739__180s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,047af2e4ddd32138f21873bfb9c41fbbdf9903a56e6efbdc0ed39d426a3ac0f2,359,269,359,88,7,8,0,54,209,0,transformed,2026-08-01,
classical_musicnet_1739__300s,classical_musicnet_1739,classical,discovery,300.0,features/audio/300s/classical/discovery/classical_musicnet_1739__300s.wav,b4f0faa4ca28cfed952c04b79088e2b7d2260423e3e7c8701e5a43b05b1f0b79,features/acoustic/300s/classical/discovery/classical_musicnet_1739__300s.npz,f109313ae9bbc52b9a0a478958910cd08179db1c927f79dca443502fc89b482f,features/chroma/300s/classical/discovery/classical_musicnet_1739__300s.npz,aebdd682575fe04ae7e1786338b1a42931fad4b232f3a16ef1305d552ad8098b,features/rhythm/300s/classical/discovery/classical_musicnet_1739__300s.npz,6f273205c2ed3dfb0efe953e55fa75250104c2a79712f277bd80d4095c1304b7,features/modulation/300s/classical/discovery/classical_musicnet_1739__300s.npz,c994808e5dced62b5632e9e8212f238a9748daa2e972754536bf5cf9e9ba5b2c,features/structure/300s/classical/discovery/classical_musicnet_1739__300s.npz,46931a9a8844137356367249855e6f8a5b93c3cecae5d15e1e7c86447f6a1bf6,features/manifests/300s/classical/discovery/classical_musicnet_1739__300s.json,173d85773941ec82ea1a596895ffc9530c08837d66c0782102d660781d90d13c,047af2e4ddd32138f21873bfb9c41fbbdf9903a56e6efbdc0ed39d426a3ac0f2,599,490,599,148,13,14,0,98,438,0,transformed,2026-08-01,
