segment_id,track_id,group,split,scale_seconds,view,threshold,vertex_count,edge_count,h0_betti,h0_allowed_path_count,h0_omega_dimension,h0_cycle_dimension,h0_boundary_rank,h1_betti,h1_allowed_path_count,h1_omega_dimension,h1_cycle_dimension,h1_boundary_rank
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.95,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.9,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.8,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.7,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.6,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.5,16,1,15,16,16,16,1,0,1,1,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.95,6,0,6,6,6,6,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.9,6,0,6,6,6,6,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.8,6,0,6,6,6,6,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.7,6,1,5,6,6,6,1,0,1,1,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.6,6,1,5,6,6,6,1,0,1,1,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.5,6,2,5,6,6,6,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.95,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.9,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.8,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.7,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.6,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.5,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.95,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.9,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.8,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.7,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.6,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.5,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,rhythm,0.95,6,0,6,6,6,6,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,rhythm,0.9,6,0,6,6,6,6,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,rhythm,0.8,6,0,6,6,6,6,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,rhythm,0.7,6,1,5,6,6,6,1,0,1,1,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,rhythm,0.6,6,2,5,6,6,6,1,0,2,2,1,1
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,rhythm,0.5,6,3,4,6,6,6,2,0,3,3,1,1
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,structure,0.95,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,structure,0.9,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,structure,0.8,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,structure,0.7,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,structure,0.6,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,structure,0.5,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,pitch_v2,0.95,15,1,14,15,15,15,1,0,1,1,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,pitch_v2,0.9,15,1,14,15,15,15,1,0,1,1,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,pitch_v2,0.8,15,1,14,15,15,15,1,0,1,1,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,pitch_v2,0.7,15,1,14,15,15,15,1,0,1,1,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,pitch_v2,0.6,15,2,13,15,15,15,2,0,2,2,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,pitch_v2,0.5,15,8,7,15,15,15,8,0,8,8,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,rhythm,0.95,8,0,8,8,8,8,0,0,0,0,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,rhythm,0.9,8,0,8,8,8,8,0,0,0,0,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,rhythm,0.8,8,0,8,8,8,8,0,0,0,0,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,rhythm,0.7,8,0,8,8,8,8,0,0,0,0,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,rhythm,0.6,8,0,8,8,8,8,0,0,0,0,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,rhythm,0.5,8,1,7,8,8,8,1,0,1,1,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,structure,0.95,3,3,1,3,3,3,2,1,3,3,1,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,structure,0.9,3,3,1,3,3,3,2,1,3,3,1,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,structure,0.8,3,3,1,3,3,3,2,1,3,3,1,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,structure,0.7,3,3,1,3,3,3,2,1,3,3,1,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,structure,0.6,3,3,1,3,3,3,2,1,3,3,1,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,structure,0.5,3,3,1,3,3,3,2,1,3,3,1,0
classical_musicnet_1728__300s,classical_musicnet_1728,classical,discovery,300.0,pitch_v2,0.95,15,1,14,15,15,15,1,0,1,1,0,0
classical_musicnet_1728__300s,classical_musicnet_1728,classical,discovery,300.0,pitch_v2,0.9,15,1,14,15,15,15,1,0,1,1,0,0
