segment_id,track_id,group,split,scale_seconds,view,threshold,vertex_count,edge_count,h0_betti,h0_allowed_path_count,h0_omega_dimension,h0_cycle_dimension,h0_boundary_rank,h1_betti,h1_allowed_path_count,h1_omega_dimension,h1_cycle_dimension,h1_boundary_rank
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.95,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.9,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.8,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.7,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.6,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.5,16,1,15,16,16,16,1,0,1,1,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.4,16,6,10,16,16,16,6,0,6,6,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.3,16,10,7,16,16,16,9,0,10,10,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.2,16,35,1,16,16,16,15,3,35,35,20,17
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.15,16,43,1,16,16,16,15,5,43,43,28,23
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.1,16,60,1,16,16,16,15,0,60,60,45,45
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.075,16,75,1,16,16,16,15,0,75,75,60,60
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch_v2,0.05,16,84,1,16,16,16,15,0,84,84,69,69
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.95,6,0,6,6,6,6,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.9,6,0,6,6,6,6,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.8,6,0,6,6,6,6,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.7,6,1,5,6,6,6,1,0,1,1,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.6,6,1,5,6,6,6,1,0,1,1,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.5,6,2,5,6,6,6,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.4,6,6,1,6,6,6,5,0,6,6,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.3,6,6,1,6,6,6,5,0,6,6,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.2,6,12,1,6,6,6,5,0,12,12,7,7
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.15,6,14,1,6,6,6,5,0,14,14,9,9
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.1,6,20,1,6,6,6,5,0,20,20,15,15
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.075,6,21,1,6,6,6,5,0,21,21,16,16
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.05,6,25,1,6,6,6,5,0,25,25,20,20
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.95,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.9,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.8,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.7,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.6,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.5,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.4,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.3,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.2,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.15,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.1,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.075,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,structure,0.05,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.95,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.9,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.8,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.7,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.6,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.5,16,0,16,16,16,16,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.4,16,2,14,16,16,16,2,0,2,2,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.3,16,8,9,16,16,16,7,0,8,8,1,1
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.2,16,22,1,16,16,16,15,2,22,22,7,5
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.15,16,38,1,16,16,16,15,5,38,38,23,18
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.1,16,62,1,16,16,16,15,0,62,62,47,47
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.075,16,86,1,16,16,16,15,0,86,86,71,71
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,pitch_v2,0.05,16,93,1,16,16,16,15,0,93,93,78,78
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,rhythm,0.95,6,0,6,6,6,6,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,rhythm,0.9,6,0,6,6,6,6,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,rhythm,0.8,6,0,6,6,6,6,0,0,0,0,0,0
