analysis_set,scale_seconds,feature_set,classifier,selection,best_c,cv_macro_f1,n_train,n_validation,balanced_accuracy,macro_f1,auroc,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,auroc_ci_low,auroc_ci_high
primary_validation_180,180.0,pitch,L2 logistic regression,discovery/180s five-fold CV macro-F1,0.1,0.9743277135715104,390,120,0.925,0.9245757385292269,0.9855555555555555,0.8833333333333333,0.9666666666666667,0.8817234581807942,0.9666295884315907,0.9686041666666666,0.9977777777777778
primary_validation_180,180.0,rhythm,L2 logistic regression,discovery/180s five-fold CV macro-F1,1.0,0.6822411111867014,390,120,0.7583333333333333,0.7521190968017665,0.8572222222222222,0.6833333333333333,0.825,0.6701388888888888,0.822921790457452,0.7886111111111112,0.9216736111111111
primary_validation_180,180.0,modulation_smp_k10,L2 logistic regression,discovery/180s five-fold CV macro-F1,0.1,0.6621033663947629,390,120,0.675,0.6731615336266499,0.7122222222222222,0.5916666666666667,0.7583333333333333,0.588171733385621,0.7569798165688899,0.6193194444444444,0.8022291666666667
primary_validation_180,180.0,pitch_rhythm,L2 logistic regression,discovery/180s five-fold CV macro-F1,10.0,0.979473675878739,390,120,0.9333333333333333,0.9330357142857143,0.9863888888888889,0.8833333333333333,0.975,0.8817234581807942,0.9749843652282677,0.9680555555555556,1.0
primary_validation_180,180.0,pitch_modulation,L2 logistic regression,discovery/180s five-fold CV macro-F1,1.0,0.964056111965132,390,120,0.9583333333333333,0.9582608695652174,0.99,0.9166666666666667,0.9833333333333334,0.916083916083916,0.9833287024173382,0.9752708333333333,0.998611111111111
primary_validation_180,180.0,rhythm_modulation,L2 logistic regression,discovery/180s five-fold CV macro-F1,1.0,0.7241598523565584,390,120,0.8416666666666667,0.8391534391534392,0.8794444444444445,0.775,0.9,0.7691812652870982,0.8993006993006993,0.8049999999999999,0.9389027777777778
primary_validation_180,180.0,local_all,L2 logistic regression,discovery/180s five-fold CV macro-F1,100.0,0.976918438545687,390,120,0.9666666666666667,0.9666295884315907,0.9913888888888889,0.9333333333333333,0.9916666666666667,0.9330357142857143,0.9916660879227724,0.9788819444444443,0.9991736111111111
sensitivity_validation_300,300.0,pitch,L2 logistic regression,discovery/180s five-fold CV macro-F1,0.1,0.9743277135715104,390,120,0.925,0.9245757385292269,0.9886111111111111,0.875,0.9666666666666667,0.873015873015873,0.9666295884315907,0.9738888888888889,0.9986111111111111
sensitivity_validation_300,300.0,rhythm,L2 logistic regression,discovery/180s five-fold CV macro-F1,1.0,0.6822411111867014,390,120,0.7166666666666667,0.706812302385743,0.8302777777777778,0.6416666666666666,0.7916666666666667,0.6205521349944938,0.7873999007866204,0.7508194444444444,0.9041944444444445
sensitivity_validation_300,300.0,modulation_smp_k10,L2 logistic regression,discovery/180s five-fold CV macro-F1,0.1,0.6621033663947629,390,120,0.6499999999999999,0.6499027507641011,0.7152777777777778,0.5666666666666667,0.7333333333333334,0.5655806182121972,0.7332592386774104,0.6224166666666666,0.8027986111111111
sensitivity_validation_300,300.0,pitch_rhythm,L2 logistic regression,discovery/180s five-fold CV macro-F1,10.0,0.979473675878739,390,120,0.9333333333333333,0.9330357142857143,0.9922222222222221,0.8916666666666666,0.975,0.8903801559974702,0.9749843652282677,0.9791666666666666,1.0
sensitivity_validation_300,300.0,pitch_modulation,L2 logistic regression,discovery/180s five-fold CV macro-F1,1.0,0.964056111965132,390,120,0.9416666666666667,0.9415652173913043,0.9908333333333332,0.8999999999999999,0.975,0.8993006993006993,0.9749982637683172,0.9777777777777779,0.9999999999999999
sensitivity_validation_300,300.0,rhythm_modulation,L2 logistic regression,discovery/180s five-fold CV macro-F1,1.0,0.7241598523565584,390,120,0.8,0.797979797979798,0.8683333333333335,0.7333333333333334,0.8666666666666667,0.7271952259164536,0.866077955304929,0.7969166666666667,0.9327777777777778
sensitivity_validation_300,300.0,local_all,L2 logistic regression,discovery/180s five-fold CV macro-F1,100.0,0.976918438545687,390,120,0.95,0.949944382647386,0.9941666666666666,0.9083333333333333,0.9833333333333334,0.9078147915357218,0.9833287024173382,0.9861111111111112,0.999451388888889
