analysis_set,scale_seconds,comparison,candidate,baseline,family,metric,candidate_score,baseline_score,delta,bootstrap_resamples,ci_low,ci_high,positive_fraction
primary_validation_180,180.0,full_vs_pitch,local_all,pitch,full versus single view,balanced_accuracy,0.9666666666666667,0.925,0.04166666666666663,1000,0.01645833333333329,0.07500000000000007,0.999
primary_validation_180,180.0,full_vs_pitch,local_all,pitch,full versus single view,macro_f1,0.9666295884315907,0.9245757385292269,0.04205384990236383,1000,0.0164646949721537,0.07685881370091896,0.999
primary_validation_180,180.0,full_vs_pitch,local_all,pitch,full versus single view,auroc,0.9913888888888889,0.9855555555555555,0.005833333333333357,1000,-0.002222222222222128,0.016111111111111083,0.915
primary_validation_180,180.0,full_vs_rhythm,local_all,rhythm,full versus single view,balanced_accuracy,0.9666666666666667,0.7583333333333333,0.20833333333333337,1000,0.1416666666666666,0.2833333333333333,1.0
primary_validation_180,180.0,full_vs_rhythm,local_all,rhythm,full versus single view,macro_f1,0.9666295884315907,0.7521190968017665,0.21451049162982427,1000,0.1444015636357318,0.300269821230356,1.0
primary_validation_180,180.0,full_vs_rhythm,local_all,rhythm,full versus single view,auroc,0.9913888888888889,0.8572222222222222,0.13416666666666666,1000,0.0735972222222223,0.2133402777777778,1.0
primary_validation_180,180.0,full_vs_modulation,local_all,modulation_smp_k10,full versus single view,balanced_accuracy,0.9666666666666667,0.675,0.29166666666666663,1000,0.21645833333333325,0.375,1.0
primary_validation_180,180.0,full_vs_modulation,local_all,modulation_smp_k10,full versus single view,macro_f1,0.9666295884315907,0.6731615336266499,0.29346805480494087,1000,0.2162741189011065,0.37792556442451936,1.0
primary_validation_180,180.0,full_vs_modulation,local_all,modulation_smp_k10,full versus single view,auroc,0.9913888888888889,0.7122222222222222,0.2791666666666667,1000,0.18777777777777782,0.36805555555555547,1.0
primary_validation_180,180.0,add_pitch,local_all,rhythm_modulation,leave-one-view-out,balanced_accuracy,0.9666666666666667,0.8416666666666667,0.125,1000,0.06666666666666665,0.18333333333333335,1.0
primary_validation_180,180.0,add_pitch,local_all,rhythm_modulation,leave-one-view-out,macro_f1,0.9666295884315907,0.8391534391534392,0.12747614927815154,1000,0.0677178016839044,0.19028472426269605,1.0
primary_validation_180,180.0,add_pitch,local_all,rhythm_modulation,leave-one-view-out,auroc,0.9913888888888889,0.8794444444444445,0.1119444444444444,1000,0.05554861111111113,0.17556944444444444,1.0
primary_validation_180,180.0,add_rhythm,local_all,pitch_modulation,leave-one-view-out,balanced_accuracy,0.9666666666666667,0.9583333333333333,0.008333333333333415,1000,0.0,0.025000000000000133,0.638
primary_validation_180,180.0,add_rhythm,local_all,pitch_modulation,leave-one-view-out,macro_f1,0.9666295884315907,0.9582608695652174,0.00836871886637336,1000,0.0,0.025227000102204633,0.638
primary_validation_180,180.0,add_rhythm,local_all,pitch_modulation,leave-one-view-out,auroc,0.9913888888888889,0.99,0.001388888888888884,1000,-0.0038888888888889417,0.00916666666666666,0.687
primary_validation_180,180.0,add_modulation,local_all,pitch_rhythm,leave-one-view-out,balanced_accuracy,0.9666666666666667,0.9333333333333333,0.033333333333333326,1000,0.008333333333333304,0.06666666666666665,0.978
primary_validation_180,180.0,add_modulation,local_all,pitch_rhythm,leave-one-view-out,macro_f1,0.9666295884315907,0.9330357142857143,0.033593874145876446,1000,0.008344163396979557,0.06788071356774716,0.978
primary_validation_180,180.0,add_modulation,local_all,pitch_rhythm,leave-one-view-out,auroc,0.9913888888888889,0.9863888888888889,0.0050000000000000044,1000,-0.0022222222222222365,0.016951388888888867,0.877
sensitivity_validation_300,300.0,full_vs_pitch,local_all,pitch,full versus single view,balanced_accuracy,0.95,0.925,0.02499999999999991,1000,-0.016666666666666607,0.06666666666666665,0.832
sensitivity_validation_300,300.0,full_vs_pitch,local_all,pitch,full versus single view,macro_f1,0.949944382647386,0.9245757385292269,0.02536864411815909,1000,-0.01656082832967997,0.06795530723938202,0.903
sensitivity_validation_300,300.0,full_vs_pitch,local_all,pitch,full versus single view,auroc,0.9941666666666666,0.9886111111111111,0.005555555555555536,1000,-0.002784722222222213,0.01778472222222222,0.87
sensitivity_validation_300,300.0,full_vs_rhythm,local_all,rhythm,full versus single view,balanced_accuracy,0.95,0.7166666666666667,0.23333333333333328,1000,0.15833333333333333,0.30833333333333335,1.0
sensitivity_validation_300,300.0,full_vs_rhythm,local_all,rhythm,full versus single view,macro_f1,0.949944382647386,0.706812302385743,0.243132080261643,1000,0.16221329367122206,0.3297124745452631,1.0
sensitivity_validation_300,300.0,full_vs_rhythm,local_all,rhythm,full versus single view,auroc,0.9941666666666666,0.8302777777777778,0.16388888888888886,1000,0.09498611111111108,0.23834722222222227,1.0
sensitivity_validation_300,300.0,full_vs_modulation,local_all,modulation_smp_k10,full versus single view,balanced_accuracy,0.95,0.6499999999999999,0.30000000000000004,1000,0.21666666666666679,0.38354166666666656,1.0
sensitivity_validation_300,300.0,full_vs_modulation,local_all,modulation_smp_k10,full versus single view,macro_f1,0.949944382647386,0.6499027507641011,0.3000416318832849,1000,0.21752266106785467,0.3876343601398084,1.0
sensitivity_validation_300,300.0,full_vs_modulation,local_all,modulation_smp_k10,full versus single view,auroc,0.9941666666666666,0.7152777777777778,0.27888888888888885,1000,0.18941666666666665,0.3723055555555554,1.0
sensitivity_validation_300,300.0,add_pitch,local_all,rhythm_modulation,leave-one-view-out,balanced_accuracy,0.95,0.8,0.1499999999999999,1000,0.08333333333333326,0.22499999999999987,1.0
sensitivity_validation_300,300.0,add_pitch,local_all,rhythm_modulation,leave-one-view-out,macro_f1,0.949944382647386,0.797979797979798,0.151964584667588,1000,0.0835421888053467,0.22745725675151585,1.0
sensitivity_validation_300,300.0,add_pitch,local_all,rhythm_modulation,leave-one-view-out,auroc,0.9941666666666666,0.8683333333333335,0.12583333333333313,1000,0.06386805555555555,0.19281250000000003,1.0
sensitivity_validation_300,300.0,add_rhythm,local_all,pitch_modulation,leave-one-view-out,balanced_accuracy,0.95,0.9416666666666667,0.008333333333333304,1000,0.0,0.025000000000000022,0.643
sensitivity_validation_300,300.0,add_rhythm,local_all,pitch_modulation,leave-one-view-out,macro_f1,0.949944382647386,0.9415652173913043,0.008379165256081733,1000,0.0,0.025316880379599404,0.643
sensitivity_validation_300,300.0,add_rhythm,local_all,pitch_modulation,leave-one-view-out,auroc,0.9941666666666666,0.9908333333333332,0.0033333333333334103,1000,-0.001951388888888966,0.013055555555555598,0.832
sensitivity_validation_300,300.0,add_modulation,local_all,pitch_rhythm,leave-one-view-out,balanced_accuracy,0.95,0.9333333333333333,0.016666666666666607,1000,-0.033333333333333326,0.06666666666666654,0.716
sensitivity_validation_300,300.0,add_modulation,local_all,pitch_rhythm,leave-one-view-out,macro_f1,0.949944382647386,0.9330357142857143,0.016908668361671708,1000,-0.03330089209388031,0.06742781364902539,0.795
sensitivity_validation_300,300.0,add_modulation,local_all,pitch_rhythm,leave-one-view-out,auroc,0.9941666666666666,0.9922222222222221,0.0019444444444445264,1000,-0.00722222222222213,0.012222222222222138,0.651
