segment_id,track_id,group,split,scale_seconds,source_modulation_relative_path,source_modulation_sha256,feature_relative_path,feature_sha256,model_set_sha256,windows,valid_windows,masked_windows,status,processed_at,error,observed_states_k8,state_coverage_k8,state_counts_k8,observed_states_k10,state_coverage_k10,state_counts_k10,observed_states_k12,state_coverage_k12,state_counts_k12
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1727__180s.npz,5d0cab313d1f52f3c3a804fc761d12b01666ecec65f140f4641a78c326014547,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1727__180s.npz,ac5c569763b02437d324ebdd3f93159d67fdc66556f553da79f618beeb3d6742,9206ebd71c402c83ac776297b32de0c81f3f225ed9c4e8e218e980f94c1d6943,88,88,0,success,2026-08-05,,3,0.375,"[34,46,8,0,0,0,0,0]",4,0.4,"[23,19,44,0,2,0,0,0,0,0]",4,0.3333333333333333,"[28,48,1,0,0,0,11,0,0,0,0,0]"
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1727__300s.npz,095dfb563265c75b0ccf95dfec04faa5e5764b5393b38be8885b13696ac2a417,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1727__300s.npz,8a55484080c978d44b8870edbc7a632cc109859979f04c4a13683154699a5d46,9206ebd71c402c83ac776297b32de0c81f3f225ed9c4e8e218e980f94c1d6943,148,148,0,success,2026-08-05,,4,0.5,"[50,75,22,1,0,0,0,0]",5,0.5,"[32,32,76,0,7,0,1,0,0,0]",5,0.4166666666666667,"[39,79,2,0,0,0,27,1,0,0,0,0]"
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1728__180s.npz,eddafd403a92a27584a1c0f1e5532377e6fb14c5e6c9828e310da83a8a0b50f4,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1728__180s.npz,1aaea83f0c364624ef0c47a6f212254f0392b7bce83d57871ec7b53ff9c1185f,9206ebd71c402c83ac776297b32de0c81f3f225ed9c4e8e218e980f94c1d6943,88,88,0,success,2026-08-05,,5,0.625,"[5,28,49,5,1,0,0,0]",5,0.5,"[5,32,25,0,24,0,2,0,0,0]",5,0.4166666666666667,"[5,23,0,0,0,0,54,5,1,0,0,0]"
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1728__300s.npz,c1da96cb7085e3fd81a2f21164a800f7d142c3b68b668a1f023a2f0ef9ccdb68,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1728__300s.npz,b1aafcfc4824f4fabd555c23981b0c6ad0a28b1a4f796736921a24e18c7b1ca5,9206ebd71c402c83ac776297b32de0c81f3f225ed9c4e8e218e980f94c1d6943,124,124,0,success,2026-08-05,,5,0.625,"[6,48,62,6,2,0,0,0]",6,0.6,"[5,46,36,0,34,0,2,1,0,0]",5,0.4166666666666667,"[6,31,0,0,0,0,80,5,2,0,0,0]"
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1729__180s.npz,436ed558d0442eb8454ad25275afb4b3486f47c2129798df5cc45e0d83646c32,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1729__180s.npz,5081b044a4eb3706891be74fbbde351e12cdff0f09daf719381a7f1ced60c713,9206ebd71c402c83ac776297b32de0c81f3f225ed9c4e8e218e980f94c1d6943,88,88,0,success,2026-08-05,,5,0.625,"[9,44,29,5,1,0,0,0]",6,0.6,"[2,26,45,0,13,1,1,0,0,0]",6,0.5,"[3,44,8,0,0,0,27,5,1,0,0,0]"
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1729__300s.npz,4d9bbf2bd18b42c48309a192efe60c81b058ff97047dc8d875025b82f921a5a6,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1729__300s.npz,0cb003c485e7cdc736ffa4b923c8f7259945fef9cfb709c4e84bf421907265f7,9206ebd71c402c83ac776297b32de0c81f3f225ed9c4e8e218e980f94c1d6943,148,148,0,success,2026-08-05,,5,0.625,"[15,77,46,9,1,0,0,0]",7,0.7,"[5,42,76,1,22,1,1,0,0,0]",7,0.5833333333333334,"[5,77,11,1,0,0,46,7,1,0,0,0]"
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1730__180s.npz,cc1cca8b786d19c2c65791ee072888f2349b0d4df8cb390fb8718c41cd9129a1,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1730__180s.npz,0d12e5cfbb1f4a98941f4ad7fc00875b90e6e3f996e30b2ad0659d45d1b14d63,9206ebd71c402c83ac776297b32de0c81f3f225ed9c4e8e218e980f94c1d6943,88,88,0,success,2026-08-05,,4,0.5,"[8,40,31,9,0,0,0,0]",5,0.5,"[6,31,31,0,18,0,2,0,0,0]",5,0.4166666666666667,"[7,36,5,0,0,0,32,8,0,0,0,0]"
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1730__300s.npz,87542a7281144335313345530ac3988f992393c0ae9acc4f3b1224f783a50258,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1730__300s.npz,2c8e27f1109163231e79cad6f3aa64d4f971bb36742bbd5b9a8b75487163708f,9206ebd71c402c83ac776297b32de0c81f3f225ed9c4e8e218e980f94c1d6943,148,148,0,success,2026-08-05,,4,0.5,"[14,67,55,12,0,0,0,0]",5,0.5,"[7,50,60,0,28,0,3,0,0,0]",5,0.4166666666666667,"[9,64,4,0,0,0,59,12,0,0,0,0]"
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1739__180s.npz,4719c4d873337f26ad0fcf784630c0bf11f135380be80c003a5003b36e8e8032,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1739__180s.npz,cf278465121c655a26928cce2e3cb76095f1741aa6d7700ae4471ab063d7dabe,9206ebd71c402c83ac776297b32de0c81f3f225ed9c4e8e218e980f94c1d6943,88,88,0,success,2026-08-05,,4,0.5,"[7,62,16,3,0,0,0,0]",4,0.4,"[2,13,63,0,10,0,0,0,0,0]",5,0.4166666666666667,"[2,53,3,0,0,0,29,1,0,0,0,0]"
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1739__300s.npz,a864332339e0b326d54557781f404d00b87b34c97fce4afee634c6a6405061b3,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1739__300s.npz,99e1a994725a0ec222d0e33201b7b7e7b8678e1dcb710a2da5910f431752e54f,9206ebd71c402c83ac776297b32de0c81f3f225ed9c4e8e218e980f94c1d6943,148,148,0,success,2026-08-05,,4,0.5,"[11,92,40,5,0,0,0,0]",4,0.4,"[4,30,91,0,23,0,0,0,0,0]",5,0.4166666666666667,"[4,78,7,0,0,0,57,2,0,0,0,0]"
