segment_id,track_id,group,split,scale_seconds,view,state_count,state_coverage,retained_edge_ratio,feature_relative_path,feature_sha256,graph_relative_path,graph_sha256,persistence_relative_path,persistence_sha256,sensitivity_persistence_relative_path,sensitivity_persistence_sha256,sidecar_relative_path,config_sha256,sequence_length,valid_states,valid_transitions,self_transitions,self_transition_ratio,vertex_count,edge_count,edge_density,reciprocity,transition_entropy,path_entropy,path_entropy_normalized,directed_recurrence,directed_recurrence_unbiased,h0_betti_auc,h1_betti_auc,h0_betti_mean,h1_betti_mean,h0_betti_max,h1_betti_max,h0_interval_count,h1_interval_count,h0_observed_persistence,h1_observed_persistence,h0_censored_count,h1_censored_count,status,processed_at,error
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,modulation_smp_k8,8,0.375,0.10714285714285714,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1727__180s.npz,ac5c569763b02437d324ebdd3f93159d67fdc66556f553da79f618beeb3d6742,graphs/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1727__180s.npz,ec6ef441fa7e6fae8d2affd1ec05c935ae436ba3b04e9a226a4396edcf875232,homology/persistence/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1727__180s.npz,974b86d62f1c2ff422d33e7051fb7dbfe14d848d65fa530c7dd6f49d663a595e,homology/persistence_sensitivity/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1727__180s.npz,8724394fe476948614f23e370c284edf5ca283885c392bc7b6d7f6fe3c5ff76b,homology/descriptors/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1727__180s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,88,88,87,44,0.5057471264367817,3,6,1.0,1.0,0.8280238181164054,0.891740443407024,0.8116971315586825,0.18985334918747523,0.18043303929430635,0.6499999999999998,0.0,1.6666666666666667,0.0,3,0,3,0,0.7499999999999998,0.0,1,0,success,2026-08-05,
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,modulation_smp_k8,8,0.5,0.14285714285714285,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1727__300s.npz,8a55484080c978d44b8870edbc7a632cc109859979f04c4a13683154699a5d46,graphs/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1727__300s.npz,3ba3d7eacd890ceb039373020498b921a4206cac0647c3e94c55a29d0ff155e2,homology/persistence/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1727__300s.npz,900e5992ab5ec35fcd4d40748f44532301d3a5eef71a76b669a3922e6888add7,homology/persistence_sensitivity/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1727__300s.npz,956dcee43f2b3459b898bf66a9c6e1b46db6a6fcb879715dfba08e764903d786,homology/descriptors/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1727__300s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,148,148,147,66,0.4489795918367347,4,8,0.6666666666666666,0.75,0.8369341861938133,0.9763452286217448,0.7042842097640962,0.15877643574436578,0.15301463050973815,0.7499999999999999,0.0,1.8333333333333333,0.0,3,0,3,0,0.8499999999999999,0.0,1,0,success,2026-08-05,
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,modulation_smp_k8,8,0.625,0.21428571428571427,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1728__180s.npz,1aaea83f0c364624ef0c47a6f212254f0392b7bce83d57871ec7b53ff9c1185f,graphs/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1728__180s.npz,4df4cc1e71e3e1e8660920e17e6b7ecce7c7d0450ca2be4be0cc41729c0e0452,homology/persistence/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1728__180s.npz,9af69738f871c83f4ae9dfb82342bd36acd417e1b0d5b05d59f2dc0354b2765d,homology/persistence_sensitivity/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1728__180s.npz,3e34fbad0fc2f3c6afde30be0396a47ef992114fc257f94a0d9af0072220535b,homology/descriptors/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1728__180s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,88,88,87,35,0.40229885057471265,5,12,0.6,0.8333333333333334,0.7867924626489362,1.0037438362428952,0.623661110806593,0.16739331483683445,0.15771184175354183,0.7499999999999998,0.0,2.0,0.0,4,0,4,0,0.8999999999999997,0.0,1,0,success,2026-08-05,
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,modulation_smp_k8,8,0.625,0.25,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1728__300s.npz,b1aafcfc4824f4fabd555c23981b0c6ad0a28b1a4f796736921a24e18c7b1ca5,graphs/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1728__300s.npz,912ab4313601ee6fed7fe857e93bc4b36a32da2b5e8e220744ca4a942bd49c14,homology/persistence/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1728__300s.npz,6a2783a614fbb25e16baf9f144302d0d628118ee539abe95c64577f11fa1c558,homology/persistence_sensitivity/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1728__300s.npz,ed82fdfd75c97f59d1e9cf20c31cae643d8d1da8ae2e25b0f182c625cb973c98,homology/descriptors/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1728__300s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,124,124,123,42,0.34146341463414637,5,14,0.7,1.0,0.7356652259681762,1.0272668229730042,0.6382767642271919,0.16980633220966357,0.16300146608023458,1.5499999999999998,0.0,3.5,0.0,5,0,5,0,1.7499999999999998,0.0,1,0,success,2026-08-05,
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,modulation_smp_k8,8,0.625,0.21428571428571427,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1729__180s.npz,5081b044a4eb3706891be74fbbde351e12cdff0f09daf719381a7f1ced60c713,graphs/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1729__180s.npz,c57073cf10d33e70e880dfd565703bae530a4d4a86d55d73eea4f07e5aa08f4d,homology/persistence/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1729__180s.npz,ca6bccb71adeede52bc70861312c86ef1ffb76ada000eadfd910266086f720c8,homology/persistence_sensitivity/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1729__180s.npz,954d23a4fe29218f9e131ca5853e17428d76cb1e4d4652b10f3dbe83e676bb30,homology/descriptors/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1729__180s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,88,88,87,40,0.45977011494252873,5,12,0.6,1.0,0.7954451825237098,1.0456064182316032,0.6496717954470432,0.14625445897740785,0.136327185244587,1.0499999999999998,0.0,2.5,0.0,4,0,4,0,1.1999999999999997,0.0,1,0,success,2026-08-05,
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,modulation_smp_k8,8,0.625,0.21428571428571427,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1729__300s.npz,0cb003c485e7cdc736ffa4b923c8f7259945fef9cfb709c4e84bf421907265f7,graphs/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1729__300s.npz,8ee31a8b57622c2f30678f0e9715d474d31a44652ef38309918dd0dd56e3d2d7,homology/persistence/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1729__300s.npz,1b303d9ee5bf02d02db55c263cfe3495809696c3e3a918f9302d274076c5e59d,homology/persistence_sensitivity/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1729__300s.npz,5dcd8e837871b240143fa29001cd50bbb683c6dedd1d4f2fd77bef19651e74da,homology/descriptors/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1729__300s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,148,148,147,66,0.4489795918367347,5,12,0.6,0.8333333333333334,0.7801156596435954,1.0239943934295481,0.6362434894309578,0.1496135869313712,0.1437890224582984,0.6749999999999998,0.0,1.8333333333333333,0.0,4,0,4,0,0.7999999999999997,0.0,1,0,success,2026-08-05,
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,modulation_smp_k8,8,0.5,0.17857142857142858,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1730__180s.npz,0d12e5cfbb1f4a98941f4ad7fc00875b90e6e3f996e30b2ad0659d45d1b14d63,graphs/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1730__180s.npz,de5914ec68c71446abc09bec218856206f101bce67bf424ce4031f62585ba329,homology/persistence/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1730__180s.npz,6ed07202b13b0a451a348bc0ea8ffd6420e24c0d59eed66b39497ea4f1b43c2d,homology/persistence_sensitivity/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1730__180s.npz,4f1d7d9c956a1dc88d0056decaedb282849f6ba38647d06b96df084e59c8a352,homology/descriptors/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1730__180s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,88,88,87,37,0.42528735632183906,4,10,0.8333333333333334,0.8,0.8609876292537868,1.0459892919547793,0.7545217821630591,0.14149821640903687,0.13151563753007217,1.1499999999999997,0.0,2.6666666666666665,0.0,4,0,4,0,1.2999999999999998,0.0,1,0,success,2026-08-05,
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,modulation_smp_k8,8,0.5,0.19642857142857142,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1730__300s.npz,2c8e27f1109163231e79cad6f3aa64d4f971bb36742bbd5b9a8b75487163708f,graphs/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1730__300s.npz,96722eeed9d677a9cec969255f75040da8234ae4980fc86e1456904d5e045992,homology/persistence/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1730__300s.npz,b884f129cf481ec2620fefbf1d9cd111fa3f3421a04deed577c16aafca6d79b7,homology/persistence_sensitivity/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1730__300s.npz,e65e99811b8fa8efae6e8818eedf386de975c28fb43aefd511d291cb64f3dea5,homology/descriptors/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1730__300s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,148,148,147,64,0.43537414965986393,4,11,0.9166666666666666,0.9090909090909091,0.820695219342344,1.0666514069613815,0.7694263475902103,0.14109861631727522,0.1352157301276675,0.9749999999999999,0.0,2.3333333333333335,0.0,4,0,4,0,1.0999999999999999,0.0,1,0,success,2026-08-05,
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,modulation_smp_k8,8,0.5,0.16071428571428573,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1739__180s.npz,cf278465121c655a26928cce2e3cb76095f1741aa6d7700ae4471ab063d7dabe,graphs/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1739__180s.npz,10146f64d20a3a031c488ceffb814b046ccbed2f556b0b151f92261355d7d6a0,homology/persistence/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1739__180s.npz,389c769066fa5e8a00b0b4831afe6741f85f5e49294532df1ecd4847ae5f14f8,homology/persistence_sensitivity/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1739__180s.npz,0a3ee1d598afa295bbd510d1f70759de84d10a1258fec79810edecff9625ef5e,homology/descriptors/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1739__180s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,88,88,87,48,0.5517241379310345,4,9,0.75,0.8888888888888888,0.6742146956015143,0.8119845629651283,0.5857230511340915,0.3005681067512221,0.29243517775995725,0.8749999999999998,0.0,2.1666666666666665,0.0,4,0,4,0,0.9999999999999998,0.0,1,0,success,2026-08-05,
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,modulation_smp_k8,8,0.5,0.19642857142857142,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1739__300s.npz,99e1a994725a0ec222d0e33201b7b7e7b8678e1dcb710a2da5910f431752e54f,graphs/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1739__300s.npz,82fefd70303664a4f305309d7fa21f15867b284375e74f49bf0e2160a4803dc8,homology/persistence/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1739__300s.npz,d2944a21f3cdc820fdf499fb944579746e93c9f7f5ea59a2fc0a940719c6a866,homology/persistence_sensitivity/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1739__300s.npz,3e6587932bc6403e529ab2aa8ed1ccf2e5091ac8dde00410ab08185e8907eff2,homology/descriptors/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1739__300s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,148,148,147,79,0.5374149659863946,4,11,0.9166666666666666,0.9090909090909091,0.705311945333904,0.9013167580739356,0.6501626085716923,0.2338377527881901,0.22859006616345168,1.0499999999999998,0.0,2.5,0.0,4,0,4,0,1.1999999999999997,0.0,1,0,success,2026-08-05,
