segment_id,track_id,group,split,scale_seconds,source_modulation_relative_path,source_modulation_sha256,modulation_tertile_relative_path,modulation_tertile_sha256,model_sha256,windows,valid_windows,masked_windows,low_windows,medium_windows,high_windows,observed_states,median_intensity,status,processed_at,error
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1727__180s.npz,5d0cab313d1f52f3c3a804fc761d12b01666ecec65f140f4641a78c326014547,features/modulation_tertile/180s/classical/validation/classical_musicnet_1727__180s.npz,7757cdeb50ef8c5243949dd1b06370bace6c49078cf3d72e0b9e3e66be31124b,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,35,42,11,3,0.02749602649453209,success,2026-08-04,
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1727__300s.npz,095dfb563265c75b0ccf95dfec04faa5e5764b5393b38be8885b13696ac2a417,features/modulation_tertile/300s/classical/validation/classical_musicnet_1727__300s.npz,d32d528cf9f2592dd2b7db808c3b62a7b39dfaacdf5f32a8c12df7ccdd048c29,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,52,70,26,3,0.02955048589535636,success,2026-08-04,
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1728__180s.npz,eddafd403a92a27584a1c0f1e5532377e6fb14c5e6c9828e310da83a8a0b50f4,features/modulation_tertile/180s/classical/validation/classical_musicnet_1728__180s.npz,907317640422fbc2b6e612e14c6c38bd129fb8d67a1493a064e06deccc16d22f,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,10,47,31,3,0.039292873469548795,success,2026-08-04,
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1728__300s.npz,c1da96cb7085e3fd81a2f21164a800f7d142c3b68b668a1f023a2f0ef9ccdb68,features/modulation_tertile/300s/classical/validation/classical_musicnet_1728__300s.npz,fa2bf5a428e2eedb9c7ccd12170eeb7d4a1ec69eb24a819cc7abc98c249bf7dd,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,124,124,0,11,78,35,3,0.03941539571997055,success,2026-08-04,
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1729__180s.npz,436ed558d0442eb8454ad25275afb4b3486f47c2129798df5cc45e0d83646c32,features/modulation_tertile/180s/classical/validation/classical_musicnet_1729__180s.npz,5edd072d3b811587e541b94ba2541eb8c7685c79373dede121783829832c6b55,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,16,50,22,3,0.034658392273286154,success,2026-08-04,
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1729__300s.npz,4d9bbf2bd18b42c48309a192efe60c81b058ff97047dc8d875025b82f921a5a6,features/modulation_tertile/300s/classical/validation/classical_musicnet_1729__300s.npz,4613362e109841554630021a2126f347beef8b983a8f628d396bff15ab6d2ed3,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,26,75,47,3,0.036570921535940215,success,2026-08-04,
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1730__180s.npz,cc1cca8b786d19c2c65791ee072888f2349b0d4df8cb390fb8718c41cd9129a1,features/modulation_tertile/180s/classical/validation/classical_musicnet_1730__180s.npz,39698d07bc5d0ca8ec2616bb7af62ced03eb0f8789b14d567bd08a67c6635c85,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,14,49,25,3,0.03550793074441572,success,2026-08-04,
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1730__300s.npz,87542a7281144335313345530ac3988f992393c0ae9acc4f3b1224f783a50258,features/modulation_tertile/300s/classical/validation/classical_musicnet_1730__300s.npz,58eeadc6898fe1ea25dceaae797088f4fcc9d0b76eb8d4a306623744e627ba93,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,25,77,46,3,0.03490307995139119,success,2026-08-04,
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1739__180s.npz,4719c4d873337f26ad0fcf784630c0bf11f135380be80c003a5003b36e8e8032,features/modulation_tertile/180s/classical/validation/classical_musicnet_1739__180s.npz,66ff58a9ac0cb8a6b06ee1debb34219e0638b6af14f76f6b33d216bfc1f80b56,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,3,58,27,3,0.03989453444364699,success,2026-08-04,
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1739__300s.npz,a864332339e0b326d54557781f404d00b87b34c97fce4afee634c6a6405061b3,features/modulation_tertile/300s/classical/validation/classical_musicnet_1739__300s.npz,d862ffe91807267604deef7ff3696afd2eb28a6705d14aef79e98a6cb28d77b7,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,10,89,49,3,0.03963602551630174,success,2026-08-04,
