analysis_set,scale_seconds,feature_set,best_c,discovery_cv_macro_f1,n_train,n_validation,balanced_accuracy,macro_f1,macro_auroc_ovr,macro_auprc,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,macro_auroc_ovr_ci_low,macro_auroc_ovr_ci_high,macro_auprc_ci_low,macro_auprc_ci_high
exploratory_validation_180,180.0,L,10.0,0.9691986654044877,390,120,0.9333333333333333,0.9331662489557226,0.9891666666666666,0.9896314325159444,0.8833333333333333,0.975,0.8828125,0.9749843652282677,0.9730486111111111,0.9988958333333333,0.9749523531650378,0.9989312736720901
exploratory_validation_180,180.0,P,1.0,0.7562485658534568,390,120,0.6833333333333333,0.6833333333333333,0.7330555555555556,0.7349137809411669,0.6000000000000001,0.7666666666666666,0.5998805130951899,0.7666018338427341,0.6441458333333333,0.8244652777777778,0.664604238951741,0.8241136819700206
exploratory_validation_180,180.0,LP,10.0,0.9589414454940769,390,120,0.9333333333333333,0.9330357142857143,0.9819444444444445,0.9826096944168459,0.8916666666666666,0.9666666666666667,0.8903801559974702,0.9666295884315907,0.9580486111111111,0.9975069444444444,0.9610561998013311,0.9976088042852239
exploratory_validation_180,180.0,S,1.0,0.660023785919513,390,120,0.6333333333333333,0.6332314531814394,0.6558333333333334,0.6571032158423944,0.55,0.7166666666666667,0.5488217046111783,0.7163515016685206,0.5655486111111111,0.7475277777777778,0.5835932139335422,0.7508277590302642
exploratory_validation_180,180.0,LPS,10.0,0.9434925774125089,390,120,0.9083333333333333,0.9080203470141454,0.9724999999999999,0.9724263924667164,0.8500000000000001,0.9583333333333333,0.8498205781721754,0.9582608695652174,0.9413888888888888,0.9938888888888888,0.9417639511602262,0.9941644493342602
sensitivity_validation_300,300.0,L,10.0,0.984602724045762,390,120,0.9416666666666667,0.9415652173913043,0.9908333333333332,0.9912390778036058,0.8999999999999999,0.9752083333333331,0.898989898989899,0.9752065247345425,0.9769444444444445,0.9991666666666666,0.978780367066492,0.9991888233945055
sensitivity_validation_300,300.0,P,0.1,0.7564352742709511,390,120,0.75,0.7474747474747474,0.7877777777777777,0.7746373091694978,0.6666666666666667,0.825,0.6651785714285714,0.822921790457452,0.6927777777777777,0.8666736111111112,0.696743403295355,0.8654250628019896
sensitivity_validation_300,300.0,LP,10.0,0.9665875486829364,390,120,0.9416666666666667,0.9415652173913043,0.9861111111111112,0.9864108393579338,0.8916666666666666,0.9833333333333333,0.8914737236914259,0.9833287024173382,0.9652777777777778,0.9986111111111111,0.9667000033765977,0.998654634474095
sensitivity_validation_300,300.0,S,10.0,0.6680788651145158,390,120,0.7083333333333333,0.7083130772970345,0.7605555555555555,0.7581121563595465,0.625,0.7916666666666667,0.6228786926461345,0.7909640594656333,0.6649652777777778,0.8453194444444444,0.6740169823169551,0.8452632830308002
sensitivity_validation_300,300.0,LPS,10.0,0.9589168989601221,390,120,0.9333333333333333,0.9331662489557226,0.9783333333333333,0.9772891085524515,0.8833333333333333,0.975,0.882805124562937,0.9749843652282677,0.9477638888888889,0.9972222222222222,0.9454383974004008,0.9973430297843884
