analysis_set,scale_seconds,comparison,candidate,baseline,metric,candidate_score,baseline_score,delta,bootstrap_resamples,ci_low,ci_high,positive_fraction
exploratory_validation_180,180.0,LP_minus_L,LP,L,balanced_accuracy,0.9333333333333333,0.9333333333333333,0.0,1000,-0.033333333333333215,0.033333333333333326,0.425
exploratory_validation_180,180.0,LP_minus_L,LP,L,macro_f1,0.9330357142857143,0.9331662489557226,-0.00013053467000834207,1000,-0.03368513103599047,0.033307949002459876,0.397
exploratory_validation_180,180.0,LP_minus_L,LP,L,macro_auroc_ovr,0.9819444444444445,0.9891666666666666,-0.00722222222222213,1000,-0.023625000000000024,0.0025069444444444943,0.106
exploratory_validation_180,180.0,LP_minus_L,LP,L,macro_auprc,0.9826096944168459,0.9896314325159444,-0.007021738099098562,1000,-0.022708882630123363,0.0024418887684476394,0.113
exploratory_validation_180,180.0,LPS_minus_LP,LPS,LP,balanced_accuracy,0.9083333333333333,0.9333333333333333,-0.025000000000000022,1000,-0.05833333333333335,0.0,0.0
exploratory_validation_180,180.0,LPS_minus_LP,LPS,LP,macro_f1,0.9080203470141454,0.9330357142857143,-0.025015367271568945,1000,-0.058372712309864905,0.0,0.0
exploratory_validation_180,180.0,LPS_minus_LP,LPS,LP,macro_auroc_ovr,0.9724999999999999,0.9819444444444445,-0.009444444444444589,1000,-0.02251388888888896,6.944444444436439e-06,0.025
exploratory_validation_180,180.0,LPS_minus_LP,LPS,LP,macro_auprc,0.9724263924667164,0.9826096944168459,-0.010183301950129509,1000,-0.02535643619421192,3.820974760431606e-06,0.025
sensitivity_validation_300,300.0,LP_minus_L,LP,L,balanced_accuracy,0.9416666666666667,0.9416666666666667,0.0,1000,-0.02499999999999991,0.025000000000000022,0.344
sensitivity_validation_300,300.0,LP_minus_L,LP,L,macro_f1,0.9415652173913043,0.9415652173913043,0.0,1000,-0.02509218744337205,0.02516235186365553,0.344
sensitivity_validation_300,300.0,LP_minus_L,LP,L,macro_auroc_ovr,0.9861111111111112,0.9908333333333332,-0.004722222222222072,1000,-0.01722222222222225,0.003611111111111012,0.21
sensitivity_validation_300,300.0,LP_minus_L,LP,L,macro_auprc,0.9864108393579338,0.9912390778036058,-0.0048282384456719285,1000,-0.016696213173431756,0.0033760161614131254,0.212
sensitivity_validation_300,300.0,LPS_minus_LP,LPS,LP,balanced_accuracy,0.9333333333333333,0.9416666666666667,-0.008333333333333304,1000,-0.025000000000000133,0.0,0.0
sensitivity_validation_300,300.0,LPS_minus_LP,LPS,LP,macro_f1,0.9331662489557226,0.9415652173913043,-0.008398968435581633,1000,-0.025703760086445815,0.0,0.0
sensitivity_validation_300,300.0,LPS_minus_LP,LPS,LP,macro_auroc_ovr,0.9783333333333333,0.9861111111111112,-0.007777777777777883,1000,-0.0197222222222222,0.0005625000000000732,0.036
sensitivity_validation_300,300.0,LPS_minus_LP,LPS,LP,macro_auprc,0.9772891085524515,0.9864108393579338,-0.009121730805482287,1000,-0.023541581359034714,0.0005379911527451126,0.035
