analysis_set,scale_seconds,feature_set,input_dimensions,n_validation,permutations,pseudo_f,p_value,p_fdr_bh
exploratory_validation_180,180.0,L,49,120,999,6.695802422477782,0.001,0.00125
exploratory_validation_180,180.0,P,2,120,999,20.579734753144177,0.001,0.00125
exploratory_validation_180,180.0,LP,51,120,999,13.605859933812615,0.001,0.00125
exploratory_validation_180,180.0,S,16,120,999,2.5025097934519973,0.008,0.008
exploratory_validation_180,180.0,LPS,67,120,999,9.128850779040562,0.001,0.00125
sensitivity_validation_300,300.0,L,50,120,999,9.10146628725621,0.001,0.001
sensitivity_validation_300,300.0,P,2,120,999,29.41908723090188,0.001,0.001
sensitivity_validation_300,300.0,LP,52,120,999,19.188065878441233,0.001,0.001
sensitivity_validation_300,300.0,S,16,120,999,4.214340703864107,0.001,0.001
sensitivity_validation_300,300.0,LPS,68,120,999,12.155408633225289,0.001,0.001
