analysis_set,scale_seconds,fusion_stage,phase_definition,feature_set,permutations,pseudo_f,p_value
exploratory_phase_definition_sensitivity,180.0,P,primary_acoustic_chroma,P,999,20.579734753144177,0.001
exploratory_phase_definition_sensitivity,180.0,P,all_three,P_all3,999,14.975881298761436,0.001
exploratory_phase_definition_sensitivity,180.0,LP,primary_acoustic_chroma,LP,999,13.605859933812615,0.001
exploratory_phase_definition_sensitivity,180.0,LP,all_three,LP_all3,999,10.756521244917804,0.001
exploratory_phase_definition_sensitivity,180.0,LPS,primary_acoustic_chroma,LPS,999,9.128850779040562,0.001
exploratory_phase_definition_sensitivity,180.0,LPS,all_three,LPS_all3,999,7.399776066786929,0.001
exploratory_phase_definition_sensitivity,300.0,P,primary_acoustic_chroma,P,999,29.41908723090188,0.001
exploratory_phase_definition_sensitivity,300.0,P,all_three,P_all3,999,24.72306434456253,0.001
exploratory_phase_definition_sensitivity,300.0,LP,primary_acoustic_chroma,LP,999,19.188065878441233,0.001
exploratory_phase_definition_sensitivity,300.0,LP,all_three,LP_all3,999,16.519134402486255,0.001
exploratory_phase_definition_sensitivity,300.0,LPS,primary_acoustic_chroma,LPS,999,12.155408633225289,0.001
exploratory_phase_definition_sensitivity,300.0,LPS,all_three,LPS_all3,999,10.611044271244362,0.001
