analysis_set,scale_seconds,feature_set,classifier,selection_metric,best_c,cv_macro_f1,n_train,n_validation,balanced_accuracy,macro_f1,macro_auroc_ovr,macro_auprc,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,macro_auroc_ovr_ci_low,macro_auroc_ovr_ci_high,macro_auprc_ci_low,macro_auprc_ci_high
exploratory_validation_180,180.0,pitch,L2 logistic regression on frozen block coordinates,discovery CV macro-F1,10.0,0.9743420969313707,390,120,0.9333333333333333,0.9331662489557226,0.9877777777777778,0.988421242804024,0.8833333333333333,0.975,0.8825174825174825,0.9749843652282677,0.9708263888888888,0.9988958333333333,0.9731835600817889,0.9989254368095828
exploratory_validation_180,180.0,rhythm,L2 logistic regression on frozen block coordinates,discovery CV macro-F1,1.0,0.6816969034637997,390,120,0.7583333333333333,0.7521190968017665,0.8572222222222221,0.8524820869007921,0.6833333333333333,0.825,0.6698038342259164,0.8229366720213885,0.786375,0.9199999999999999,0.7851793429750945,0.9205865362564305
exploratory_validation_180,180.0,modulation,L2 logistic regression on frozen block coordinates,discovery CV macro-F1,10.0,0.6300728357006298,390,120,0.7,0.6999166435120867,0.7658333333333333,0.7651543675530293,0.6166666666666667,0.775,0.6127946127946128,0.7748592870544091,0.6766666666666666,0.8416875,0.6855896359660549,0.8450440908975916
exploratory_validation_180,180.0,structure,L2 logistic regression on frozen block coordinates,discovery CV macro-F1,1.0,0.660023785919513,390,120,0.6333333333333333,0.6332314531814394,0.6558333333333334,0.6571032158423944,0.5497916666666667,0.7166666666666666,0.5467226890756302,0.7154017857142857,0.5526111111111112,0.7573888888888889,0.5795646379212948,0.761309658977
exploratory_validation_180,180.0,pitch_rhythm,L2 logistic regression on frozen block coordinates,discovery CV macro-F1,10.0,0.9743437830090063,390,120,0.9333333333333333,0.9330357142857143,0.9863888888888889,0.9871258671875403,0.8833333333333333,0.975,0.8817234581807942,0.9749843652282677,0.9661111111111111,1.0,0.9690140060631428,1.0
exploratory_validation_180,180.0,pitch_modulation,L2 logistic regression on frozen block coordinates,discovery CV macro-F1,1.0,0.9743454707505339,390,120,0.925,0.9247439202843007,0.9863888888888888,0.9870451767931929,0.875,0.9666666666666667,0.8739407521535122,0.9666574048346763,0.9686111111111111,0.9980555555555555,0.9709211808175813,0.9981195282371322
exploratory_validation_180,180.0,rhythm_modulation,L2 logistic regression on frozen block coordinates,discovery CV macro-F1,1.0,0.7402594449085677,390,120,0.8083333333333333,0.8052910052910053,0.8894444444444445,0.8845647889955683,0.7416666666666667,0.875,0.7350238620984401,0.8735261943009919,0.827736111111111,0.9441666666666666,0.8200293192234304,0.946688032099437
exploratory_validation_180,180.0,local,L2 logistic regression on frozen block coordinates,discovery CV macro-F1,10.0,0.9691986654044877,390,120,0.9333333333333333,0.9331662489557226,0.9891666666666666,0.9896314325159444,0.8916666666666666,0.975,0.8903801559974702,0.9749843652282677,0.9738819444444443,0.9991666666666666,0.9755424347417266,0.9991887848035388
exploratory_validation_180,180.0,hierarchical,L2 logistic regression on frozen block coordinates,discovery CV macro-F1,10.0,0.9512088947379755,390,120,0.9083333333333333,0.9078147915357218,0.9813888888888889,0.982330620489966,0.8583333333333333,0.9583333333333333,0.8554319325349018,0.9582608695652174,0.9605416666666666,0.9961111111111112,0.9634054986061539,0.9962767989266041
exploratory_validation_180,180.0,all_equal_views,L2 logistic regression on frozen block coordinates,discovery CV macro-F1,0.01,0.9615008746320799,390,120,0.8833333333333333,0.8825174825174825,0.9691666666666667,0.9710293669841252,0.825,0.9333333333333333,0.822921790457452,0.9332591768631813,0.943048611111111,0.9897222222222222,0.9479362678858835,0.9902138279785271
sensitivity_validation_300,300.0,pitch,L2 logistic regression on frozen block coordinates,discovery CV macro-F1,0.01,0.9794821195903808,390,120,0.9333333333333333,0.9330357142857143,0.9855555555555555,0.9863196517911155,0.8916666666666666,0.975,0.8903801559974702,0.9749843652282677,0.9680555555555556,0.9975069444444445,0.9707839878551057,0.9976146131124656
