analysis_set,scale_seconds,comparison,candidate,baseline,family,metric,candidate_score,baseline_score,delta,bootstrap_resamples,ci_low,ci_high,positive_fraction
exploratory_validation_180,180.0,local_vs_pitch,local,pitch,local fusion vs single view,balanced_accuracy,0.9333333333333333,0.9333333333333333,0.0,1000,-0.033333333333333326,0.033333333333333326,0.397
exploratory_validation_180,180.0,local_vs_pitch,local,pitch,local fusion vs single view,macro_f1,0.9331662489557226,0.9331662489557226,0.0,1000,-0.03375042585558252,0.033792640108429625,0.397
exploratory_validation_180,180.0,local_vs_pitch,local,pitch,local fusion vs single view,macro_auroc_ovr,0.9891666666666666,0.9877777777777778,0.001388888888888884,1000,-0.005833333333333357,0.008340277777777743,0.656
exploratory_validation_180,180.0,local_vs_pitch,local,pitch,local fusion vs single view,macro_auprc,0.9896314325159444,0.988421242804024,0.0012101897119204397,1000,-0.0054644358287178505,0.007491332997081555,0.657
exploratory_validation_180,180.0,local_vs_rhythm,local,rhythm,local fusion vs single view,balanced_accuracy,0.9333333333333333,0.7583333333333333,0.17500000000000004,1000,0.10833333333333328,0.25,1.0
exploratory_validation_180,180.0,local_vs_rhythm,local,rhythm,local fusion vs single view,macro_f1,0.9331662489557226,0.7521190968017665,0.18104715215395617,1000,0.10961387880220064,0.26257279270050166,1.0
exploratory_validation_180,180.0,local_vs_rhythm,local,rhythm,local fusion vs single view,macro_auroc_ovr,0.9891666666666666,0.8572222222222221,0.13194444444444453,1000,0.07721527777777785,0.20277777777777772,1.0
exploratory_validation_180,180.0,local_vs_rhythm,local,rhythm,local fusion vs single view,macro_auprc,0.9896314325159444,0.8524820869007921,0.13714934561515235,1000,0.07627998445623696,0.20284852949976412,1.0
exploratory_validation_180,180.0,local_vs_modulation,local,modulation,local fusion vs single view,balanced_accuracy,0.9333333333333333,0.7,0.2333333333333334,1000,0.14166666666666672,0.31666666666666665,1.0
exploratory_validation_180,180.0,local_vs_modulation,local,modulation,local fusion vs single view,macro_f1,0.9331662489557226,0.6999166435120867,0.23324960544363593,1000,0.14204049305091415,0.31649874898221597,1.0
exploratory_validation_180,180.0,local_vs_modulation,local,modulation,local fusion vs single view,macro_auroc_ovr,0.9891666666666666,0.7658333333333333,0.22333333333333338,1000,0.14303472222222216,0.3061111111111111,1.0
exploratory_validation_180,180.0,local_vs_modulation,local,modulation,local fusion vs single view,macro_auprc,0.9896314325159444,0.7651543675530293,0.22447706496291508,1000,0.14143443863410884,0.30363760774691234,1.0
exploratory_validation_180,180.0,add_pitch,local,rhythm_modulation,leave-one-view-out,balanced_accuracy,0.9333333333333333,0.8083333333333333,0.125,1000,0.05833333333333335,0.19166666666666665,1.0
exploratory_validation_180,180.0,add_pitch,local,rhythm_modulation,leave-one-view-out,macro_f1,0.9331662489557226,0.8052910052910053,0.12787524366471736,1000,0.058847680507704316,0.19920331341616104,1.0
exploratory_validation_180,180.0,add_pitch,local,rhythm_modulation,leave-one-view-out,macro_auroc_ovr,0.9891666666666666,0.8894444444444445,0.09972222222222216,1000,0.046923611111111124,0.16611805555555553,1.0
exploratory_validation_180,180.0,add_pitch,local,rhythm_modulation,leave-one-view-out,macro_auprc,0.9896314325159444,0.8845647889955683,0.10506664352037609,1000,0.044777842861718486,0.17217464863899348,1.0
exploratory_validation_180,180.0,add_rhythm,local,pitch_modulation,leave-one-view-out,balanced_accuracy,0.9333333333333333,0.925,0.008333333333333304,1000,0.0,0.025000000000000133,0.624
