analysis_set,scale_seconds,view_a,view_b,spearman_rho,p_value,n_pairwise_distances
exploratory_validation_180,180.0,pitch,rhythm,0.14597372387262258,2.65034843733681e-35,7140
exploratory_validation_180,180.0,pitch,modulation,0.2705679836700175,5.051887614965109e-120,7140
exploratory_validation_180,180.0,pitch,structure,-0.09685138819189132,2.371047469268811e-16,7140
exploratory_validation_180,180.0,rhythm,modulation,0.14629719370138575,1.873346870824543e-35,7140
exploratory_validation_180,180.0,rhythm,structure,0.027927715731933568,0.018279972351025495,7140
exploratory_validation_180,180.0,modulation,structure,-0.0861641892967941,3.0304315088873513e-13,7140
sensitivity_validation_300,300.0,pitch,rhythm,0.2777186890324632,1.3221044252271317e-126,7140
sensitivity_validation_300,300.0,pitch,modulation,0.27296397405447603,3.3121152000384636e-122,7140
sensitivity_validation_300,300.0,pitch,structure,-0.04321164882337783,0.0002598138957464937,7140
sensitivity_validation_300,300.0,rhythm,modulation,0.1319972406307152,4.0471792970302364e-29,7140
sensitivity_validation_300,300.0,rhythm,structure,-0.02087622925823259,0.07774985245021077,7140
sensitivity_validation_300,300.0,modulation,structure,-0.12465358721228967,3.9987511868600606e-26,7140
