analysis_set,scale_seconds,comparison,candidate,baseline,family,alternative,permutations,delta_pseudo_f,p_value_one_sided,null_ci_low,null_ci_high,p_fdr_bh
exploratory_validation_180,180.0,local_vs_pitch,local,pitch,local fusion vs single view,candidate pseudo-F > baseline pseudo-F,999,-0.8922301708533782,0.998,-0.607473625080815,0.5217707893394837,1.0
exploratory_validation_180,180.0,local_vs_rhythm,local,rhythm,local fusion vs single view,candidate pseudo-F > baseline pseudo-F,999,0.2220914527595772,0.247,-0.7309896633488101,0.6352642223223712,0.5763333333333334
exploratory_validation_180,180.0,local_vs_modulation,local,modulation,local fusion vs single view,candidate pseudo-F > baseline pseudo-F,999,1.0302923241843418,0.004,-0.7253667051831024,0.6914250308623776,0.021
exploratory_validation_180,180.0,add_pitch,local,rhythm_modulation,leave-one-view-out,candidate pseudo-F > baseline pseudo-F,999,0.5881118032099284,0.006,-0.37653197023932183,0.41019677704929336,0.021
exploratory_validation_180,180.0,add_rhythm,local,pitch_modulation,leave-one-view-out,candidate pseudo-F > baseline pseudo-F,999,-0.10926856849150912,0.716,-0.30688163650981276,0.35622480264613504,1.0
exploratory_validation_180,180.0,add_modulation,local,pitch_rhythm,leave-one-view-out,candidate pseudo-F > baseline pseudo-F,999,-0.3868152515176124,1.0,-0.27105256649234627,0.2867034758956307,1.0
exploratory_validation_180,180.0,add_structure,hierarchical,local,hierarchical increment,candidate pseudo-F > baseline pseudo-F,999,-2.405179596894075,1.0,-0.47043606459846293,0.5818428715829316,1.0
sensitivity_validation_300,300.0,local_vs_pitch,local,pitch,local fusion vs single view,candidate pseudo-F > baseline pseudo-F,999,-4.33558111971726,1.0,-0.7494576942326878,0.5947752005274888,1.0
sensitivity_validation_300,300.0,local_vs_rhythm,local,rhythm,local fusion vs single view,candidate pseudo-F > baseline pseudo-F,999,0.019152616206584483,0.478,-0.6935524559326286,0.5971974942548263,0.9117500000000001
sensitivity_validation_300,300.0,local_vs_modulation,local,modulation,local fusion vs single view,candidate pseudo-F > baseline pseudo-F,999,4.267663539270588,0.001,-0.7434054298158527,0.5975799320728881,0.0035
sensitivity_validation_300,300.0,add_pitch,local,rhythm_modulation,leave-one-view-out,candidate pseudo-F > baseline pseudo-F,999,2.151015267583495,0.001,-0.32026025996655155,0.38800500078152933,0.0035
sensitivity_validation_300,300.0,add_rhythm,local,pitch_modulation,leave-one-view-out,candidate pseudo-F > baseline pseudo-F,999,-0.009561890219972113,0.521,-0.30817006946944975,0.37684988795657803,0.9117500000000001
sensitivity_validation_300,300.0,add_modulation,local,pitch_rhythm,leave-one-view-out,candidate pseudo-F > baseline pseudo-F,999,-2.1536624846652277,1.0,-0.3014638971398297,0.37623255737479966,1.0
sensitivity_validation_300,300.0,add_structure,hierarchical,local,hierarchical increment,candidate pseudo-F > baseline pseudo-F,999,-3.115600354596765,1.0,-0.56077441286838,0.7846849017366678,1.0
