analysis_set,scale_seconds,feature_set,distance,permutations,n_validation,input_dimensions,pseudo_f,p_value
exploratory_validation_180,180.0,pitch,discovery-fitted rank-normalized block Mahalanobis,999,120,16,7.58803259333116,0.001
exploratory_validation_180,180.0,rhythm,discovery-fitted rank-normalized block Mahalanobis,999,120,16,6.473710969718205,0.001
exploratory_validation_180,180.0,modulation,discovery-fitted rank-normalized block Mahalanobis,999,120,17,5.66551009829344,0.001
exploratory_validation_180,180.0,structure,discovery-fitted rank-normalized block Mahalanobis,999,120,16,2.5025097934519973,0.008
exploratory_validation_180,180.0,pitch_rhythm,discovery-fitted rank-normalized block Mahalanobis,999,120,32,7.0826176739953945,0.001
exploratory_validation_180,180.0,pitch_modulation,discovery-fitted rank-normalized block Mahalanobis,999,120,33,6.805070990969291,0.001
exploratory_validation_180,180.0,rhythm_modulation,discovery-fitted rank-normalized block Mahalanobis,999,120,33,6.107690619267854,0.001
exploratory_validation_180,180.0,local,discovery-fitted rank-normalized block Mahalanobis,999,120,49,6.695802422477782,0.001
exploratory_validation_180,180.0,hierarchical,discovery-fitted rank-normalized block Mahalanobis,999,120,65,4.290622825583707,0.001
exploratory_validation_180,180.0,all_equal_views,discovery-fitted rank-normalized block Mahalanobis,999,120,65,5.397701179237269,0.001
sensitivity_validation_300,300.0,pitch,discovery-fitted rank-normalized block Mahalanobis,999,120,17,13.43704740697347,0.001
sensitivity_validation_300,300.0,rhythm,discovery-fitted rank-normalized block Mahalanobis,999,120,15,9.082313671049626,0.001
sensitivity_validation_300,300.0,modulation,discovery-fitted rank-normalized block Mahalanobis,999,120,18,4.833802747985622,0.001
sensitivity_validation_300,300.0,structure,discovery-fitted rank-normalized block Mahalanobis,999,120,16,4.214340703864107,0.001
sensitivity_validation_300,300.0,pitch_rhythm,discovery-fitted rank-normalized block Mahalanobis,999,120,32,11.255128771921438,0.001
sensitivity_validation_300,300.0,pitch_modulation,discovery-fitted rank-normalized block Mahalanobis,999,120,35,9.111028177476182,0.001
sensitivity_validation_300,300.0,rhythm_modulation,discovery-fitted rank-normalized block Mahalanobis,999,120,33,6.950451019672715,0.001
sensitivity_validation_300,300.0,local,discovery-fitted rank-normalized block Mahalanobis,999,120,50,9.10146628725621,0.001
sensitivity_validation_300,300.0,hierarchical,discovery-fitted rank-normalized block Mahalanobis,999,120,66,5.985865932659445,0.001
sensitivity_validation_300,300.0,all_equal_views,discovery-fitted rank-normalized block Mahalanobis,999,120,66,7.295296389195544,0.001
