analysis_set,scale_seconds,structure_weight,role,pseudo_f,p_value,best_c,balanced_accuracy,macro_f1,macro_auroc_ovr,macro_auprc
exploratory_validation_180,180.0,0.0,weight_sensitivity,6.695802422477782,0.001,10.0,0.9333333333333333,0.9331662489557226,0.9891666666666666,0.9896314325159444
exploratory_validation_180,180.0,0.25,weight_sensitivity,5.397701179237269,0.001,0.01,0.8833333333333333,0.8825174825174825,0.9691666666666667,0.9710293669841252
exploratory_validation_180,180.0,0.5,frozen_primary,4.290622825583707,0.001,10.0,0.9083333333333333,0.9078147915357218,0.9813888888888889,0.982330620489966
exploratory_validation_180,180.0,0.75,weight_sensitivity,3.335292018382532,0.001,10.0,0.9083333333333333,0.9078147915357218,0.9755555555555555,0.9767097861937732
exploratory_validation_180,180.0,1.0,weight_sensitivity,2.5025097934519973,0.008,1.0,0.6333333333333333,0.6332314531814394,0.6558333333333334,0.6571032158423944
sensitivity_validation_300,300.0,0.0,weight_sensitivity,9.10146628725621,0.001,10.0,0.9416666666666667,0.9415652173913043,0.9908333333333332,0.9912390778036058
sensitivity_validation_300,300.0,0.25,weight_sensitivity,7.295296389195544,0.001,10.0,0.9416666666666667,0.9415652173913043,0.986388888888889,0.9869483783206066
sensitivity_validation_300,300.0,0.5,frozen_primary,5.985865932659445,0.001,10.0,0.9416666666666667,0.9415652173913043,0.9836111111111111,0.9842594169314759
sensitivity_validation_300,300.0,0.75,weight_sensitivity,4.993025016541972,0.001,10.0,0.9333333333333333,0.9331662489557226,0.9777777777777779,0.9784800411197175
sensitivity_validation_300,300.0,1.0,weight_sensitivity,4.214340703864107,0.001,10.0,0.7083333333333333,0.7083130772970345,0.7605555555555555,0.7581121563595465
