group,representation,segment_id,track_id,source_phase,target_phase,source_coherence,target_coherence,edge_weight,dominant_period_blocks,dominant_period_seconds,loop_score
focus,path_rhythm_phase,focus_jamendo_1128887__180s,focus_jamendo_1128887,0,1,0.39987438936270986,0.4615648000303394,0.39987438936270986,26,52.0,0.3707313600092763
focus,path_rhythm_phase,focus_jamendo_1128887__180s,focus_jamendo_1128887,1,2,0.4615648000303394,0.4400116029093587,0.4400116029093587,26,52.0,0.3707313600092763
focus,path_rhythm_phase,focus_jamendo_1128887__180s,focus_jamendo_1128887,2,3,0.4400116029093587,0.3894419351145424,0.3894419351145424,26,52.0,0.3707313600092763
focus,path_rhythm_phase,focus_jamendo_1128887__180s,focus_jamendo_1128887,3,4,0.3894419351145424,0.3707313600092763,0.3707313600092763,26,52.0,0.3707313600092763
focus,path_rhythm_phase,focus_jamendo_1128887__180s,focus_jamendo_1128887,4,5,0.3707313600092763,0.40141285406815574,0.3707313600092763,26,52.0,0.3707313600092763
focus,path_rhythm_phase,focus_jamendo_1128887__180s,focus_jamendo_1128887,5,0,0.40141285406815574,0.39987438936270986,0.39987438936270986,26,52.0,0.3707313600092763
classical,path_rhythm_phase,classical_musopen_0b7876dd110e__180s,classical_musopen_0b7876dd110e,0,1,0.39603579635040215,0.3668066282390298,0.3668066282390298,8,16.0,0.3537856177891767
classical,path_rhythm_phase,classical_musopen_0b7876dd110e__180s,classical_musopen_0b7876dd110e,1,2,0.3668066282390298,0.41098517260141065,0.3668066282390298,8,16.0,0.3537856177891767
classical,path_rhythm_phase,classical_musopen_0b7876dd110e__180s,classical_musopen_0b7876dd110e,2,3,0.41098517260141065,0.4129560651836842,0.41098517260141065,8,16.0,0.3537856177891767
classical,path_rhythm_phase,classical_musopen_0b7876dd110e__180s,classical_musopen_0b7876dd110e,3,4,0.4129560651836842,0.3537856177891767,0.3537856177891767,8,16.0,0.3537856177891767
classical,path_rhythm_phase,classical_musopen_0b7876dd110e__180s,classical_musopen_0b7876dd110e,4,5,0.3537856177891767,0.44427072566558934,0.3537856177891767,8,16.0,0.3537856177891767
classical,path_rhythm_phase,classical_musopen_0b7876dd110e__180s,classical_musopen_0b7876dd110e,5,0,0.44427072566558934,0.39603579635040215,0.39603579635040215,8,16.0,0.3537856177891767
