split,group,representation,n_tracks,spearman_rho_180_vs_300,spearman_p,median_300_minus_180,wilcoxon_p_two_sided
discovery,focus,path_acoustic_phase,195,0.8319472980201151,2.911459575021008e-51,0.010208143465406161,2.288900489264987e-07
discovery,classical,path_acoustic_phase,194,0.6122988170421534,2.396622693065865e-21,0.0,0.0012088148927391978
discovery,focus,path_rhythm_phase,195,0.566846499252698,5.708709363308464e-18,0.009772721402446005,2.403042926067238e-07
discovery,classical,path_rhythm_phase,194,0.7205819873198751,2.3187277548916375e-32,0.0,1.1008560147020014e-05
discovery,focus,path_chroma_phase,195,0.8051334421445905,1.1596582994357039e-45,0.012649633981422104,6.833029500422181e-08
discovery,classical,path_chroma_phase,194,0.665136231217103,3.806774755016551e-26,0.0,7.168686317710401e-06
validation,focus,path_acoustic_phase,60,0.8164490136148932,1.85905716814876e-15,0.0026015839469215873,4.8561290365660584e-05
validation,classical,path_acoustic_phase,60,0.48441233676021134,8.788021114816473e-05,0.006265622501382767,0.30110217370973436
validation,focus,path_rhythm_phase,60,0.7776048902472911,2.721664727395388e-13,0.0,0.011722127815011047
validation,classical,path_rhythm_phase,60,0.4360655737704919,0.0004962656330751575,0.0005170156324642572,0.6560808699294636
validation,focus,path_chroma_phase,60,0.8830786329535983,1.0243342726959757e-20,0.0,0.5128559895093828
validation,classical,path_chroma_phase,60,0.31981105862739656,0.012740839167872114,0.0035991621673694407,0.8562487221955521
holdout,focus,path_acoustic_phase,45,0.8391304347826086,6.07072867631708e-13,0.015427507395592732,0.0027010366722958127
holdout,classical,path_acoustic_phase,45,0.5357048748353096,0.00014928665508579965,0.007575141805358787,0.08627954423360507
holdout,focus,path_rhythm_phase,45,0.6486166007905138,1.4475255779295291e-06,0.000799390340333106,0.10389137371710394
holdout,classical,path_rhythm_phase,45,0.38142292490118573,0.00973194025787949,0.02228292661978548,9.034815099084881e-05
holdout,focus,path_chroma_phase,45,0.7768115942028985,3.547800719844405e-10,0.0,0.25145818990243407
holdout,classical,path_chroma_phase,45,0.3960474308300394,0.00707891437877222,0.007273183168816977,0.025164878425982806
