analysis_set,scale_seconds,comparison,candidate,baseline,metric,candidate_score,baseline_score,delta,bootstrap_resamples,ci_low,ci_high,positive_fraction
primary_validation_180,180.0,PitchPhase_minus_Pitch,PitchPhase,Pitch,balanced_accuracy,0.925,0.9333333333333333,-0.008333333333333304,1000,-0.04166666666666663,0.01666666666666672,0.205
primary_validation_180,180.0,PitchPhase_minus_Pitch,PitchPhase,Pitch,macro_f1,0.9245757385292269,0.9331662489557226,-0.008590510426495723,1000,-0.04205384990236383,0.01661550985361071,0.176
primary_validation_180,180.0,PitchPhase_minus_Pitch,PitchPhase,Pitch,auroc,0.9816666666666667,0.9877777777777778,-0.006111111111111067,1000,-0.018888888888888847,0.002777777777777768,0.102
primary_validation_180,180.0,PitchPhase_minus_Phase,PitchPhase,Phase,balanced_accuracy,0.925,0.6833333333333333,0.2416666666666667,1000,0.15833333333333333,0.32500000000000007,1.0
primary_validation_180,180.0,PitchPhase_minus_Phase,PitchPhase,Phase,macro_f1,0.9245757385292269,0.6833333333333333,0.24124240519589357,1000,0.1581764272313052,0.32558407520508686,1.0
primary_validation_180,180.0,PitchPhase_minus_Phase,PitchPhase,Phase,auroc,0.9816666666666667,0.7330555555555556,0.24861111111111112,1000,0.16579166666666662,0.344736111111111,1.0
same_track_sensitivity_300,300.0,PitchPhase_minus_Pitch,PitchPhase,Pitch,balanced_accuracy,0.95,0.9333333333333333,0.016666666666666607,1000,0.0,0.04166666666666663,0.876
same_track_sensitivity_300,300.0,PitchPhase_minus_Pitch,PitchPhase,Pitch,macro_f1,0.949874686716792,0.9330357142857143,0.01683897243107768,1000,0.0,0.04247759456455713,0.876
same_track_sensitivity_300,300.0,PitchPhase_minus_Pitch,PitchPhase,Pitch,auroc,0.9780555555555556,0.9855555555555555,-0.007499999999999951,1000,-0.024173611111111222,0.0024999999999999467,0.165
same_track_sensitivity_300,300.0,PitchPhase_minus_Phase,PitchPhase,Phase,balanced_accuracy,0.95,0.75,0.19999999999999996,1000,0.125,0.2833333333333332,1.0
same_track_sensitivity_300,300.0,PitchPhase_minus_Phase,PitchPhase,Phase,macro_f1,0.949874686716792,0.7474747474747474,0.20239993924204458,1000,0.12731964764136125,0.2863745129577214,1.0
same_track_sensitivity_300,300.0,PitchPhase_minus_Phase,PitchPhase,Phase,auroc,0.9780555555555556,0.7877777777777777,0.19027777777777788,1000,0.11944444444444458,0.27306944444444425,1.0
