group,metric,n_tracks,spearman_rho_180_vs_300,p_value,median_300_minus_180
focus,self_transition_ratio,60,0.9817727146429565,1.5906391607797761e-43,0.0
focus,vertex_count,60,0.8904351091650279,1.7283942437117952e-21,0.0
focus,edge_count,60,0.9212973705940914,1.822237760193782e-25,1.0
focus,edge_density,60,0.8407546691517948,4.3206347118534386e-17,0.0
focus,reciprocity,60,0.8233470566332309,6.778156285372704e-16,0.0
focus,transition_entropy,60,0.9653792720200057,1.5269462238154423e-35,0.0
focus,path_entropy,60,0.9841622672964715,2.7918277626314822e-45,0.0
focus,directed_recurrence,60,0.9666018338427342,5.4743421492123194e-36,0.0
focus,h0_betti_auc,60,0.9187802610270694,4.382623097386544e-25,0.0
focus,h1_betti_auc,60,0.9999999999999999,0.0,0.0
focus,h0_betti_mean,60,0.9280663663748622,1.4763264147344747e-26,0.0
focus,h1_betti_mean,60,0.9999999999999999,0.0,0.0
focus,h0_betti_max,60,0.8792195794330965,2.4854438413669087e-20,0.0
focus,h1_betti_max,60,0.9999999999999999,0.0,0.0
focus,h0_interval_count,60,0.8792195794330965,2.4854438413669087e-20,0.0
focus,h1_interval_count,60,0.9999999999999999,0.0,0.0
focus,h0_observed_persistence,60,0.8920253077411102,1.1570602800851622e-21,0.0
focus,h1_observed_persistence,60,,,0.0
focus,h0_censored_count,60,0.9449933270503937,7.811486874964502e-30,0.0
focus,h1_censored_count,60,0.9999999999999999,0.0,0.0
classical,self_transition_ratio,60,0.8950263962211727,5.332172628368503e-22,-0.0017634388844653959
classical,vertex_count,60,0.6501111313476571,1.8959485462990645e-08,0.0
classical,edge_count,60,0.8325556321927122,1.643218243399113e-16,5.0
classical,edge_density,60,0.7067762606298422,2.7796313271280083e-10,0.02564102564102569
classical,reciprocity,60,0.4634576894929924,0.00019209031723108782,-0.015996555787183953
classical,transition_entropy,60,0.8612392331203113,1.0733519059496308e-18,-0.009149701905774466
classical,path_entropy,60,0.8481244790219507,1.2174861785815756e-17,0.06981943588373907
classical,directed_recurrence,60,0.8361767157543764,9.191937400824027e-17,-0.001680034362589249
classical,h0_betti_auc,60,0.814895125573157,2.319927494288831e-15,0.15000000000000036
classical,h1_betti_auc,60,,,0.0
classical,h0_betti_mean,60,0.8206986996648016,1.003580118402145e-15,0.3333333333333339
classical,h1_betti_mean,60,,,0.0
classical,h0_betti_max,60,0.7736535801575591,4.272748847608941e-13,0.0
classical,h1_betti_max,60,,,0.0
classical,h0_interval_count,60,0.7736535801575591,4.272748847608941e-13,0.0
classical,h1_interval_count,60,,,0.0
classical,h0_observed_persistence,60,0.76650445655897,9.447140274433744e-13,0.10000000000000009
classical,h1_observed_persistence,60,,,0.0
classical,h0_censored_count,60,0.729122847716477,3.951263198590879e-11,1.0
classical,h1_censored_count,60,,,0.0
