segment_id,track_id,group,split,scale_seconds,view,feature_relative_path,feature_sha256,graph_relative_path,graph_sha256,persistence_relative_path,persistence_sha256,sensitivity_persistence_relative_path,sensitivity_persistence_sha256,sidecar_relative_path,config_sha256,sequence_length,valid_states,valid_transitions,self_transitions,self_transition_ratio,vertex_count,edge_count,edge_density,reciprocity,transition_entropy,path_entropy,path_entropy_normalized,directed_recurrence,directed_recurrence_unbiased,h0_betti_auc,h1_betti_auc,h0_betti_mean,h1_betti_mean,h0_betti_max,h1_betti_max,h0_interval_count,h1_interval_count,h0_observed_persistence,h1_observed_persistence,h0_censored_count,h1_censored_count,status,processed_at,error
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch,features/chroma/180s/classical/validation/classical_musicnet_1727__180s.npz,8884301f4dd69b5a21a747ffd94008330043143d4dc778499904c96daf1e21cc,graphs/pitch/180s/classical/validation/classical_musicnet_1727__180s.npz,1ec8556af2d4e4a7097b5caf5281022b7a81ccf0381ecb6dca19567daf6a1979,homology/persistence/pitch/180s/classical/validation/classical_musicnet_1727__180s.npz,8e557caa7333539f7d938a02af9a170b35310aa12293197f3db55730903a3491,homology/persistence_sensitivity/pitch/180s/classical/validation/classical_musicnet_1727__180s.npz,f0f2cafb11e0aecb1efe1ae33b823c3c40ac2d2b7dc67dc539f50a3e2faccf04,homology/descriptors/pitch/180s/classical/validation/classical_musicnet_1727__180s.json,a1f107a7d717e14f166698f50dae3465d0ec91ed6cd422b1cc63204e6500d632,354,354,353,123,0.34844192634560905,13,71,0.4551282051282051,0.5915492957746479,0.9074834966504405,1.8101536171303685,0.7057268448067257,0.02246226195539648,0.019685166108678858,5.75,0.0,12.666666666666666,0.0,13,0,13,0,5.85,0,11,0,success,2026-08-02,
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,pitch,features/chroma/300s/classical/validation/classical_musicnet_1727__300s.npz,a34d940fb8271b5029aef2dba005c8542fb280a58d795fe3feace2916f68f876,graphs/pitch/300s/classical/validation/classical_musicnet_1727__300s.npz,1f619c8b44eaf48f59391a40dd7d2d7c5fb16d6c927bffb09b5ca7658c96f57b,homology/persistence/pitch/300s/classical/validation/classical_musicnet_1727__300s.npz,36098ff439f6ddd035a7f80cf1e8aad22ddf6162b5a330942ea689ea5be7b17c,homology/persistence_sensitivity/pitch/300s/classical/validation/classical_musicnet_1727__300s.npz,c2970afdd05ba395ce006f5376b5ff9148b6ad8f0cf0e337916352a891106f6d,homology/descriptors/pitch/300s/classical/validation/classical_musicnet_1727__300s.json,a1f107a7d717e14f166698f50dae3465d0ec91ed6cd422b1cc63204e6500d632,592,592,591,210,0.3553299492385787,13,77,0.4935897435897436,0.6493506493506493,0.90577128636583,1.948632242966432,0.7597156791021178,0.01858389090732104,0.01692047377326565,5.8,0.0,12.833333333333334,0.0,13,0,13,0,5.85,0,12,0,success,2026-08-02,
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,pitch,features/chroma/180s/classical/validation/classical_musicnet_1728__180s.npz,c2781d2575f38a504b6b6d3c1d0f2ae6ce01c6357d090d442595a3f8fabc6408,graphs/pitch/180s/classical/validation/classical_musicnet_1728__180s.npz,fda0bd0986a6eca511382cf11acf30884883a3523d789b4c9398e41016eb9faf,homology/persistence/pitch/180s/classical/validation/classical_musicnet_1728__180s.npz,1e511f2ffea3effed4e5816d7064361ca48a8623eaf66284569314e4c33edd9a,homology/persistence_sensitivity/pitch/180s/classical/validation/classical_musicnet_1728__180s.npz,15e79d78beb98c7dc0f2ad222a6ff162c2ec35410d4ad88ac10356e307f6c6e4,homology/descriptors/pitch/180s/classical/validation/classical_musicnet_1728__180s.json,a1f107a7d717e14f166698f50dae3465d0ec91ed6cd422b1cc63204e6500d632,317,317,316,85,0.2689873417721519,13,63,0.40384615384615385,0.5714285714285714,0.9113479023635552,1.830080956283218,0.7134959413367916,0.024735619291780163,0.02163954189270645,5.35,0.0,11.833333333333334,0.0,13,0,13,0,5.55,0,9,0,success,2026-08-02,
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,pitch,features/chroma/300s/classical/validation/classical_musicnet_1728__300s.npz,25c6fe668f7cafdf314e358df6e41eb859b5c40c8d1c66a18e742ac478675ad5,graphs/pitch/300s/classical/validation/classical_musicnet_1728__300s.npz,16efd3da092a6378799ba1c3c7103fafb02823a5e6c9ba38719374a2a04ff5ad,homology/persistence/pitch/300s/classical/validation/classical_musicnet_1728__300s.npz,9065da332929b34dc5ea355a7ab29c44ca0e30540f3db7b0b68af66be1e52c9e,homology/persistence_sensitivity/pitch/300s/classical/validation/classical_musicnet_1728__300s.npz,a462db0c38bec4fb7eb093e84de064083cabb56e1e94ca6f240631a25d37907c,homology/descriptors/pitch/300s/classical/validation/classical_musicnet_1728__300s.json,a1f107a7d717e14f166698f50dae3465d0ec91ed6cd422b1cc63204e6500d632,437,437,436,108,0.24770642201834864,13,67,0.42948717948717946,0.5373134328358209,0.9009505179490431,1.8942021505234024,0.7384949511822115,0.02456653480346772,0.022324159021406727,5.5,0.0,12.166666666666666,0.0,13,0,13,0,5.65,0,10,0,success,2026-08-02,
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,pitch,features/chroma/180s/classical/validation/classical_musicnet_1729__180s.npz,336746980dfccd4efd9eed7b01807832a3c3b1a45cc75fb84ee0aee408c9c5cf,graphs/pitch/180s/classical/validation/classical_musicnet_1729__180s.npz,7cae2ffd8ffd2f7ed3f4bcdd8264cc9942f8207753538fc58e8a1e09f62f1a1e,homology/persistence/pitch/180s/classical/validation/classical_musicnet_1729__180s.npz,84a0891659a95c1eee906cbdea0e7f4ec3a494240ab349fd6380f3fd837b8d7e,homology/persistence_sensitivity/pitch/180s/classical/validation/classical_musicnet_1729__180s.npz,f140fd2f6fc60e2055826f469f16a4d192b47051e5b9d888b331f55b804a7c49,homology/descriptors/pitch/180s/classical/validation/classical_musicnet_1729__180s.json,a1f107a7d717e14f166698f50dae3465d0ec91ed6cd422b1cc63204e6500d632,391,391,390,114,0.2923076923076923,13,64,0.41025641025641024,0.59375,0.8879497533884142,1.8324387422197927,0.7144151742759199,0.026824457593688362,0.02432272098081867,4.949999999999999,0.0,11.0,0.0,12,0,12,0,5.1,0,9,0,success,2026-08-02,
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,pitch,features/chroma/300s/classical/validation/classical_musicnet_1729__300s.npz,fcc249131acdc43b0914c87ca2380a00b02f43a6a5474d3784f85844765fa0c2,graphs/pitch/300s/classical/validation/classical_musicnet_1729__300s.npz,dd558155abdfab6da078f6a57d606e021dd019b315d8bc77b0387c7496a27119,homology/persistence/pitch/300s/classical/validation/classical_musicnet_1729__300s.npz,c2af5a502a253a83fc6f251324fa97708cbe0db744015c2cc68bc20e22a5d2bd,homology/persistence_sensitivity/pitch/300s/classical/validation/classical_musicnet_1729__300s.npz,1c1b72f6c00822db2707fde066f1b7031aec2676d70b4c064ad12a2577e0de93,homology/descriptors/pitch/300s/classical/validation/classical_musicnet_1729__300s.json,a1f107a7d717e14f166698f50dae3465d0ec91ed6cd422b1cc63204e6500d632,653,653,652,198,0.30368098159509205,13,72,0.46153846153846156,0.6666666666666666,0.8894835125600207,1.9234559665595155,0.7499001728685628,0.022766193684369003,0.021265066485727478,5.35,0.0,11.833333333333334,0.0,12,0,12,0,5.3999999999999995,0,11,0,success,2026-08-02,
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,pitch,features/chroma/180s/classical/validation/classical_musicnet_1730__180s.npz,ad2205423b5eca502ed53e238f7aa0cf5f38fcf9853ac9fafee3f6eb29199b46,graphs/pitch/180s/classical/validation/classical_musicnet_1730__180s.npz,5b4e4c0c1fc81939b091cbfb6044ebcd8cd8ab6a9b5d5e14d0f083451dd07359,homology/persistence/pitch/180s/classical/validation/classical_musicnet_1730__180s.npz,80b0e4a99a4fb20546a9403f0b79b33313a2ce11e272a55822acddf7ac42d55c,homology/persistence_sensitivity/pitch/180s/classical/validation/classical_musicnet_1730__180s.npz,2c860f9db9efdd40e7fbb057f0724e7182323a956068b2c40a3d740dace23c1f,homology/descriptors/pitch/180s/classical/validation/classical_musicnet_1730__180s.json,a1f107a7d717e14f166698f50dae3465d0ec91ed6cd422b1cc63204e6500d632,354,354,353,88,0.24929178470254956,13,66,0.4230769230769231,0.6363636363636364,0.9092972056140295,1.893681012451661,0.7382917744332339,0.0227672158511825,0.019990986350759722,5.7,0.0,12.5,0.0,13,0,13,0,5.85,0,10,0,success,2026-08-02,
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,pitch,features/chroma/300s/classical/validation/classical_musicnet_1730__300s.npz,62f80a89d9773b65cf9cbd13d785d9c2556fc72e9f53710febea8a6c69634cbc,graphs/pitch/300s/classical/validation/classical_musicnet_1730__300s.npz,ca3560e877baf1f4facd403efdb01fd603b552bf9db973b6a91de444dfe534df,homology/persistence/pitch/300s/classical/validation/classical_musicnet_1730__300s.npz,80b0e4a99a4fb20546a9403f0b79b33313a2ce11e272a55822acddf7ac42d55c,homology/persistence_sensitivity/pitch/300s/classical/validation/classical_musicnet_1730__300s.npz,864a2b1fee98e9771aab13d97bb742134ef7f823b14e68577d50b5a56fa41173,homology/descriptors/pitch/300s/classical/validation/classical_musicnet_1730__300s.json,a1f107a7d717e14f166698f50dae3465d0ec91ed6cd422b1cc63204e6500d632,585,585,584,149,0.2551369863013699,13,72,0.46153846153846156,0.5833333333333334,0.8998582790295137,1.977833350747055,0.7711003513552661,0.019809063614186526,0.018127775558636247,5.7,0.0,12.5,0.0,13,0,13,0,5.85,0,10,0,success,2026-08-02,
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,pitch,features/chroma/180s/classical/validation/classical_musicnet_1739__180s.npz,e648406cffaeedc92f4ff1fabf625981f1f32e37d6e217352e01a507c2cf2e05,graphs/pitch/180s/classical/validation/classical_musicnet_1739__180s.npz,b0d57d1f27b1e7988e6789dd23812ce0197ca4db5292eeeef4eb62e6cb86ca7d,homology/persistence/pitch/180s/classical/validation/classical_musicnet_1739__180s.npz,02fec90122fc73228e11512207eff5c8698404a469095cf44033e031dc2e784f,homology/persistence_sensitivity/pitch/180s/classical/validation/classical_musicnet_1739__180s.npz,7d6ad46db9d638ed0d3c8b1589e9bb927b467bcc5c6b45ba0de7f5c6ba58934d,homology/descriptors/pitch/180s/classical/validation/classical_musicnet_1739__180s.json,a1f107a7d717e14f166698f50dae3465d0ec91ed6cd422b1cc63204e6500d632,269,269,268,68,0.2537313432835821,13,57,0.36538461538461536,0.5964912280701754,0.9284533026997278,1.8057027566295087,0.7039915822808157,0.022861439073290264,0.019201744088546035,5.049999999999999,0.0,11.0,0.0,12,0,12,0,5.299999999999999,0,7,0,success,2026-08-02,
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,pitch,features/chroma/300s/classical/validation/classical_musicnet_1739__300s.npz,aebdd682575fe04ae7e1786338b1a42931fad4b232f3a16ef1305d552ad8098b,graphs/pitch/300s/classical/validation/classical_musicnet_1739__300s.npz,be532a7ee4eb0db1af8617f0b46fc33db69ec5cdc215d09e37b0122c9d99d175,homology/persistence/pitch/300s/classical/validation/classical_musicnet_1739__300s.npz,570df4b3c7ac85056a0c16e603b6acd2b548aa39320473358ddef0c1474a7568,homology/persistence_sensitivity/pitch/300s/classical/validation/classical_musicnet_1739__300s.npz,24335d80af4225bfa969602da2791d1e1b1fe8e59330ed0f9f8100d2bde69317,homology/descriptors/pitch/300s/classical/validation/classical_musicnet_1739__300s.json,a1f107a7d717e14f166698f50dae3465d0ec91ed6cd422b1cc63204e6500d632,490,490,489,120,0.24539877300613497,13,63,0.40384615384615385,0.6031746031746031,0.9185367122684363,1.8826029420554664,0.7339727533328881,0.02129047636970404,0.01928492406718294,5.1,0.0,11.166666666666666,0.0,12,0,12,0,5.3,0,8,0,success,2026-08-02,
