segment_id,track_id,group,split,scale_seconds,source_chroma_relative_path,source_chroma_sha256,pitch_v2_relative_path,pitch_v2_sha256,codebook_sha256,steps,valid_steps,masked_steps,observed_states,median_codebook_distance,status,processed_at,error
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,features/chroma/180s/classical/validation/classical_musicnet_1727__180s.npz,8884301f4dd69b5a21a747ffd94008330043143d4dc778499904c96daf1e21cc,features/pitch_v2/180s/classical/validation/classical_musicnet_1727__180s.npz,a0cd6563f618615a17e4757e303c03ae035387ece6c74a8d881b5a39b3462974,172e7094b7a170b50058cc2cfb72f89054f951dc2bf8506ae0e3381d3977a7c8,354,295,59,15,0.21911558508872986,success,2026-08-04,
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,features/chroma/300s/classical/validation/classical_musicnet_1727__300s.npz,a34d940fb8271b5029aef2dba005c8542fb280a58d795fe3feace2916f68f876,features/pitch_v2/300s/classical/validation/classical_musicnet_1727__300s.npz,eac260a8fdc69ed0fd4ffbee4f2588e8b24a8d8ea3818e46242a50c73968aeec,172e7094b7a170b50058cc2cfb72f89054f951dc2bf8506ae0e3381d3977a7c8,592,494,98,15,0.2197721302509308,success,2026-08-04,
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,features/chroma/180s/classical/validation/classical_musicnet_1728__180s.npz,c2781d2575f38a504b6b6d3c1d0f2ae6ce01c6357d090d442595a3f8fabc6408,features/pitch_v2/180s/classical/validation/classical_musicnet_1728__180s.npz,8cac19cb0075c06cc2778d1ec6fafc3daa7b6efa5b03912286193533e7fc9f59,172e7094b7a170b50058cc2cfb72f89054f951dc2bf8506ae0e3381d3977a7c8,317,258,59,16,0.2197050154209137,success,2026-08-04,
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,features/chroma/300s/classical/validation/classical_musicnet_1728__300s.npz,25c6fe668f7cafdf314e358df6e41eb859b5c40c8d1c66a18e742ac478675ad5,features/pitch_v2/300s/classical/validation/classical_musicnet_1728__300s.npz,ba98242d398e4b89cd99bb0a9b30b6c1235bdc9af6a5f1b1f48ddb982721189e,172e7094b7a170b50058cc2cfb72f89054f951dc2bf8506ae0e3381d3977a7c8,437,351,86,16,0.21899248659610748,success,2026-08-04,
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,features/chroma/180s/classical/validation/classical_musicnet_1729__180s.npz,336746980dfccd4efd9eed7b01807832a3c3b1a45cc75fb84ee0aee408c9c5cf,features/pitch_v2/180s/classical/validation/classical_musicnet_1729__180s.npz,2c58b5de10765889fb087cbaacee68b4e2d5a2a16b9a47be9bb6b933b32c4b71,172e7094b7a170b50058cc2cfb72f89054f951dc2bf8506ae0e3381d3977a7c8,391,301,90,16,0.20795495808124542,success,2026-08-04,
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,features/chroma/300s/classical/validation/classical_musicnet_1729__300s.npz,fcc249131acdc43b0914c87ca2380a00b02f43a6a5474d3784f85844765fa0c2,features/pitch_v2/300s/classical/validation/classical_musicnet_1729__300s.npz,57bc0935f428e5438659b9e944e79138089ecb695eb523ae55382da972b57379,172e7094b7a170b50058cc2cfb72f89054f951dc2bf8506ae0e3381d3977a7c8,653,516,137,16,0.2164381891489029,success,2026-08-04,
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,features/chroma/180s/classical/validation/classical_musicnet_1730__180s.npz,ad2205423b5eca502ed53e238f7aa0cf5f38fcf9853ac9fafee3f6eb29199b46,features/pitch_v2/180s/classical/validation/classical_musicnet_1730__180s.npz,d6becd80e9b141f12e512a764d011022c7d0f7c05129cf4b3f9fcad07d7583d6,172e7094b7a170b50058cc2cfb72f89054f951dc2bf8506ae0e3381d3977a7c8,354,272,82,16,0.20097872614860535,success,2026-08-04,
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,features/chroma/300s/classical/validation/classical_musicnet_1730__300s.npz,62f80a89d9773b65cf9cbd13d785d9c2556fc72e9f53710febea8a6c69634cbc,features/pitch_v2/300s/classical/validation/classical_musicnet_1730__300s.npz,a4f6e189091d189b6c5f499f5fe563e93ca57ccf72544b2ab1e0fdb2333e192d,172e7094b7a170b50058cc2cfb72f89054f951dc2bf8506ae0e3381d3977a7c8,585,455,130,16,0.20818102359771729,success,2026-08-04,
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,features/chroma/180s/classical/validation/classical_musicnet_1739__180s.npz,e648406cffaeedc92f4ff1fabf625981f1f32e37d6e217352e01a507c2cf2e05,features/pitch_v2/180s/classical/validation/classical_musicnet_1739__180s.npz,77fdd6e3940d86038e91aff9c3bca382f3347fc6f88210ea40c6a14efbbd8702,172e7094b7a170b50058cc2cfb72f89054f951dc2bf8506ae0e3381d3977a7c8,269,215,54,13,0.2379096895456314,success,2026-08-04,
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,features/chroma/300s/classical/validation/classical_musicnet_1739__300s.npz,aebdd682575fe04ae7e1786338b1a42931fad4b232f3a16ef1305d552ad8098b,features/pitch_v2/300s/classical/validation/classical_musicnet_1739__300s.npz,c07ec0576e9ca4e0798875d075d1cbbbad4a00e554788ac2f5b49d72216137c0,172e7094b7a170b50058cc2cfb72f89054f951dc2bf8506ae0e3381d3977a7c8,490,392,98,15,0.2366340160369873,success,2026-08-04,
