segment_id,track_id,group,split,scale_seconds,view,threshold,vertex_count,edge_count,h0_betti,h0_allowed_path_count,h0_omega_dimension,h0_cycle_dimension,h0_boundary_rank,h1_betti,h1_allowed_path_count,h1_omega_dimension,h1_cycle_dimension,h1_boundary_rank
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch_v2,0.95,15,0,15,15,15,15,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch_v2,0.9,15,0,15,15,15,15,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch_v2,0.8,15,0,15,15,15,15,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch_v2,0.7,15,0,15,15,15,15,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch_v2,0.6,15,0,15,15,15,15,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch_v2,0.5,15,1,14,15,15,15,1,0,1,1,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch_v2,0.4,15,1,14,15,15,15,1,0,1,1,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch_v2,0.3,15,11,4,15,15,15,11,0,11,11,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch_v2,0.2,15,34,2,15,15,15,13,2,34,34,21,19
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch_v2,0.15,15,37,2,15,15,15,13,1,37,37,24,23
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch_v2,0.1,15,59,2,15,15,15,13,0,59,59,46,46
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch_v2,0.075,15,65,2,15,15,15,13,0,65,65,52,52
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch_v2,0.05,15,71,2,15,15,15,13,0,71,71,58,58
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,pitch_v2,0.95,15,0,15,15,15,15,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,pitch_v2,0.9,15,0,15,15,15,15,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,pitch_v2,0.8,15,0,15,15,15,15,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,pitch_v2,0.7,15,0,15,15,15,15,0,0,0,0,0,0
