segment_id,track_id,group,split,scale_seconds,view,feature_relative_path,feature_sha256,graph_relative_path,graph_sha256,persistence_relative_path,persistence_sha256,sensitivity_persistence_relative_path,sensitivity_persistence_sha256,sidecar_relative_path,config_sha256,sequence_length,valid_states,valid_transitions,self_transitions,self_transition_ratio,vertex_count,edge_count,edge_density,reciprocity,transition_entropy,path_entropy,path_entropy_normalized,directed_recurrence,directed_recurrence_unbiased,h0_betti_auc,h1_betti_auc,h0_betti_mean,h1_betti_mean,h0_betti_max,h1_betti_max,h0_interval_count,h1_interval_count,h0_observed_persistence,h1_observed_persistence,h0_censored_count,h1_censored_count,status,processed_at,error
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,pitch_v2,features/pitch_v2/180s/classical/validation/classical_musicnet_1727__180s.npz,a0cd6563f618615a17e4757e303c03ae035387ece6c74a8d881b5a39b3462974,graphs/pitch_v2/180s/classical/validation/classical_musicnet_1727__180s.npz,64d29912e5301698aad3adc4cda697b16b5e78db2291347241d0db6753c38cef,homology/persistence/pitch_v2/180s/classical/validation/classical_musicnet_1727__180s.npz,72a66d3c89c3ad994af6c783d3e01f4ba809ca6f89c2ef1b30f4e9161699601d,homology/persistence_sensitivity/pitch_v2/180s/classical/validation/classical_musicnet_1727__180s.npz,0c6353fe9efb73028ab0db2b031924fb065a04356a255128a0ee05823323c271,homology/descriptors/pitch_v2/180s/classical/validation/classical_musicnet_1727__180s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,354,295,248,89,0.3588709677419355,15,72,0.34285714285714286,0.6111111111111112,0.9329991980151717,1.7061714163163753,0.6300368492511484,0.019380853277835588,0.015410735274911845,6.7,0.0,14.833333333333334,0.0,15,0,15,0,6.749999999999999,0,14,0,success,2026-08-02,
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,pitch_v2,features/pitch_v2/300s/classical/validation/classical_musicnet_1727__300s.npz,eac260a8fdc69ed0fd4ffbee4f2588e8b24a8d8ea3818e46242a50c73968aeec,graphs/pitch_v2/300s/classical/validation/classical_musicnet_1727__300s.npz,82978eb42a3b49c267b86df51b0e75a2e4d7f1cf958ba98b61b1d76bd219ccd5,homology/persistence/pitch_v2/300s/classical/validation/classical_musicnet_1727__300s.npz,e21a50a269f67f2d99b4f12a77b998aa230c15583246ab720a78ce767aade53a,homology/persistence_sensitivity/pitch_v2/300s/classical/validation/classical_musicnet_1727__300s.npz,1677741af293c87d1b05e5647ac6905008866d4445bc15cb0748a4c32d4e91b8,homology/descriptors/pitch_v2/300s/classical/validation/classical_musicnet_1727__300s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,592,494,415,151,0.363855421686747,15,86,0.4095238095238095,0.5813953488372093,0.9178570905561361,1.8823356801034443,0.6950889164969358,0.0174132675279431,0.015039869623421222,6.6499999999999995,0.0,14.666666666666666,0.0,15,0,15,0,6.75,0,13,0,success,2026-08-02,
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,pitch_v2,features/pitch_v2/180s/classical/validation/classical_musicnet_1728__180s.npz,8cac19cb0075c06cc2778d1ec6fafc3daa7b6efa5b03912286193533e7fc9f59,graphs/pitch_v2/180s/classical/validation/classical_musicnet_1728__180s.npz,3b8c106ecb102c842fc700c47be7e8e937d32675bbea24a9b371b9a8a867b224,homology/persistence/pitch_v2/180s/classical/validation/classical_musicnet_1728__180s.npz,e4e80d8937884594b8934c024364b8de345f02373000656c50b396b039df46c3,homology/persistence_sensitivity/pitch_v2/180s/classical/validation/classical_musicnet_1728__180s.npz,9f79d029721ee90e0f1c74d9232f7579f4363a66aeb718fe54f567088624be82,homology/descriptors/pitch_v2/180s/classical/validation/classical_musicnet_1728__180s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,317,258,212,49,0.23113207547169812,16,69,0.2875,0.5217391304347826,0.9382671625803182,1.8537175805563941,0.6685872901693494,0.019312922748309008,0.014665116694983457,6.249999999999999,0.0,13.833333333333334,0.0,15,0,15,0,6.449999999999999,0,11,0,success,2026-08-02,
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,pitch_v2,features/pitch_v2/300s/classical/validation/classical_musicnet_1728__300s.npz,ba98242d398e4b89cd99bb0a9b30b6c1235bdc9af6a5f1b1f48ddb982721189e,graphs/pitch_v2/300s/classical/validation/classical_musicnet_1728__300s.npz,6ce554a2e3c0e11e774b637382ade343f52bd62c03f17c427f1427e43679c99e,homology/persistence/pitch_v2/300s/classical/validation/classical_musicnet_1728__300s.npz,b4448e663546963050faa0d15b5056b7da9fcdd54b974bc1007fb05cfef3cc9e,homology/persistence_sensitivity/pitch_v2/300s/classical/validation/classical_musicnet_1728__300s.npz,842a72716153307ffe05d2d51a7b97c04f443074480e88c6e8d731775cb4ba6d,homology/descriptors/pitch_v2/300s/classical/validation/classical_musicnet_1728__300s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,437,351,283,68,0.24028268551236748,16,72,0.3,0.5833333333333334,0.9288340850510494,1.8916865883305891,0.6822817149751758,0.019016344316947396,0.015537678871262813,6.249999999999999,0.0,13.666666666666666,0.0,15,0,15,0,6.55,0,9,0,success,2026-08-02,
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,pitch_v2,features/pitch_v2/180s/classical/validation/classical_musicnet_1729__180s.npz,2c58b5de10765889fb087cbaacee68b4e2d5a2a16b9a47be9bb6b933b32c4b71,graphs/pitch_v2/180s/classical/validation/classical_musicnet_1729__180s.npz,25a72d65a7d5ddc07379d1d755cdd755d8d330c550bf4b2d8e7086388cf07674,homology/persistence/pitch_v2/180s/classical/validation/classical_musicnet_1729__180s.npz,b553e10e332f10169b12bc065d738d972ed0607dc1db23caeaa06629e4a56a92,homology/persistence_sensitivity/pitch_v2/180s/classical/validation/classical_musicnet_1729__180s.npz,eb3ae8b83ec3a415432a2167295fe3e2f94f5aca53a9dcd5d44532b0b261183a,homology/descriptors/pitch_v2/180s/classical/validation/classical_musicnet_1729__180s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,391,301,233,76,0.3261802575107296,16,60,0.25,0.5,0.8986729094814355,1.681009231084291,0.606295920343469,0.029416640571754867,0.025233091608702088,5.8999999999999995,0.0,12.666666666666666,0.0,14,0,14,0,6.299999999999999,0,6,0,success,2026-08-02,
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,pitch_v2,features/pitch_v2/300s/classical/validation/classical_musicnet_1729__300s.npz,57bc0935f428e5438659b9e944e79138089ecb695eb523ae55382da972b57379,graphs/pitch_v2/300s/classical/validation/classical_musicnet_1729__300s.npz,4b55131d252a40cf36aa2951a648adba23002fd2d003490be18d321d57b43670,homology/persistence/pitch_v2/300s/classical/validation/classical_musicnet_1729__300s.npz,3f919601259db2e22b75610f78208152fcb258c615e262666c19cbae862e8ec0,homology/persistence_sensitivity/pitch_v2/300s/classical/validation/classical_musicnet_1729__300s.npz,ce645660eaf743478c3c6bd40680f68867e6f86eacecc267a0ea726c83622b08,homology/descriptors/pitch_v2/300s/classical/validation/classical_musicnet_1729__300s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,653,516,406,140,0.3448275862068966,16,76,0.31666666666666665,0.5526315789473685,0.888516278333794,1.7921618792804823,0.6463857639270493,0.024703341503069718,0.022295201605546433,6.949999999999999,0.0,15.333333333333334,0.0,16,0,16,0,7.1,0,13,0,success,2026-08-02,
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,pitch_v2,features/pitch_v2/180s/classical/validation/classical_musicnet_1730__180s.npz,d6becd80e9b141f12e512a764d011022c7d0f7c05129cf4b3f9fcad07d7583d6,graphs/pitch_v2/180s/classical/validation/classical_musicnet_1730__180s.npz,cfeae30495389773ea8aaa3dcbcab3879a6717ee75c9d71b830d253892a13245,homology/persistence/pitch_v2/180s/classical/validation/classical_musicnet_1730__180s.npz,16644c38368d92269c77a11b6c242b7a880aea116eb590025ab14cfc64924919,homology/persistence_sensitivity/pitch_v2/180s/classical/validation/classical_musicnet_1730__180s.npz,adfb113a4f61b44fd48ede3b3e4e5cdcbeb5130a2839f43764610d98a1aec3ee,homology/descriptors/pitch_v2/180s/classical/validation/classical_musicnet_1730__180s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,354,272,209,49,0.23444976076555024,16,71,0.29583333333333334,0.4225352112676056,0.9339792015292836,1.696784611879593,0.6119856862538484,0.020168952176003296,0.015458225984541774,6.1499999999999995,0.0,13.5,0.0,14,0,14,0,6.299999999999999,0,11,0,success,2026-08-02,
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,pitch_v2,features/pitch_v2/300s/classical/validation/classical_musicnet_1730__300s.npz,a4f6e189091d189b6c5f499f5fe563e93ca57ccf72544b2ab1e0fdb2333e192d,graphs/pitch_v2/300s/classical/validation/classical_musicnet_1730__300s.npz,e7dc311cfc28f348f5ccbe125ffd7a4ab9cacda6bab469159b6b7d7ecbd5b178,homology/persistence/pitch_v2/300s/classical/validation/classical_musicnet_1730__300s.npz,62d30a15833609974e2f962300b6a96960feb52125b9eaf034fcf3efca3b90c9,homology/persistence_sensitivity/pitch_v2/300s/classical/validation/classical_musicnet_1730__300s.npz,456e4c5565f5b38cb3806c4acf3e0228a9e0998975f83a9a5ff80930d5640c5f,homology/descriptors/pitch_v2/300s/classical/validation/classical_musicnet_1730__300s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,585,455,349,93,0.2664756446991404,16,82,0.3416666666666667,0.5609756097560976,0.9360787354966921,1.9095069345199371,0.68870904624375,0.014983456621866816,0.012152949313308962,6.6499999999999995,0.0,14.666666666666666,0.0,15,0,15,0,6.75,0,13,0,success,2026-08-02,
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,pitch_v2,features/pitch_v2/180s/classical/validation/classical_musicnet_1739__180s.npz,77fdd6e3940d86038e91aff9c3bca382f3347fc6f88210ea40c6a14efbbd8702,graphs/pitch_v2/180s/classical/validation/classical_musicnet_1739__180s.npz,3cf1194a6c5bd0eda6121e3de174f9f91b64e3d681de46a0b33fec6400b1b62a,homology/persistence/pitch_v2/180s/classical/validation/classical_musicnet_1739__180s.npz,5f99ebdbc12216daf6010a0f26ecc3ba91dfd1acd1cfdc7a22e50271027a28d5,homology/persistence_sensitivity/pitch_v2/180s/classical/validation/classical_musicnet_1739__180s.npz,0b201d22fa72f30f9c475cd81616333b9dea082267eea3e82ac61bbd2c5f49bf,homology/descriptors/pitch_v2/180s/classical/validation/classical_musicnet_1739__180s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,269,215,171,55,0.3216374269005848,13,49,0.3141025641025641,0.5306122448979592,0.9229190530520368,1.5695649359063577,0.6119282360645573,0.02992373721828939,0.024217406260749915,4.249999999999999,0.0,9.5,0.0,11,0,11,0,4.449999999999999,0,7,0,success,2026-08-02,
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,pitch_v2,features/pitch_v2/300s/classical/validation/classical_musicnet_1739__300s.npz,c07ec0576e9ca4e0798875d075d1cbbbad4a00e554788ac2f5b49d72216137c0,graphs/pitch_v2/300s/classical/validation/classical_musicnet_1739__300s.npz,86d58efcadc7ef721aff6001590d860e78116a8c13e76c5b254714dc1554503c,homology/persistence/pitch_v2/300s/classical/validation/classical_musicnet_1739__300s.npz,666b4c28d78ea0c11b735ada01203c72e5a2bbc786444f0edd563330085754bc,homology/persistence_sensitivity/pitch_v2/300s/classical/validation/classical_musicnet_1739__300s.npz,63493fab0292a4f02710c6901ab7689fc60456db28b0d0612e5bcbd821c52197,homology/descriptors/pitch_v2/300s/classical/validation/classical_musicnet_1739__300s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,490,392,316,96,0.3037974683544304,15,68,0.3238095238095238,0.5294117647058824,0.9151324902560228,1.7688160226120964,0.6531695837441146,0.023774234898253484,0.02067510548523207,5.75,0.0,12.5,0.0,14,0,14,0,6.1,0,7,0,success,2026-08-02,
classical_musicnet_1742__180s,classical_musicnet_1742,classical,validation,180.0,pitch_v2,features/pitch_v2/180s/classical/validation/classical_musicnet_1742__180s.npz,125eec7e38750579b11786ec9e14b8907c3eff21eef5c28a19ba2fcaa759ed52,graphs/pitch_v2/180s/classical/validation/classical_musicnet_1742__180s.npz,787b6218d05f5276a443c82ac6c33f76d5f725d02170e38709873e21b1455258,homology/persistence/pitch_v2/180s/classical/validation/classical_musicnet_1742__180s.npz,0b5ce04ffa41f8e39c4caeaedb9cb1e870ee03cd58cd271a0f759fad9d20a418,homology/persistence_sensitivity/pitch_v2/180s/classical/validation/classical_musicnet_1742__180s.npz,f4587e5e2aed818d4f3c4f7967f0913a7ce1c9325f52ddfd1f6bcbc6ec2715ac,homology/descriptors/pitch_v2/180s/classical/validation/classical_musicnet_1742__180s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,361,292,258,151,0.5852713178294574,15,55,0.2619047619047619,0.5454545454545454,0.8081285363542606,1.1542257707586092,0.42622022674794763,0.0718706808485067,0.06825928271951257,5.3500000000000005,0.0,11.666666666666666,0.0,13,0,13,0,5.6499999999999995,0,7,0,success,2026-08-02,
classical_musicnet_1742__300s,classical_musicnet_1742,classical,validation,300.0,pitch_v2,features/pitch_v2/300s/classical/validation/classical_musicnet_1742__300s.npz,77bf02a1b530b5347bbfa69cf30a0bf17ab2dad9d98aeece7c7edff82e5fb09a,graphs/pitch_v2/300s/classical/validation/classical_musicnet_1742__300s.npz,0fc8106318ce6bd6a12aa3e4d520924b2492c623d4077ee68f5a2c9bede4940f,homology/persistence/pitch_v2/300s/classical/validation/classical_musicnet_1742__300s.npz,6a89e6d12fd63bb8765b57f920d14b66db782b9f0949590961a9e019a34d295d,homology/persistence_sensitivity/pitch_v2/300s/classical/validation/classical_musicnet_1742__300s.npz,0d4e7569f4ca4f8de70a0958497a000b176830932cf61bb742deaa5663f28955,homology/descriptors/pitch_v2/300s/classical/validation/classical_musicnet_1742__300s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,598,494,431,239,0.5545243619489559,15,77,0.36666666666666664,0.5194805194805194,0.8070680438421252,1.3810015128463862,0.5099615628559254,0.051856955981072456,0.049651972157772624,6.3,0.0,14.0,0.0,15,0,15,0,6.449999999999999,0,12,0,success,2026-08-02,
classical_musicnet_1763__180s,classical_musicnet_1763,classical,validation,180.0,pitch_v2,features/pitch_v2/180s/classical/validation/classical_musicnet_1763__180s.npz,3955dc74e1c758f4015ffb38751383e5a417d87d85c0f2fd4fbcb37fb2a09c67,graphs/pitch_v2/180s/classical/validation/classical_musicnet_1763__180s.npz,e146520ec08b7c8c2800a8039c1c07ac5775218215eaae47ae8aee3ecacaf20f,homology/persistence/pitch_v2/180s/classical/validation/classical_musicnet_1763__180s.npz,fa4480bb219794cfe9cb3b920178b6149def1332329ab2b97521379cc536052f,homology/persistence_sensitivity/pitch_v2/180s/classical/validation/classical_musicnet_1763__180s.npz,99274dfba60f4f0c907b5c8401ec935b6c698c06643c4431ec13da4828f68927,homology/descriptors/pitch_v2/180s/classical/validation/classical_musicnet_1763__180s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,369,292,234,79,0.33760683760683763,15,74,0.3523809523809524,0.5675675675675675,0.9331544014332626,1.7956139166618876,0.6630652252794467,0.018810723938929068,0.014599611166134771,6.499999999999999,0.0,14.166666666666666,0.0,15,0,15,0,6.75,0,10,0,success,2026-08-02,
classical_musicnet_1763__300s,classical_musicnet_1763,classical,validation,300.0,pitch_v2,features/pitch_v2/300s/classical/validation/classical_musicnet_1763__300s.npz,ba312301ef9e9a2998b442bbf5e38fc9a395393a65dda8636f9a43d0654c23ac,graphs/pitch_v2/300s/classical/validation/classical_musicnet_1763__300s.npz,943861bccbbcef5f21b95d43ec5350b35a121fb229e8f0b9c56fc6a14f3ec759,homology/persistence/pitch_v2/300s/classical/validation/classical_musicnet_1763__300s.npz,786768bda21ee60e117c40964e3f0ac66d3b28ec0441e63df9e3a896982baa85,homology/persistence_sensitivity/pitch_v2/300s/classical/validation/classical_musicnet_1763__300s.npz,ff8333cd84af5d169c74159815f09572a9abdd3851a48b35e4744e1c6b4efe1b,homology/descriptors/pitch_v2/300s/classical/validation/classical_musicnet_1763__300s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,613,487,389,146,0.37532133676092544,16,88,0.36666666666666664,0.5454545454545454,0.8987061503150894,1.7962031510862435,0.6478433446253132,0.022171410445344663,0.019651233668141945,7.1,0.0,15.666666666666666,0.0,16,0,16,0,7.199999999999999,0,14,0,success,2026-08-02,
classical_musicnet_1764__180s,classical_musicnet_1764,classical,validation,180.0,pitch_v2,features/pitch_v2/180s/classical/validation/classical_musicnet_1764__180s.npz,c4ba550b8ed5c3028077a3648248e6bda7bfabbb0c3462182a5c80e53dc29d52,graphs/pitch_v2/180s/classical/validation/classical_musicnet_1764__180s.npz,47b7b6a06b1e9e624ef3b8883b31580df68329ff6dc9748b08a6ba33ef7489c9,homology/persistence/pitch_v2/180s/classical/validation/classical_musicnet_1764__180s.npz,cf43b3f9bf79dc19e1dbd2774e94cdfdbcfd6b647e1b0aeee8129f7a00fc5e67,homology/persistence_sensitivity/pitch_v2/180s/classical/validation/classical_musicnet_1764__180s.npz,680a22b81962a610bc2ab040de6c7ed38b7442b39eea1f3630f5a7324eb07662,homology/descriptors/pitch_v2/180s/classical/validation/classical_musicnet_1764__180s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,407,323,253,83,0.32806324110671936,15,62,0.29523809523809524,0.6129032258064516,0.9063815865027268,1.6155835046909806,0.5965855079176221,0.027386773734943522,0.02352719744024092,5.6000000000000005,0.0,12.333333333333334,0.0,13,0,13,0,5.75,0,10,0,success,2026-08-02,
classical_musicnet_1764__300s,classical_musicnet_1764,classical,validation,300.0,pitch_v2,features/pitch_v2/300s/classical/validation/classical_musicnet_1764__300s.npz,e968c8438c259c84c582aba57ba44b3fbb4a94de56b65539f24b0164c50658d3,graphs/pitch_v2/300s/classical/validation/classical_musicnet_1764__300s.npz,0e8ab9d9a9aef206d4871791aa695ca59d791daee162073f282dd5f33ddd3000,homology/persistence/pitch_v2/300s/classical/validation/classical_musicnet_1764__300s.npz,4fb2321a06b1073be457f4ed1d5a95f5f3002ca63bb19decca8e6811e2395748,homology/persistence_sensitivity/pitch_v2/300s/classical/validation/classical_musicnet_1764__300s.npz,6ac8b7099f10e2c1a7f766166cfb7e2e2205e569bfb9dc377e53e224ccf7a39a,homology/descriptors/pitch_v2/300s/classical/validation/classical_musicnet_1764__300s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,623,506,411,160,0.38929440389294406,15,70,0.3333333333333333,0.6285714285714286,0.8605083293080429,1.6148702793394965,0.5963221356392228,0.037254101029475316,0.034905940300278916,6.099999999999999,0.0,13.166666666666666,0.0,15,0,15,0,6.549999999999999,0,6,0,success,2026-08-02,
classical_musicnet_1765__180s,classical_musicnet_1765,classical,validation,180.0,pitch_v2,features/pitch_v2/180s/classical/validation/classical_musicnet_1765__180s.npz,b3068c79393aa526be262fe0ce1f81041634ff83a62953c96882ef6ea8288a30,graphs/pitch_v2/180s/classical/validation/classical_musicnet_1765__180s.npz,4268c8743e854f5a14d7104c6dac7afa2eae3508ca846f0a9735d7ad0ece3a9d,homology/persistence/pitch_v2/180s/classical/validation/classical_musicnet_1765__180s.npz,364f788a71f57c10c1b3ca60845f4556315bbc05042187a7ec217e8e5d337231,homology/persistence_sensitivity/pitch_v2/180s/classical/validation/classical_musicnet_1765__180s.npz,59520b3ac00b51b9a1cf2c40b4216e5738b29bd619e25d43db787bce0309ff30,homology/descriptors/pitch_v2/180s/classical/validation/classical_musicnet_1765__180s.json,e43b9ed5b21d9e38b3c0bc1df0d8f7ee08721f6519ef663d4f23e27deb6bd6b8,349,274,216,60,0.2777777777777778,16,58,0.24166666666666667,0.5172413793103449,0.9023496834869509,1.6953284669128914,0.6114604929732794,0.02923525377229081,0.024720068906115417,5.549999999999999,0.0,12.5,0.0,14,0,14,0,5.699999999999999,0,11,0,success,2026-08-02,
