segment_id,track_id,group,split,scale_seconds,source_relative_path,output_relative_path,source_duration_seconds,start_seconds,requested_duration_seconds,actual_duration_seconds,sample_rate,channels,dtype,target_lufs,measured_lufs_before,measured_lufs_after,peak_before,peak_after,peak_limited,limiter_gain_db,limited_sample_fraction,used_full_track,padding_applied,sha256,status,processed_at,config_sha256,error
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,classical_music/classical_musicnet_1727.wav,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1727__180s.wav,447.0,133.5,180.0,180.0,22050,1,float32,-15.0,-31.80517263885069,-15.186047518441143,0.2895694971084595,0.8596542477607727,True,0.0,0.0011667926429831193,False,False,22f15111554832202311b7bb62a57d7fece722069ec4e63b530ceddc0562515c,verified_materialized,2026-07-18,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,classical_music/classical_musicnet_1727.wav,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1727__300s.wav,447.0,73.5,300.0,300.0,22050,1,float32,-15.0,-31.5006406197765,-15.150571968640193,0.2895694971084595,0.8596611022949219,True,0.0,0.0010866213151927437,False,False,18f8b97aac9fceb4e6dfd4163eacd452b41c1a8ae8182a43915aad7f0a75c2ec,verified_materialized,2026-07-18,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,classical_music/classical_musicnet_1728.wav,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1728__180s.wav,251.0,35.5,180.0,180.0,22050,1,float32,-15.0,-30.086989522964714,-15.005653365555844,0.4589991867542267,0.8770008683204651,True,0.5267981922268721,0.0024096749811035527,False,False,db9c30ad604ce16aaca3e4dc4e00fd940d431a548cd75176788d83cabd202bf5,verified_materialized,2026-07-18,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,classical_music/classical_musicnet_1728.wav,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1728__300s.wav,251.0,0.0,251.0,251.0,22050,1,float32,-15.0,-30.04174682468823,-15.005300958075386,0.4589991867542267,0.8765285611152649,True,0.505699889289918,0.0023223206945460787,True,False,82bfd44e0e348fbd2953b62d37b544939be63356c21582ad0892d320ac39d00c,verified_materialized,2026-07-18,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,classical_music/classical_musicnet_1729.wav,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1729__180s.wav,444.0,132.0,180.0,180.0,22050,1,float32,-15.0,-29.146736012484553,-15.067949004570586,0.2751302123069763,0.8596892356872559,True,0.0,0.0010587049634668683,False,False,d2bd318c578ee957974a2670c78423c0a62a3e957a84f0372517407eb45cba86,verified_materialized,2026-07-18,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,classical_music/classical_musicnet_1729.wav,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1729__300s.wav,444.0,72.0,300.0,300.0,22050,1,float32,-15.0,-30.00972517417848,-15.03541400748928,0.2751302123069763,0.8596892356872559,True,0.0,0.0011684051398337112,False,False,35820627bb2ec7e70f2caa2004ad6f5be95f83c63d74b9f4489be58612993d2c,verified_materialized,2026-07-18,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,classical_music/classical_musicnet_1730.wav,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1730__180s.wav,368.0,94.0,180.0,180.0,22050,1,float32,-15.0,-26.769346420122023,-15.002154481900657,0.4449343681335449,0.871178388595581,True,0.28410015980484715,0.0018450491307634165,False,False,671f20925cb59d9aa69e12681672204ebf27ffbbf6f47ca9f98d710e157f8245,verified_materialized,2026-07-18,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,classical_music/classical_musicnet_1730.wav,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1730__300s.wav,368.0,34.0,300.0,300.0,22050,1,float32,-15.0,-26.619593895106945,-15.002041870306774,0.4889291524887085,0.8715341091156006,True,0.2960782993429696,0.0017324263038548753,False,False,da5593b3c9d14268ed7524efa50fe5bc617d68b83f8062e1571d89d47ea8985b,verified_materialized,2026-07-18,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,classical_music/classical_musicnet_1739.wav,features/audio_symmetric_holdout_v2/180s/classical/validation/classical_musicnet_1739__180s.wav,490.0,155.0,180.0,180.0,22050,1,float32,-15.0,-25.92146607792933,-15.004877009403273,0.46688783168792725,0.8766971826553345,True,0.5000022622074027,0.0019299571680524061,False,False,6f8e18b6e67b32cafba6afe71d2149510844c24096e473c71d62b89d73820ee7,verified_materialized,2026-07-18,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,classical_music/classical_musicnet_1739.wav,features/audio_symmetric_holdout_v2/300s/classical/validation/classical_musicnet_1739__300s.wav,490.0,95.0,300.0,300.0,22050,1,float32,-15.0,-25.440993123903556,-15.008372999665378,0.46688783168792725,0.879369854927063,True,0.6298764279061189,0.0022122448979591835,False,False,b4f0faa4ca28cfed952c04b79088e2b7d2260423e3e7c8701e5a43b05b1f0b79,verified_materialized,2026-07-18,11ad09ff644382dbc2cfeccf6d6d7b3a55178d0f54719444e1de1fdf0fbd7b77,
