segment_id,track_id,group,split,scale_seconds,representation,method,sequence_points,synthetic_loop_score,shuffled_score,loop_score,path_h1_cycle_strength,path_h1_betti_max,path_h1_betti_auc,phase_edge_q25,phase_edge_mean,dominant_period_seconds,lag_peak_strength,h1_max_persistence,h1_best_persistence
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.35741672189879825,0.35741672189879825,1.0,0.325,0.36793220492356016,0.390333564125598,12.0,0.18716788482675106,0.0,0.0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.33923644681153964,0.33923644681153964,1.0,0.275,0.3562163178847018,0.39630435578977147,14.0,0.22788883779162283,0.0,0.0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.38932140593760445,0.38932140593760445,1.0,0.325,0.39297483064641686,0.40758205704008743,12.0,0.21264662893484987,0.0,0.0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.36556186474992974,0.36556186474992974,1.0,0.325,0.3752358453776672,0.4026480336797989,14.0,0.23367202546857957,0.0,0.0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.44550264537897744,0.44550264537897744,1.0,0.375,0.4511550869794478,0.47572396505604925,34.0,0.2586820060173558,0.0,0.0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.36671260728753985,0.36671260728753985,1.0,0.325,0.37669286935894586,0.4051908282221239,12.0,0.1827122177146887,0.0,0.0
classical_musicnet_1728__300s,classical_musicnet_1728,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,125,,,0.4198321180467779,0.4198321180467779,1.0,0.375,0.42332585924494,0.4486065706920086,36.0,0.14066933669548942,0.0,0.0
classical_musicnet_1728__300s,classical_musicnet_1728,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,125,,,0.32114582968027094,0.32114582968027094,1.0,0.275,0.3489995370911891,0.39993788834766536,36.0,0.1689935921739607,0.0,0.0
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.38159404228983906,0.38159404228983906,1.0,0.325,0.39167701756877166,0.41806129256025293,12.0,0.17458172782538983,0.0,0.0
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.3247034908050188,0.3247034908050188,1.0,0.275,0.3408610919840658,0.396977439910785,18.0,0.22746616717039259,0.0,0.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.4144895250694678,0.4144895250694678,1.0,0.375,0.41536947802564506,0.42365194045111315,12.0,0.1687554150472086,0.0,0.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.3176522403354476,0.3176522403354476,1.0,0.275,0.3428121934101073,0.40523613478331516,18.0,0.12549637840212235,0.0,0.0
classical_musicnet_1730__180s,classical_musicnet_1730,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.388220661656369,0.388220661656369,1.0,0.325,0.39843299896008166,0.41608189568090825,14.0,0.17825272171551831,0.0,0.0
classical_musicnet_1730__180s,classical_musicnet_1730,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.3501888064553873,0.3501888064553873,1.0,0.325,0.36542685950046916,0.3914885880084545,12.0,0.15655721487721608,0.0,0.0
classical_musicnet_1730__300s,classical_musicnet_1730,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.41593938915263234,0.41593938915263234,1.0,0.375,0.417833877911261,0.4256941079867935,12.0,0.1534597049033759,0.0,0.0
classical_musicnet_1730__300s,classical_musicnet_1730,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.38456464572029847,0.38456464572029847,1.0,0.325,0.3865293615241241,0.4031692407667482,12.0,0.12982236236715705,0.0,0.0
classical_musicnet_1739__180s,classical_musicnet_1739,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.3010281861951344,0.3010281861951344,1.0,0.275,0.3173888855606789,0.36567111641394184,48.0,0.15335590431915835,0.0,0.0
classical_musicnet_1739__180s,classical_musicnet_1739,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.3683640261925682,0.3683640261925682,1.0,0.325,0.3749773496688231,0.3947639029444121,46.0,0.08825621249438731,0.0,0.0
classical_musicnet_1739__300s,classical_musicnet_1739,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.37982910508943357,0.37982910508943357,1.0,0.325,0.3806011010494929,0.39094261957623716,12.0,0.05671897101579759,0.0,0.0
classical_musicnet_1739__300s,classical_musicnet_1739,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.3739537244535978,0.3739537244535978,1.0,0.325,0.3784678559275658,0.3963835885614977,64.0,0.10108144395927798,0.0,0.0
classical_musicnet_1742__180s,classical_musicnet_1742,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.4428797475775048,0.4428797475775048,1.0,0.375,0.44417973082454126,0.4557023408483188,14.0,0.1959844171627969,0.0,0.0
classical_musicnet_1742__180s,classical_musicnet_1742,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.3667563289050002,0.3667563289050002,1.0,0.325,0.3801902870858224,0.4307433481467456,26.0,0.14242518825836215,0.0,0.0
classical_musicnet_1742__300s,classical_musicnet_1742,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.4224838968523827,0.4224838968523827,1.0,0.375,0.4255785025468276,0.44939546910022404,28.0,0.2330923466615924,0.0,0.0
classical_musicnet_1742__300s,classical_musicnet_1742,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.42365800240968027,0.42365800240968027,1.0,0.375,0.42540886775661957,0.4564805974284469,28.0,0.11056985068943759,0.0,0.0
classical_musicnet_1763__180s,classical_musicnet_1763,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.3446970183731558,0.3446970183731558,1.0,0.275,0.3651630304586123,0.4064164983288132,12.0,0.20722895779227546,0.0,0.0
classical_musicnet_1763__180s,classical_musicnet_1763,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.3929753565556212,0.3929753565556212,1.0,0.325,0.40061804438375476,0.4164705393560026,12.0,0.18830171847526644,0.0,0.0
classical_musicnet_1763__300s,classical_musicnet_1763,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.3597975859538325,0.3597975859538325,1.0,0.325,0.366587036846079,0.39538093340148817,60.0,0.1373853088297705,0.0,0.0
classical_musicnet_1763__300s,classical_musicnet_1763,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.388464028832785,0.388464028832785,1.0,0.325,0.3915750862397042,0.4082019502971455,12.0,0.16542190421943048,0.0,0.0
classical_musicnet_1764__180s,classical_musicnet_1764,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.4657733096812256,0.4657733096812256,1.0,0.425,0.47178697907372247,0.5099639465678473,48.0,0.5508414077675892,0.0,0.0
classical_musicnet_1764__180s,classical_musicnet_1764,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.34174263302992247,0.34174263302992247,1.0,0.275,0.3627314341888871,0.4052079289710277,48.0,0.20342684106116637,0.0,0.0
classical_musicnet_1764__300s,classical_musicnet_1764,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.39412504415510907,0.39412504415510907,1.0,0.325,0.39444741658812893,0.41590390946814254,16.0,0.14865013786994363,0.0,0.0
classical_musicnet_1764__300s,classical_musicnet_1764,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.2814523462666937,0.2814523462666937,1.0,0.225,0.3002987390241398,0.3795187604972851,48.0,0.21882069354701938,0.0,0.0
classical_musicnet_1765__180s,classical_musicnet_1765,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.39990731616486985,0.39990731616486985,1.0,0.325,0.4019110285523189,0.41533605042303634,32.0,0.2078343366274924,0.0,0.0
classical_musicnet_1765__180s,classical_musicnet_1765,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.33971587176672013,0.33971587176672013,1.0,0.275,0.36111852752097945,0.4012073128179739,14.0,0.16207727963380636,0.0,0.0
classical_musicnet_1765__300s,classical_musicnet_1765,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.3656485575426806,0.3656485575426806,1.0,0.325,0.3732401544639119,0.3942987052639504,32.0,0.12027447712574646,0.0,0.0
classical_musicnet_1765__300s,classical_musicnet_1765,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.366347652439626,0.366347652439626,1.0,0.325,0.3732213378891657,0.3929027370365761,30.0,0.13901699969600712,0.0,0.0
classical_musicnet_1766__180s,classical_musicnet_1766,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.38786231499376606,0.38786231499376606,1.0,0.325,0.3884711237372219,0.3927186658579945,12.0,0.2558948005893331,0.0,0.0
classical_musicnet_1766__180s,classical_musicnet_1766,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.33361956731802633,0.33361956731802633,1.0,0.275,0.3394284348686731,0.3697531956611133,22.0,0.1706116660277437,0.0,0.0
classical_musicnet_1766__300s,classical_musicnet_1766,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.3861653713796859,0.3861653713796859,1.0,0.325,0.3865114644602056,0.3943235063202779,12.0,0.16804934693036966,0.0,0.0
classical_musicnet_1766__300s,classical_musicnet_1766,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.31140460781015955,0.31140460781015955,1.0,0.275,0.32922463820061165,0.3731557307217746,28.0,0.08560830768169558,0.0,0.0
classical_musicnet_1805__180s,classical_musicnet_1805,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.3509488477297957,0.3509488477297957,1.0,0.325,0.35656948560674856,0.37120832256865505,54.0,0.11357862976696453,0.0,0.0
classical_musicnet_1805__180s,classical_musicnet_1805,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.33322941517247506,0.33322941517247506,1.0,0.275,0.34808144428941074,0.39036020612991734,42.0,0.1382213491934723,0.0,0.0
classical_musicnet_1805__300s,classical_musicnet_1805,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.33910165222990296,0.33910165222990296,1.0,0.275,0.3452905527167356,0.3785642044430127,24.0,0.08990816187591921,0.0,0.0
classical_musicnet_1805__300s,classical_musicnet_1805,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.3746137897254314,0.3746137897254314,1.0,0.325,0.37593493588362914,0.39226698204441207,34.0,0.06884412914589522,0.0,0.0
classical_musicnet_1807__180s,classical_musicnet_1807,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.35207170010263855,0.35207170010263855,1.0,0.325,0.35303224986346127,0.3769165973328354,16.0,0.19419849495674302,0.0,0.0
classical_musicnet_1807__180s,classical_musicnet_1807,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.3169540307550621,0.3169540307550621,1.0,0.275,0.33318403805801333,0.36650842756079477,16.0,0.0921173007594307,0.0,0.0
classical_musicnet_1807__300s,classical_musicnet_1807,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.27326844358059366,0.27326844358059366,1.0,0.225,0.27573281731779176,0.33957557790543996,64.0,0.09369989361505682,0.0,0.0
classical_musicnet_1807__300s,classical_musicnet_1807,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.3264484911266789,0.3264484911266789,1.0,0.275,0.3295849781522976,0.3465134620001389,34.0,0.08032310820835376,0.0,0.0
classical_musicnet_1811__180s,classical_musicnet_1811,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.3802965680979336,0.3802965680979336,1.0,0.325,0.38342992678735605,0.3940583982124504,22.0,0.12124239900123035,0.0,0.0
classical_musicnet_1811__180s,classical_musicnet_1811,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.3782691761697228,0.3782691761697228,1.0,0.325,0.38389434970291225,0.40065570555251234,12.0,0.08685123615050605,0.0,0.0
classical_musicnet_1811__300s,classical_musicnet_1811,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.3794427594539212,0.3794427594539212,1.0,0.325,0.38112539943389767,0.3885825692609482,40.0,0.06329545050702201,0.0,0.0
classical_musicnet_1811__300s,classical_musicnet_1811,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.34415551191511173,0.34415551191511173,1.0,0.275,0.35633279850311184,0.38282660522146356,14.0,0.12088143201513235,0.0,0.0
classical_musicnet_1812__180s,classical_musicnet_1812,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.35279155422582076,0.35279155422582076,1.0,0.325,0.356263547939636,0.3750654028089853,24.0,0.08706233344236436,0.0,0.0
classical_musicnet_1812__180s,classical_musicnet_1812,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.3750828772754617,0.3750828772754617,1.0,0.325,0.3807159745877192,0.39323536489106486,38.0,0.07862440550934435,0.0,0.0
classical_musicnet_1812__300s,classical_musicnet_1812,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.3850501185654103,0.3850501185654103,1.0,0.325,0.38686686759839006,0.40007072152271617,22.0,0.11266208625012575,0.0,0.0
classical_musicnet_1812__300s,classical_musicnet_1812,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.3644495126032327,0.3644495126032327,1.0,0.325,0.3709503890911383,0.38621343246943557,22.0,0.08388521342640365,0.0,0.0
classical_musicnet_1813__180s,classical_musicnet_1813,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.41003623741393896,0.41003623741393896,1.0,0.375,0.4138099580270624,0.4466082208422111,18.0,0.21353570914311626,0.0,0.0
classical_musicnet_1813__180s,classical_musicnet_1813,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.3979143858241041,0.3979143858241041,1.0,0.325,0.4057230631395408,0.42432962406479574,14.0,0.1339026547593809,0.0,0.0
classical_musicnet_1813__300s,classical_musicnet_1813,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.39958359812738126,0.39958359812738126,1.0,0.325,0.4092606947408981,0.44472695944214363,18.0,0.230563311231622,0.0,0.0
classical_musicnet_1813__300s,classical_musicnet_1813,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.38881351387064444,0.38881351387064444,1.0,0.325,0.3986721457081695,0.4184881200331146,14.0,0.11413294403149887,0.0,0.0
classical_musicnet_1817__180s,classical_musicnet_1817,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.3721109908018326,0.3721109908018326,1.0,0.325,0.3821357335309456,0.41545882856078303,46.0,0.25279437087740064,0.0,0.0
classical_musicnet_1817__180s,classical_musicnet_1817,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.33404869901758244,0.33404869901758244,1.0,0.275,0.35550969204579475,0.39595011577897443,46.0,0.1509583303600004,0.0,0.0
classical_musicnet_1817__300s,classical_musicnet_1817,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,124,,,0.3735516253221049,0.3735516253221049,1.0,0.325,0.37458151161354214,0.38247336033704094,46.0,0.09912910563730648,0.0,0.0
classical_musicnet_1817__300s,classical_musicnet_1817,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,124,,,0.34278404357068165,0.34278404357068165,1.0,0.275,0.3495568842553445,0.3716384936097987,28.0,0.13395168614288822,0.0,0.0
classical_musicnet_1818__180s,classical_musicnet_1818,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.34746600463140365,0.34746600463140365,1.0,0.275,0.34963095084209445,0.3621319449542581,20.0,0.08676382972639152,0.0,0.0
classical_musicnet_1818__180s,classical_musicnet_1818,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.30750853200678846,0.30750853200678846,1.0,0.275,0.3178732956905468,0.34890008152756824,18.0,0.10046603481472327,0.0,0.0
classical_musicnet_1818__300s,classical_musicnet_1818,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.3426778556947298,0.3426778556947298,1.0,0.275,0.3522890025860672,0.37046197950047005,12.0,0.05731177306778856,0.0,0.0
classical_musicnet_1818__300s,classical_musicnet_1818,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.3389194776500466,0.3389194776500466,1.0,0.275,0.3410341344740977,0.3650193413756602,52.0,0.04304862361829431,0.0,0.0
classical_musicnet_1819__180s,classical_musicnet_1819,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,88,,,0.3716031402303927,0.3716031402303927,1.0,0.325,0.38775491179279975,0.42218142465986536,26.0,0.1219236291958492,0.0,0.0
classical_musicnet_1819__180s,classical_musicnet_1819,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,88,,,0.38082957551180624,0.38082957551180624,1.0,0.325,0.3848040583073652,0.4075764203389411,26.0,0.23489161536866587,0.0,0.0
classical_musicnet_1819__300s,classical_musicnet_1819,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,88,,,0.3716031402303927,0.3716031402303927,1.0,0.325,0.38775491179279975,0.42218142465986536,26.0,0.1219236291958492,0.0,0.0
classical_musicnet_1819__300s,classical_musicnet_1819,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,88,,,0.38082957551180624,0.38082957551180624,1.0,0.325,0.3848040583073652,0.4075764203389411,26.0,0.23489161536866587,0.0,0.0
classical_musicnet_1828__180s,classical_musicnet_1828,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.3475972238906426,0.3475972238906426,1.0,0.275,0.3549022260567331,0.37158820092351036,58.0,0.117113942406887,0.0,0.0
classical_musicnet_1828__180s,classical_musicnet_1828,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.3732225945071246,0.3732225945071246,1.0,0.325,0.3748981823808164,0.3809017853455256,56.0,0.14844080681358052,0.0,0.0
classical_musicnet_1828__300s,classical_musicnet_1828,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,132,,,0.3662567915850647,0.3662567915850647,1.0,0.325,0.37086783502055065,0.38410899541879434,36.0,0.16245222442591145,0.0,0.0
classical_musicnet_1828__300s,classical_musicnet_1828,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,132,,,0.3653464924915567,0.3653464924915567,1.0,0.325,0.3669624442326478,0.38075912622512115,50.0,0.09083272071603865,0.0,0.0
classical_musicnet_1829__180s,classical_musicnet_1829,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.28816085845217226,0.28816085845217226,1.0,0.225,0.31321017106107923,0.35658252172109944,54.0,0.10538597376894288,0.0,0.0
classical_musicnet_1829__180s,classical_musicnet_1829,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.30898681188209154,0.30898681188209154,1.0,0.275,0.31452295191340507,0.36239069861710793,14.0,0.08142381199703763,0.0,0.0
classical_musicnet_1829__300s,classical_musicnet_1829,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.3653450791866139,0.3653450791866139,1.0,0.325,0.3686439229575182,0.3852539826948411,30.0,0.09770430564336641,0.0,0.0
classical_musicnet_1829__300s,classical_musicnet_1829,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.3386919138119475,0.3386919138119475,1.0,0.275,0.3451008112708153,0.37581193935339646,32.0,0.07546753343873402,0.0,0.0
classical_musicnet_1835__180s,classical_musicnet_1835,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.36752885215519066,0.36752885215519066,1.0,0.325,0.3850807840179427,0.43292829938573846,34.0,0.3221185825313009,0.0,0.0
classical_musicnet_1835__180s,classical_musicnet_1835,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.38208661922171105,0.38208661922171105,1.0,0.325,0.3899924172746623,0.40826112066564063,28.0,0.1957689887156997,0.0,0.0
classical_musicnet_1835__300s,classical_musicnet_1835,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,117,,,0.32819742006936325,0.32819742006936325,1.0,0.275,0.3588384833097653,0.41246078702801103,34.0,0.1839587638752742,0.0,0.0
classical_musicnet_1835__300s,classical_musicnet_1835,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,117,,,0.3514805957203717,0.3514805957203717,1.0,0.325,0.3607817171972254,0.38887138373070534,28.0,0.11559682804516203,0.0,0.0
classical_musicnet_1859__180s,classical_musicnet_1859,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.3697189845999491,0.3697189845999491,1.0,0.325,0.3842007505503412,0.4297418420692854,34.0,0.13833577641277017,0.0,0.0
classical_musicnet_1859__180s,classical_musicnet_1859,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.3813698688081371,0.3813698688081371,1.0,0.325,0.38633941546817413,0.4120864315961146,34.0,0.1718354843741694,0.0,0.0
classical_musicnet_1859__300s,classical_musicnet_1859,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.4086873946875832,0.4086873946875832,1.0,0.375,0.41675634305951786,0.4459487187545492,62.0,0.14585654368996526,0.0,0.0
classical_musicnet_1859__300s,classical_musicnet_1859,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.36574118708689013,0.36574118708689013,1.0,0.325,0.3685445601742313,0.39154865699585567,60.0,0.09378810073861832,0.0,0.0
classical_musicnet_1872__180s,classical_musicnet_1872,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.3881640260535265,0.3881640260535265,1.0,0.325,0.40215737984524147,0.4309027645426439,18.0,0.15907620230848463,0.0,0.0
classical_musicnet_1872__180s,classical_musicnet_1872,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.36277907887579613,0.36277907887579613,1.0,0.325,0.3665219491846981,0.38431378724482007,12.0,0.17043630910222984,0.0,0.0
classical_musicnet_1872__300s,classical_musicnet_1872,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.3570706491444023,0.3570706491444023,1.0,0.325,0.3626310407729836,0.3833512057459894,12.0,0.10114709773687558,0.0,0.0
classical_musicnet_1872__300s,classical_musicnet_1872,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.3357023683545847,0.3357023683545847,1.0,0.275,0.3485135355888021,0.386155397466366,46.0,0.0711052467025508,0.0,0.0
classical_musicnet_1873__180s,classical_musicnet_1873,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.36167383256045593,0.36167383256045593,1.0,0.325,0.369352701181503,0.39173476533276075,12.0,0.20101751766923592,0.0,0.0
classical_musicnet_1873__180s,classical_musicnet_1873,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.38084904749089005,0.38084904749089005,1.0,0.325,0.3823409154175622,0.39258641494226537,38.0,0.09647592604176891,0.0,0.0
classical_musicnet_1873__300s,classical_musicnet_1873,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.3962219278234905,0.3962219278234905,1.0,0.325,0.39632131168044205,0.39947618078245406,12.0,0.24426444641506784,0.0,0.0
