modality,feature,effect_180,p_180,focus_median_180,pop_median_180,effect_300,p_300,focus_median_300,pop_median_300,scale_spearman
acoustic,widest_cycle_baseline,-0.06597222222222221,0.6569652740377067,0.2857142857142857,0.2792207792207792,-0.4340277777777778,0.995427427628325,0.25,0.29583333333333334,0.44770174855536443
acoustic,phase_recurrence_mean,0.2881944444444444,0.04446010328882552,0.48751864462539596,0.45381754147112413,0.26041666666666674,0.06224906807046411,0.5082727037103114,0.47392088270983496,0.8087336806225482
acoustic,transition_concentration,-0.26041666666666663,0.9402491174160481,0.2598847231200172,0.2764705882352941,-0.5173611111111112,0.9989744156201482,0.24120138114703332,0.2748366013071895,0.5269065355415374
acoustic,phase_recurrence_q25,0.35763888888888884,0.01727838283979207,0.3639686431330872,0.337768369229956,0.2743055555555556,0.052762079024779404,0.37845500054087133,0.3461543729316068,0.7102064441443181
acoustic,graph_vertices,0.21527777777777768,0.052112686415563825,18.0,18.0,0.11111111111111116,0.19586853335579962,18.0,18.0,0.5957829062899513
acoustic,graph_edges,0.32638888888888884,0.026726551951084046,43.0,39.0,0.5295138888888888,0.0008087770145112205,47.5,41.5,0.6972300245616706
acoustic,h1_interval_count,-0.06423611111111116,0.6559745939933828,5.0,5.5,-0.04166666666666663,0.6042970004476061,4.0,4.5,0.36858872021243033
acoustic,h1_betti_max,-0.09895833333333337,0.7302794849683214,4.0,4.5,-0.05381944444444442,0.6327158789976141,3.5,4.0,0.44090051260354896
acoustic,h1_total_persistence,-0.14930555555555558,0.8151285037369159,0.57626154,0.5879883450000001,-0.2743055555555556,0.9494206854589129,0.46688644,0.525682005,0.47263445614599237
rhythm,widest_cycle_baseline,-0.06423611111111116,0.6529440951919073,0.2792207792207792,0.3333333333333333,0.08159722222222232,0.3166562021977952,0.2916666666666667,0.3137254901960784,0.5479595793348848
rhythm,phase_recurrence_mean,0.2777777777777777,0.05057931454108705,0.4791288912013759,0.4492228823000076,0.13194444444444442,0.219691075858781,0.48499803901087607,0.45068229978595753,0.7872210431539006
rhythm,transition_concentration,-0.35763888888888884,0.9835864643165262,0.2701853701853702,0.2918047026502909,0.02777777777777768,0.43854965239107524,0.28497309249786873,0.28099206349206346,0.5150755013576124
rhythm,phase_recurrence_q25,0.4097222222222223,0.007700507345272652,0.34895903763824654,0.31653683218282413,0.15625,0.17942082738016757,0.3532267988891591,0.34523951519325907,0.5887516882114606
rhythm,graph_vertices,0.12326388888888884,0.2146176868337304,18.0,17.5,-0.2152777777777778,0.9190736509393509,17.0,18.0,0.5690765697830099
rhythm,graph_edges,0.28645833333333326,0.045160224202741815,41.5,35.5,-0.01215277777777779,0.5329106303867535,40.0,42.0,0.5588237705121691
rhythm,h1_interval_count,-0.09201388888888884,0.7146898808034092,4.0,4.0,-0.15625,0.830294463172627,4.0,5.0,0.4444212558788051
rhythm,h1_betti_max,-0.11631944444444442,0.7619133048199815,3.0,4.0,-0.08333333333333337,0.6975466217961943,3.0,3.5,0.3888671119696709
rhythm,h1_total_persistence,-0.25173611111111116,0.9338733670019922,0.48967344999999995,0.6152762,0.02777777777777768,0.4385479979053098,0.485656335,0.5262464,0.46503625815989985
