segment_id,track_id,group,split,scale_seconds,view,threshold,vertex_count,edge_count,h0_betti,h0_allowed_path_count,h0_omega_dimension,h0_cycle_dimension,h0_boundary_rank,h1_betti,h1_allowed_path_count,h1_omega_dimension,h1_cycle_dimension,h1_boundary_rank
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,rhythm,0.95,8,0,8,8,8,8,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,rhythm,0.9,8,0,8,8,8,8,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,rhythm,0.8,8,0,8,8,8,8,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,rhythm,0.7,8,1,7,8,8,8,1,0,1,1,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,rhythm,0.6,8,2,6,8,8,8,2,0,2,2,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,rhythm,0.5,8,5,3,8,8,8,5,0,5,5,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,rhythm,0.4,8,7,2,8,8,8,6,0,7,7,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,rhythm,0.3,8,9,1,8,8,8,7,0,9,9,2,2
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,rhythm,0.2,8,17,1,8,8,8,7,0,17,17,10,10
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,rhythm,0.15,8,18,1,8,8,8,7,0,18,18,11,11
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,rhythm,0.1,8,25,1,8,8,8,7,0,25,25,18,18
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,rhythm,0.075,8,27,1,8,8,8,7,0,27,27,20,20
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,rhythm,0.05,8,28,1,8,8,8,7,0,28,28,21,21
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,rhythm,0.95,8,0,8,8,8,8,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,rhythm,0.9,8,0,8,8,8,8,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,rhythm,0.8,8,0,8,8,8,8,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,rhythm,0.7,8,0,8,8,8,8,0,0,0,0,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,rhythm,0.6,8,1,7,8,8,8,1,0,1,1,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,rhythm,0.5,8,3,5,8,8,8,3,0,3,3,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,rhythm,0.4,8,7,2,8,8,8,6,0,7,7,1,1
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,rhythm,0.3,8,13,1,8,8,8,7,0,13,13,6,6
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,rhythm,0.2,8,15,1,8,8,8,7,0,15,15,8,8
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,rhythm,0.15,8,18,1,8,8,8,7,0,18,18,11,11
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,rhythm,0.1,8,24,1,8,8,8,7,0,24,24,17,17
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,rhythm,0.075,8,28,1,8,8,8,7,0,28,28,21,21
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,rhythm,0.05,8,32,1,8,8,8,7,0,32,32,25,25
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,rhythm,0.95,9,2,7,9,9,9,2,0,2,2,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,rhythm,0.9,9,2,7,9,9,9,2,0,2,2,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,rhythm,0.8,9,2,7,9,9,9,2,0,2,2,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,rhythm,0.7,9,2,7,9,9,9,2,0,2,2,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,rhythm,0.6,9,2,7,9,9,9,2,0,2,2,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,rhythm,0.5,9,2,7,9,9,9,2,0,2,2,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,rhythm,0.4,9,6,3,9,9,9,6,0,6,6,0,0
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,rhythm,0.3,9,11,1,9,9,9,8,0,11,11,3,3
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,rhythm,0.2,9,18,1,9,9,9,8,0,18,18,10,10
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,rhythm,0.15,9,23,1,9,9,9,8,0,23,23,15,15
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,rhythm,0.1,9,26,1,9,9,9,8,0,26,26,18,18
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,rhythm,0.075,9,28,1,9,9,9,8,0,28,28,20,20
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,rhythm,0.05,9,33,1,9,9,9,8,0,33,33,25,25
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,rhythm,0.95,9,1,8,9,9,9,1,0,1,1,0,0
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,rhythm,0.9,9,1,8,9,9,9,1,0,1,1,0,0
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,rhythm,0.8,9,1,8,9,9,9,1,0,1,1,0,0
