segment_id,track_id,group,split,scale_seconds,view,feature_relative_path,feature_sha256,graph_relative_path,graph_sha256,persistence_relative_path,persistence_sha256,sensitivity_persistence_relative_path,sensitivity_persistence_sha256,sidecar_relative_path,config_sha256,sequence_length,valid_states,valid_transitions,self_transitions,self_transition_ratio,vertex_count,edge_count,edge_density,reciprocity,transition_entropy,path_entropy,path_entropy_normalized,directed_recurrence,directed_recurrence_unbiased,h0_betti_auc,h1_betti_auc,h0_betti_mean,h1_betti_mean,h0_betti_max,h1_betti_max,h0_interval_count,h1_interval_count,h0_observed_persistence,h1_observed_persistence,h0_censored_count,h1_censored_count,status,processed_at,error
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,rhythm,features/rhythm/180s/classical/validation/classical_musicnet_1727__180s.npz,1794c54542e26bdcfd736a6bb354d175efe7274c75fbc4bec7766891750696b4,graphs/rhythm/180s/classical/validation/classical_musicnet_1727__180s.npz,bee119bdee91fbb801936382eb80fb58b1b29a040ef28411a7dfd3c9f6227d79,homology/persistence/rhythm/180s/classical/validation/classical_musicnet_1727__180s.npz,b86bd2e94eb1b63a7a7a309ef4bccb1f93c098bd9df83a1b543c19b2b590dd18,homology/persistence_sensitivity/rhythm/180s/classical/validation/classical_musicnet_1727__180s.npz,b8d9b5510a2a8cdeaec6742c90b39700764004e6e55caeb2289b1b1ee2b7f0fb,homology/descriptors/rhythm/180s/classical/validation/classical_musicnet_1727__180s.json,530d4fb38cb3842c2bef5c3f64cc6e272f5133fd2a57be9a05f25b15d840719a,359,359,358,183,0.5111731843575419,8,34,0.6071428571428571,0.8823529411764706,0.7210342929023453,1.2244111585889623,0.5888173021684687,0.11402577947005399,0.11154405896436786,3.05,0.0,6.666666666666667,0.0,8,0,8,0,3.3,0,3,0,success,2026-08-02,
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,rhythm,features/rhythm/300s/classical/validation/classical_musicnet_1727__300s.npz,ebb7d73ecaac2d8bc7c8c7c9959e8e310f60960055cc19c4b0ba7614ef641427,graphs/rhythm/300s/classical/validation/classical_musicnet_1727__300s.npz,913e30b5f1627c8c50203544c27118dea0daf64e5e7b02528bbe7f2018f5b98a,homology/persistence/rhythm/300s/classical/validation/classical_musicnet_1727__300s.npz,5a3c35078acaada1960c8f687e04584c4f734e07d93ef14d3e8ec974868b0922,homology/persistence_sensitivity/rhythm/300s/classical/validation/classical_musicnet_1727__300s.npz,d94fdae54f5af5ce2606ba7b70aefc0f8def0ce636ab3f8441e5a8f79bbab695,homology/descriptors/rhythm/300s/classical/validation/classical_musicnet_1727__300s.json,530d4fb38cb3842c2bef5c3f64cc6e272f5133fd2a57be9a05f25b15d840719a,599,599,598,307,0.5133779264214047,8,37,0.6607142857142857,0.7567567567567568,0.7049206571724747,1.2425906789536858,0.5975598034604442,0.11204013377926421,0.11055276381909548,3.3499999999999996,0.0,7.333333333333333,0.0,8,0,8,0,3.5,0,5,0,success,2026-08-02,
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,rhythm,features/rhythm/180s/classical/validation/classical_musicnet_1728__180s.npz,d9bc2339a1406a37a0f8ab7ea4aa8153c8da334db946760f8528478628d82b8d,graphs/rhythm/180s/classical/validation/classical_musicnet_1728__180s.npz,0de1cedd71352a38c856b942e8f8b1c14ccaecdbdd054217306a3e3703d52b1b,homology/persistence/rhythm/180s/classical/validation/classical_musicnet_1728__180s.npz,a609f60eb6f493f2d8f61ca33cec5f83e108ff12b4b59837e05564e2d6aa3658,homology/persistence_sensitivity/rhythm/180s/classical/validation/classical_musicnet_1728__180s.npz,3b33dacd9201fa3407d9dd7a45a4684bf8a5cda755f32b1a3a721da3760dcf96,homology/descriptors/rhythm/180s/classical/validation/classical_musicnet_1728__180s.json,530d4fb38cb3842c2bef5c3f64cc6e272f5133fd2a57be9a05f25b15d840719a,359,359,358,150,0.41899441340782123,9,38,0.5277777777777778,0.8947368421052632,0.8418545737669335,1.4556273017886723,0.6624845347185155,0.05859679785275116,0.05595981409323506,3.15,0.0,7.0,0.0,7,0,7,0,3.1499999999999995,0,7,0,success,2026-08-02,
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,rhythm,features/rhythm/300s/classical/validation/classical_musicnet_1728__300s.npz,bbdd3709fef24fa0066b3317ce94ad9c0b581c6af4d0047a85ee0c21b84ab2e1,graphs/rhythm/300s/classical/validation/classical_musicnet_1728__300s.npz,5062c2b1c41fee0cfc5f6ec934fd680f38caee88e7de7cebdd42638c582629aa,homology/persistence/rhythm/300s/classical/validation/classical_musicnet_1728__300s.npz,d28964c26ac5bf23f236790983aa05d49875f22d17bd8053f144bd2f416491cf,homology/persistence_sensitivity/rhythm/300s/classical/validation/classical_musicnet_1728__300s.npz,7130283a583d24b3bf0ac7255f8557cbed207f51c55dd88d2760eaf8cc962ae6,homology/descriptors/rhythm/300s/classical/validation/classical_musicnet_1728__300s.json,530d4fb38cb3842c2bef5c3f64cc6e272f5133fd2a57be9a05f25b15d840719a,501,501,500,217,0.434,9,40,0.5555555555555556,0.85,0.821501604468653,1.4355667631411857,0.6533545901264125,0.061712,0.05983166332665331,3.4499999999999997,0.0,7.5,0.0,8,0,8,0,3.5999999999999996,0,5,0,success,2026-08-02,
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,rhythm,features/rhythm/180s/classical/validation/classical_musicnet_1729__180s.npz,f3e55f33420a785e784780e5dd501ffcf85b60a284aee055a3e6b81b46d16f32,graphs/rhythm/180s/classical/validation/classical_musicnet_1729__180s.npz,f298595efe1cff679ace21ad823027b01fab7772ecbe57ce1a3c9f54fd61d6a7,homology/persistence/rhythm/180s/classical/validation/classical_musicnet_1729__180s.npz,4cd520445bee9a91f5ffabd9d0eedd3b198ef9c88f5e00cf37853df5489f6806,homology/persistence_sensitivity/rhythm/180s/classical/validation/classical_musicnet_1729__180s.npz,0ba6712d5a90f4fbcccbb42698dcbdd333eed9110640ce0afab25f6ea505d3e2,homology/descriptors/rhythm/180s/classical/validation/classical_musicnet_1729__180s.json,530d4fb38cb3842c2bef5c3f64cc6e272f5133fd2a57be9a05f25b15d840719a,359,359,358,249,0.6955307262569832,8,25,0.44642857142857145,0.72,0.5142475824490758,0.776238750945981,0.3732919321785367,0.3747698261602322,0.3730184811354709,2.0999999999999996,0.0,4.666666666666667,0.0,5,0,5,0,2.15,0,4,0,success,2026-08-02,
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,rhythm,features/rhythm/300s/classical/validation/classical_musicnet_1729__300s.npz,7d3ddf6e7470400abd4f1416bad64758c7a44da1a334762091f251a8bd50699b,graphs/rhythm/300s/classical/validation/classical_musicnet_1729__300s.npz,d66218a65a8a4398d6fdc1abee19645c0fc9ebe957254c48c35dfc81138e7cce,homology/persistence/rhythm/300s/classical/validation/classical_musicnet_1729__300s.npz,594e677311711987b8723b665fdedb3136baf1fe453c28f4bc8434ad48dfeafb,homology/persistence_sensitivity/rhythm/300s/classical/validation/classical_musicnet_1729__300s.npz,23bfdf9622885b393859dce7ca9c2457ac7ff28241671a746fa305df305f0a79,homology/descriptors/rhythm/300s/classical/validation/classical_musicnet_1729__300s.json,530d4fb38cb3842c2bef5c3f64cc6e272f5133fd2a57be9a05f25b15d840719a,599,599,598,399,0.6672240802675585,8,27,0.48214285714285715,0.7407407407407407,0.5726474876328213,0.8664631996399038,0.41668072041109105,0.3003825460565318,0.2992106575239632,2.0999999999999996,0.0,4.666666666666667,0.0,6,0,6,0,2.3,0,2,0,success,2026-08-02,
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,rhythm,features/rhythm/180s/classical/validation/classical_musicnet_1730__180s.npz,50ede003ff15b39a539ae874f839adf498cebbc2479a92ef99a8a0dab2e1a85d,graphs/rhythm/180s/classical/validation/classical_musicnet_1730__180s.npz,6628e779a772b88db33cfe0d6b86dbaaa66d2cb51e4144c6ed541081d7f96e52,homology/persistence/rhythm/180s/classical/validation/classical_musicnet_1730__180s.npz,c99b95b2354eab6213a36246b90a549a8019c0f94b3f5c520c44f083635fb05f,homology/persistence_sensitivity/rhythm/180s/classical/validation/classical_musicnet_1730__180s.npz,0006c4fbe2533877d01c7d3b8105d1c0d1dc73c37b5141185547bfc47cee71d7,homology/descriptors/rhythm/180s/classical/validation/classical_musicnet_1730__180s.json,530d4fb38cb3842c2bef5c3f64cc6e272f5133fd2a57be9a05f25b15d840719a,359,359,358,141,0.39385474860335196,9,48,0.6666666666666666,0.6666666666666666,0.8436568568324226,1.543684127153517,0.7025609230281709,0.049982834493305456,0.04732172198488334,3.6999999999999997,0.0,8.166666666666666,0.0,9,0,9,0,3.8499999999999996,0,6,0,success,2026-08-02,
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,rhythm,features/rhythm/300s/classical/validation/classical_musicnet_1730__300s.npz,55c9eead3123ba3f8fefaf2bf2e836fef42c16b07b6336329d7e1ab4f11bba75,graphs/rhythm/300s/classical/validation/classical_musicnet_1730__300s.npz,7a6c5b40441e1e83bf6cfec913fafa0edf4ff4fff0714e8bd84a132a4525d7da,homology/persistence/rhythm/300s/classical/validation/classical_musicnet_1730__300s.npz,f223efd8b1b102cb14027a6f67a1932320a760dfcf8bd80d4fc919f42f7e8269,homology/persistence_sensitivity/rhythm/300s/classical/validation/classical_musicnet_1730__300s.npz,5c9b2a1d628223400ef62c927720e6a22c673a492a69c5f7f5a390acec48c562,homology/descriptors/rhythm/300s/classical/validation/classical_musicnet_1730__300s.json,530d4fb38cb3842c2bef5c3f64cc6e272f5133fd2a57be9a05f25b15d840719a,599,599,598,239,0.3996655518394649,9,49,0.6805555555555556,0.7755102040816326,0.8370472163760377,1.5822976718623862,0.7201347045647318,0.04959116788402814,0.04799919329086906,3.9999999999999996,0.0,8.833333333333334,0.0,9,0,9,0,4.05,0,8,0,success,2026-08-02,
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,rhythm,features/rhythm/180s/classical/validation/classical_musicnet_1739__180s.npz,045b6c1ba8d2db629236ac2f8611f33dba377cdbaf713f0ad93dacbaaee62d03,graphs/rhythm/180s/classical/validation/classical_musicnet_1739__180s.npz,35b32b0541ff4c3f78cce9b5dfaac14c7c217cd3de34f9a913e8fede5964763a,homology/persistence/rhythm/180s/classical/validation/classical_musicnet_1739__180s.npz,fb972fb20ddd58490ba1aa30b4ae6f2b8d81f8c08fd19861a912d546ffff00fb,homology/persistence_sensitivity/rhythm/180s/classical/validation/classical_musicnet_1739__180s.npz,4371b9a8b6e058a400461331b2714b0f83527a3b78511d11ebf28248543015d8,homology/descriptors/rhythm/180s/classical/validation/classical_musicnet_1739__180s.json,530d4fb38cb3842c2bef5c3f64cc6e272f5133fd2a57be9a05f25b15d840719a,359,359,358,195,0.5446927374301676,7,29,0.6904761904761905,0.8275862068965517,0.7915585868693162,1.221235831861905,0.6275910696363766,0.09876408351799257,0.09623961316370123,2.5999999999999996,0.0,5.666666666666667,0.0,6,0,6,0,2.6999999999999997,0,4,0,success,2026-08-02,
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,rhythm,features/rhythm/300s/classical/validation/classical_musicnet_1739__300s.npz,3c2580527a0cda903e0543c28aa5093dbf5f4f66989b5b898bd9a6465255b43a,graphs/rhythm/300s/classical/validation/classical_musicnet_1739__300s.npz,8716668f97e183945b62312c17882e478132a9d5126e892d4d5ba09837ff3e6f,homology/persistence/rhythm/300s/classical/validation/classical_musicnet_1739__300s.npz,858480d402ea92864dae79c22f8230317849077fe63a70b91f8595606f9f5261,homology/persistence_sensitivity/rhythm/300s/classical/validation/classical_musicnet_1739__300s.npz,569f5e8e3a9e9c48d38b5717dc4fd21813a870b3c52df85fe5248d580ab75954,homology/descriptors/rhythm/300s/classical/validation/classical_musicnet_1739__300s.json,530d4fb38cb3842c2bef5c3f64cc6e272f5133fd2a57be9a05f25b15d840719a,599,599,598,304,0.5083612040133779,9,47,0.6527777777777778,0.8085106382978723,0.7954958844880218,1.3790424167132396,0.627629251437332,0.07731457142537555,0.07576903469409478,3.9499999999999997,0.0,8.666666666666666,0.0,9,0,9,0,4.049999999999999,0,7,0,success,2026-08-02,
