track_id,group,split
classical_musicnet_1727,classical,validation
classical_musicnet_1728,classical,validation
classical_musicnet_1729,classical,validation
classical_musicnet_1730,classical,validation
classical_musicnet_1739,classical,validation
classical_musicnet_1742,classical,validation
classical_musicnet_1763,classical,validation
classical_musicnet_1764,classical,validation
classical_musicnet_1765,classical,validation
classical_musicnet_1766,classical,validation
classical_musicnet_1805,classical,validation
classical_musicnet_1807,classical,validation
classical_musicnet_1811,classical,validation
classical_musicnet_1812,classical,validation
classical_musicnet_1813,classical,validation
classical_musicnet_1817,classical,validation
classical_musicnet_1818,classical,validation
classical_musicnet_1819,classical,validation
classical_musicnet_1828,classical,validation
classical_musicnet_1829,classical,validation
classical_musicnet_1835,classical,validation
classical_musicnet_1859,classical,validation
classical_musicnet_1872,classical,validation
classical_musicnet_1873,classical,validation
classical_musicnet_1876,classical,validation
classical_musicnet_1893,classical,validation
classical_musicnet_2075,classical,discovery
classical_musicnet_2076,classical,discovery
classical_musicnet_2077,classical,discovery
classical_musicnet_2078,classical,discovery
classical_musicnet_2079,classical,discovery
classical_musicnet_2080,classical,discovery
classical_musicnet_2081,classical,discovery
classical_musicnet_2082,classical,discovery
classical_musicnet_2083,classical,discovery
classical_musicnet_2112,classical,holdout
classical_musicnet_2113,classical,holdout
classical_musicnet_2114,classical,holdout
classical_musicnet_2116,classical,holdout
classical_musicnet_2117,classical,holdout
classical_musicnet_2118,classical,holdout
classical_musicnet_2119,classical,holdout
classical_musicnet_2127,classical,holdout
classical_musicnet_2131,classical,holdout
classical_musicnet_2138,classical,holdout
classical_musicnet_2140,classical,holdout
classical_musicnet_2147,classical,holdout
classical_musicnet_2148,classical,holdout
classical_musicnet_2149,classical,holdout
classical_musicnet_2150,classical,holdout
classical_musicnet_2151,classical,holdout
classical_musicnet_2154,classical,holdout
classical_musicnet_2155,classical,holdout
classical_musicnet_2156,classical,holdout
classical_musicnet_2157,classical,holdout
classical_musicnet_2158,classical,holdout
classical_musicnet_2159,classical,holdout
classical_musicnet_2160,classical,holdout
classical_musicnet_2161,classical,holdout
classical_musicnet_2166,classical,holdout
classical_musicnet_2167,classical,holdout
classical_musicnet_2168,classical,holdout
classical_musicnet_2169,classical,holdout
classical_musicnet_2177,classical,holdout
classical_musicnet_2178,classical,holdout
classical_musicnet_2179,classical,holdout
classical_musicnet_2180,classical,holdout
classical_musicnet_2186,classical,discovery
classical_musicnet_2191,classical,discovery
classical_musicnet_2194,classical,discovery
classical_musicnet_2195,classical,discovery
classical_musicnet_2196,classical,discovery
classical_musicnet_2198,classical,discovery
classical_musicnet_2200,classical,discovery
classical_musicnet_2201,classical,discovery
classical_musicnet_2202,classical,discovery
classical_musicnet_2203,classical,discovery
classical_musicnet_2204,classical,discovery
classical_musicnet_2207,classical,discovery
classical_musicnet_2208,classical,discovery
classical_musicnet_2209,classical,discovery
classical_musicnet_2210,classical,discovery
classical_musicnet_2211,classical,discovery
classical_musicnet_2212,classical,discovery
classical_musicnet_2213,classical,discovery
classical_musicnet_2214,classical,discovery
classical_musicnet_2215,classical,discovery
classical_musicnet_2217,classical,discovery
classical_musicnet_2218,classical,discovery
classical_musicnet_2219,classical,discovery
classical_musicnet_2220,classical,discovery
classical_musicnet_2221,classical,discovery
classical_musicnet_2222,classical,discovery
classical_musicnet_2224,classical,discovery
classical_musicnet_2225,classical,discovery
classical_musicnet_2227,classical,discovery
classical_musicnet_2228,classical,discovery
classical_musicnet_2229,classical,discovery
classical_musicnet_2230,classical,discovery
classical_musicnet_2231,classical,discovery
classical_musicnet_2232,classical,discovery
classical_musicnet_2234,classical,discovery
classical_musicnet_2237,classical,discovery
classical_musicnet_2238,classical,discovery
classical_musicnet_2239,classical,discovery
classical_musicnet_2240,classical,discovery
classical_musicnet_2241,classical,discovery
classical_musicnet_2242,classical,discovery
classical_musicnet_2243,classical,discovery
classical_musicnet_2244,classical,discovery
classical_musicnet_2247,classical,discovery
classical_musicnet_2248,classical,discovery
classical_musicnet_2282,classical,discovery
classical_musicnet_2283,classical,discovery
classical_musicnet_2284,classical,discovery
classical_musicnet_2285,classical,discovery
classical_musicnet_2288,classical,discovery
classical_musicnet_2289,classical,discovery
classical_musicnet_2292,classical,discovery
classical_musicnet_2293,classical,discovery
classical_musicnet_2294,classical,discovery
classical_musicnet_2295,classical,discovery
classical_musicnet_2296,classical,discovery
classical_musicnet_2297,classical,discovery
classical_musicnet_2298,classical,discovery
classical_musicnet_2300,classical,discovery
classical_musicnet_2302,classical,discovery
classical_musicnet_2303,classical,discovery
classical_musicnet_2304,classical,discovery
classical_musicnet_2305,classical,discovery
classical_musicnet_2307,classical,discovery
classical_musicnet_2308,classical,discovery
classical_musicnet_2310,classical,discovery
classical_musicnet_2313,classical,discovery
classical_musicnet_2314,classical,discovery
classical_musicnet_2315,classical,discovery
classical_musicnet_2325,classical,discovery
classical_musicnet_2335,classical,discovery
classical_musicnet_2336,classical,discovery
classical_musicnet_2341,classical,discovery
classical_musicnet_2345,classical,discovery
classical_musicnet_2350,classical,discovery
classical_musicnet_2359,classical,discovery
classical_musicnet_2364,classical,discovery
classical_musicnet_2371,classical,discovery
classical_musicnet_2372,classical,discovery
classical_musicnet_2374,classical,discovery
classical_musicnet_2381,classical,discovery
classical_musicnet_2382,classical,discovery
classical_musicnet_2383,classical,discovery
classical_musicnet_2389,classical,discovery
classical_musicnet_2390,classical,discovery
classical_musicnet_2393,classical,discovery
classical_musicnet_2398,classical,discovery
classical_musicnet_2404,classical,discovery
classical_musicnet_2406,classical,discovery
classical_musicnet_2411,classical,discovery
classical_musicnet_2423,classical,discovery
classical_musicnet_2432,classical,discovery
classical_musicnet_2433,classical,discovery
classical_musicnet_2442,classical,discovery
classical_musicnet_2444,classical,discovery
classical_musicnet_2462,classical,discovery
classical_musicnet_2463,classical,discovery
classical_musicnet_2466,classical,discovery
classical_musicnet_2472,classical,discovery
classical_musicnet_2476,classical,discovery
classical_musicnet_2477,classical,discovery
classical_musicnet_2478,classical,discovery
classical_musicnet_2481,classical,discovery
classical_musicnet_2482,classical,discovery
classical_musicnet_2483,classical,discovery
classical_musicnet_2486,classical,discovery
classical_musicnet_2491,classical,discovery
classical_musicnet_2492,classical,discovery
classical_musicnet_2494,classical,discovery
classical_musicnet_2497,classical,discovery
classical_musicnet_2505,classical,discovery
classical_musicnet_2507,classical,discovery
classical_musicnet_2509,classical,discovery
classical_musicnet_2514,classical,discovery
classical_musicnet_2516,classical,discovery
classical_musicnet_2521,classical,discovery
classical_musicnet_2527,classical,discovery
classical_musicnet_2528,classical,discovery
classical_musicnet_2529,classical,discovery
classical_musicnet_2530,classical,discovery
classical_musicnet_2532,classical,discovery
classical_musicnet_2533,classical,discovery
classical_musicnet_2538,classical,discovery
classical_musicnet_2555,classical,discovery
classical_musicnet_2557,classical,discovery
classical_musicnet_2582,classical,discovery
classical_musicnet_2586,classical,discovery
classical_musicnet_2590,classical,discovery
classical_musicnet_2603,classical,discovery
classical_musicnet_2608,classical,discovery
classical_musicnet_2619,classical,discovery
classical_musicnet_2622,classical,discovery
classical_musicnet_2628,classical,discovery
classical_musicnet_2629,classical,discovery
classical_musicnet_2633,classical,discovery
classical_musicnet_2659,classical,discovery
classical_musicnet_2677,classical,discovery
classical_musicnet_2678,classical,discovery
classical_musopen_00d18099ad17,classical,holdout
classical_musopen_05c904fe5b10,classical,validation
classical_musopen_0b7876dd110e,classical,validation
