track_id,group
classical_musicnet_2075,classical
classical_musicnet_2076,classical
classical_musicnet_2077,classical
classical_musicnet_2078,classical
classical_musicnet_2079,classical
classical_musicnet_2080,classical
classical_musicnet_2081,classical
classical_musicnet_2082,classical
classical_musicnet_2083,classical
classical_musicnet_2186,classical
classical_musicnet_2191,classical
classical_musicnet_2194,classical
classical_musicnet_2195,classical
classical_musicnet_2196,classical
classical_musicnet_2198,classical
classical_musicnet_2200,classical
classical_musicnet_2201,classical
classical_musicnet_2202,classical
classical_musicnet_2203,classical
classical_musicnet_2204,classical
classical_musicnet_2207,classical
classical_musicnet_2208,classical
classical_musicnet_2209,classical
classical_musicnet_2210,classical
classical_musicnet_2211,classical
classical_musicnet_2212,classical
classical_musicnet_2213,classical
classical_musicnet_2214,classical
classical_musicnet_2215,classical
classical_musicnet_2217,classical
classical_musicnet_2218,classical
classical_musicnet_2219,classical
classical_musicnet_2220,classical
classical_musicnet_2221,classical
classical_musicnet_2222,classical
classical_musicnet_2224,classical
classical_musicnet_2225,classical
classical_musicnet_2227,classical
classical_musicnet_2228,classical
classical_musicnet_2229,classical
classical_musicnet_2230,classical
classical_musicnet_2231,classical
classical_musicnet_2232,classical
classical_musicnet_2234,classical
classical_musicnet_2237,classical
classical_musicnet_2238,classical
classical_musicnet_2239,classical
classical_musicnet_2240,classical
classical_musicnet_2241,classical
classical_musicnet_2242,classical
classical_musicnet_2243,classical
classical_musicnet_2244,classical
classical_musicnet_2247,classical
classical_musicnet_2248,classical
classical_musicnet_2282,classical
classical_musicnet_2283,classical
classical_musicnet_2284,classical
classical_musicnet_2285,classical
classical_musicnet_2288,classical
classical_musicnet_2289,classical
classical_musicnet_2292,classical
classical_musicnet_2293,classical
classical_musicnet_2294,classical
classical_musicnet_2295,classical
classical_musicnet_2296,classical
classical_musicnet_2297,classical
classical_musicnet_2298,classical
classical_musicnet_2300,classical
classical_musicnet_2302,classical
classical_musicnet_2303,classical
classical_musicnet_2304,classical
classical_musicnet_2305,classical
classical_musicnet_2307,classical
classical_musicnet_2308,classical
classical_musicnet_2310,classical
classical_musicnet_2313,classical
classical_musicnet_2314,classical
classical_musicnet_2315,classical
classical_musicnet_2325,classical
classical_musicnet_2335,classical
classical_musicnet_2336,classical
classical_musicnet_2341,classical
classical_musicnet_2345,classical
classical_musicnet_2350,classical
classical_musicnet_2359,classical
classical_musicnet_2364,classical
classical_musicnet_2371,classical
classical_musicnet_2372,classical
classical_musicnet_2374,classical
classical_musicnet_2381,classical
classical_musicnet_2382,classical
classical_musicnet_2383,classical
classical_musicnet_2389,classical
classical_musicnet_2390,classical
classical_musicnet_2393,classical
classical_musicnet_2398,classical
classical_musicnet_2404,classical
classical_musicnet_2406,classical
classical_musicnet_2411,classical
classical_musicnet_2423,classical
classical_musicnet_2432,classical
classical_musicnet_2433,classical
classical_musicnet_2442,classical
classical_musicnet_2444,classical
classical_musicnet_2462,classical
classical_musicnet_2463,classical
classical_musicnet_2466,classical
classical_musicnet_2472,classical
classical_musicnet_2476,classical
classical_musicnet_2477,classical
classical_musicnet_2478,classical
classical_musicnet_2481,classical
classical_musicnet_2482,classical
classical_musicnet_2483,classical
classical_musicnet_2486,classical
classical_musicnet_2491,classical
classical_musicnet_2492,classical
classical_musicnet_2494,classical
classical_musicnet_2497,classical
classical_musicnet_2505,classical
classical_musicnet_2507,classical
classical_musicnet_2509,classical
classical_musicnet_2514,classical
classical_musicnet_2516,classical
classical_musicnet_2521,classical
classical_musicnet_2527,classical
classical_musicnet_2528,classical
classical_musicnet_2529,classical
classical_musicnet_2530,classical
classical_musicnet_2532,classical
classical_musicnet_2533,classical
classical_musicnet_2538,classical
classical_musicnet_2555,classical
classical_musicnet_2557,classical
classical_musicnet_2582,classical
classical_musicnet_2586,classical
classical_musicnet_2590,classical
classical_musicnet_2603,classical
classical_musicnet_2608,classical
classical_musicnet_2619,classical
classical_musicnet_2622,classical
classical_musicnet_2628,classical
classical_musicnet_2629,classical
classical_musicnet_2633,classical
classical_musicnet_2659,classical
classical_musicnet_2677,classical
classical_musicnet_2678,classical
classical_musopen_0ddcc98bc949,classical
classical_musopen_12241f03c895,classical
classical_musopen_12be103565ed,classical
classical_musopen_1551871968d3,classical
classical_musopen_19bfd66ce0b8,classical
classical_musopen_22818b508e94,classical
classical_musopen_2431e0d1cb75,classical
classical_musopen_267eb0cfe9bf,classical
classical_musopen_26a41c433b68,classical
classical_musopen_39eaf7f62acd,classical
classical_musopen_3d194a9bdaa5,classical
classical_musopen_3f120e57880d,classical
classical_musopen_4832911d08b7,classical
classical_musopen_4ebac9c72c1e,classical
classical_musopen_5b78471c4c9d,classical
classical_musopen_5f1728c240a1,classical
classical_musopen_6288d37e8273,classical
classical_musopen_67f1921ea1d2,classical
classical_musopen_6911e41c184d,classical
classical_musopen_6c30622a4e97,classical
classical_musopen_738d2a0f7b4c,classical
classical_musopen_76480b1bf8fd,classical
classical_musopen_860ce064b48c,classical
classical_musopen_8c1a75b7bf5d,classical
classical_musopen_8f00b775156a,classical
classical_musopen_909c6ffb1fa0,classical
classical_musopen_90f0e736fe47,classical
classical_musopen_9887c7fd8762,classical
classical_musopen_9d607b626772,classical
classical_musopen_af6a2556f0c9,classical
classical_musopen_bb045bab8875,classical
classical_musopen_c080ce7f8b19,classical
classical_musopen_c6602c75c700,classical
classical_musopen_c678e65ee624,classical
classical_musopen_c787198261a5,classical
classical_musopen_c867a2eeaae9,classical
classical_musopen_cc8d87d2b00c,classical
classical_musopen_cd013009d6d8,classical
classical_musopen_d2e3d82ad3e8,classical
classical_musopen_d3fcd3c28c74,classical
classical_musopen_d70f00840b98,classical
classical_musopen_d95ec9d17c06,classical
classical_musopen_dbfd3cb8056d,classical
classical_musopen_dc68b3cf3d10,classical
classical_musopen_e0aa0ba751f5,classical
classical_musopen_e0dc320f51e3,classical
classical_musopen_e979457eb8b9,classical
classical_musopen_f1de65f9d30b,classical
focus_jamendo_1027423,focus
focus_jamendo_1027427,focus
focus_jamendo_1027938,focus
focus_jamendo_1027941,focus
focus_jamendo_1056129,focus
focus_jamendo_1056135,focus
focus_jamendo_1081641,focus
focus_jamendo_1081643,focus
focus_jamendo_1092684,focus
focus_jamendo_1101389,focus
focus_jamendo_1101393,focus
focus_jamendo_1106739,focus
focus_jamendo_1106747,focus
focus_jamendo_1128146,focus
focus_jamendo_1128147,focus
focus_jamendo_1130216,focus
focus_jamendo_1130360,focus
focus_jamendo_1130372,focus
focus_jamendo_1130830,focus
focus_jamendo_1154856,focus
focus_jamendo_1154857,focus
focus_jamendo_1156277,focus
focus_jamendo_1250838,focus
focus_jamendo_1302666,focus
focus_jamendo_1442910,focus
focus_jamendo_1450425,focus
focus_jamendo_1502253,focus
focus_jamendo_1522319,focus
focus_jamendo_1522321,focus
focus_jamendo_1522332,focus
focus_jamendo_1522335,focus
focus_jamendo_1542218,focus
focus_jamendo_1560365,focus
focus_jamendo_1575999,focus
focus_jamendo_1576036,focus
focus_jamendo_1610713,focus
focus_jamendo_1617037,focus
focus_jamendo_1619099,focus
focus_jamendo_1632069,focus
focus_jamendo_1632088,focus
focus_jamendo_1646629,focus
focus_jamendo_1647617,focus
focus_jamendo_1667339,focus
focus_jamendo_1668128,focus
focus_jamendo_1684978,focus
focus_jamendo_1684979,focus
focus_jamendo_1692446,focus
focus_jamendo_1699096,focus
focus_jamendo_1704604,focus
focus_jamendo_1705713,focus
focus_jamendo_1706218,focus
focus_jamendo_1709689,focus
focus_jamendo_1780015,focus
focus_jamendo_1785989,focus
focus_jamendo_1797025,focus
focus_jamendo_1798830,focus
focus_jamendo_1823875,focus
focus_jamendo_1823902,focus
focus_jamendo_1824127,focus
focus_jamendo_1826551,focus
focus_jamendo_1826554,focus
focus_jamendo_1833203,focus
focus_jamendo_1835124,focus
focus_jamendo_1838283,focus
focus_jamendo_1838287,focus
focus_jamendo_1842470,focus
focus_jamendo_1842472,focus
focus_jamendo_1844721,focus
focus_jamendo_1847333,focus
focus_jamendo_1847530,focus
focus_jamendo_1850576,focus
focus_jamendo_1856292,focus
focus_jamendo_1866931,focus
focus_jamendo_1869522,focus
focus_jamendo_1871445,focus
focus_jamendo_1874522,focus
focus_jamendo_1879604,focus
focus_jamendo_1881280,focus
focus_jamendo_1885488,focus
focus_jamendo_1890389,focus
focus_jamendo_1890394,focus
focus_jamendo_1890497,focus
focus_jamendo_1890501,focus
focus_jamendo_1891400,focus
focus_jamendo_1894575,focus
focus_jamendo_1894851,focus
focus_jamendo_1895201,focus
focus_jamendo_1895276,focus
focus_jamendo_1897824,focus
focus_jamendo_1900645,focus
focus_jamendo_1900646,focus
focus_jamendo_1900840,focus
focus_jamendo_1900848,focus
focus_jamendo_1900849,focus
focus_jamendo_1900865,focus
focus_jamendo_1902125,focus
focus_jamendo_1906544,focus
focus_jamendo_1916203,focus
focus_jamendo_1920476,focus
focus_jamendo_1921939,focus
focus_jamendo_1923890,focus
focus_jamendo_1924920,focus
focus_jamendo_1924921,focus
focus_jamendo_1926373,focus
focus_jamendo_1929250,focus
focus_jamendo_1931218,focus
focus_jamendo_1935622,focus
focus_jamendo_1935873,focus
focus_jamendo_1935877,focus
focus_jamendo_1942807,focus
focus_jamendo_1953401,focus
focus_jamendo_1956108,focus
focus_jamendo_1957922,focus
focus_jamendo_1963475,focus
focus_jamendo_1967104,focus
focus_jamendo_1967111,focus
focus_jamendo_1968379,focus
focus_jamendo_1969508,focus
focus_jamendo_1978485,focus
focus_jamendo_1978695,focus
focus_jamendo_1979493,focus
focus_jamendo_1980501,focus
focus_jamendo_1981814,focus
focus_jamendo_1983051,focus
focus_jamendo_1983056,focus
focus_jamendo_1983239,focus
focus_jamendo_1983242,focus
focus_jamendo_1985293,focus
focus_jamendo_1985295,focus
focus_jamendo_1986013,focus
focus_jamendo_1989577,focus
focus_jamendo_1993496,focus
