segment_id,track_id,group,split,scale_seconds,view,threshold,vertex_count,edge_count,h0_betti,h0_allowed_path_count,h0_omega_dimension,h0_cycle_dimension,h0_boundary_rank,h1_betti,h1_allowed_path_count,h1_omega_dimension,h1_cycle_dimension,h1_boundary_rank
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,structure,0.95,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,structure,0.9,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,structure,0.8,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,structure,0.7,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,structure,0.6,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,structure,0.5,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,structure,0.4,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,structure,0.3,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,structure,0.2,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,structure,0.15,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,structure,0.1,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,structure,0.075,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,structure,0.05,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,structure,0.95,3,1,2,3,3,3,1,0,1,1,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,structure,0.9,3,1,2,3,3,3,1,0,1,1,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,structure,0.8,3,1,2,3,3,3,1,0,1,1,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,structure,0.7,3,1,2,3,3,3,1,0,1,1,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,structure,0.6,3,1,2,3,3,3,1,0,1,1,0,0
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,structure,0.5,3,5,1,3,3,3,2,0,5,5,3,3
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,structure,0.4,3,5,1,3,3,3,2,0,5,5,3,3
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,structure,0.3,3,5,1,3,3,3,2,0,5,5,3,3
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,structure,0.2,3,5,1,3,3,3,2,0,5,5,3,3
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,structure,0.15,3,5,1,3,3,3,2,0,5,5,3,3
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,structure,0.1,3,5,1,3,3,3,2,0,5,5,3,3
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,structure,0.075,3,5,1,3,3,3,2,0,5,5,3,3
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,structure,0.05,3,5,1,3,3,3,2,0,5,5,3,3
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,structure,0.95,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,structure,0.9,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,structure,0.8,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,structure,0.7,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,structure,0.6,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,structure,0.5,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,structure,0.4,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,structure,0.3,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,structure,0.2,2,2,1,2,2,2,1,0,2,2,1,1
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,structure,0.15,2,2,1,2,2,2,1,0,2,2,1,1
