segment_id,track_id,group,split,scale_seconds,view,feature_relative_path,feature_sha256,graph_relative_path,graph_sha256,persistence_relative_path,persistence_sha256,sensitivity_persistence_relative_path,sensitivity_persistence_sha256,sidecar_relative_path,config_sha256,sequence_length,valid_states,valid_transitions,self_transitions,self_transition_ratio,vertex_count,edge_count,edge_density,reciprocity,transition_entropy,path_entropy,path_entropy_normalized,directed_recurrence,directed_recurrence_unbiased,h0_betti_auc,h1_betti_auc,h0_betti_mean,h1_betti_mean,h0_betti_max,h1_betti_max,h0_interval_count,h1_interval_count,h0_observed_persistence,h1_observed_persistence,h0_censored_count,h1_censored_count,status,processed_at,error
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,structure,features/structure/180s/classical/validation/classical_musicnet_1727__180s.npz,a58673c5952d89fbf677af0c3291314ae3917c8533d5b1e033595c1150d55ce7,graphs/structure/180s/classical/validation/classical_musicnet_1727__180s.npz,9a1d280f1c6604973d4b13244d405d65c502a3b40976cdd3d3b8563daa73df75,homology/persistence/structure/180s/classical/validation/classical_musicnet_1727__180s.npz,16aa7768db4a0950f61d7462ef94bc1ac971fffec4f2241286f551ae6cdcdf1c,homology/persistence_sensitivity/structure/180s/classical/validation/classical_musicnet_1727__180s.npz,39e1fbfe89bcbbf17e3a73ec83a92a97d2cc0ae937a39be3776b452bdbad7c8a,homology/descriptors/structure/180s/classical/validation/classical_musicnet_1727__180s.json,bf3cd1c8c3c90a653878fa3f5f88fa6012a83439d7e92c30ef80215890fe7255,8,8,7,3,0.42857142857142855,2,2,1.0,1.0,0.9821410328348751,0.48072261929232596,0.6935361388961918,0.3469387755102041,0.23809523809523808,0.44999999999999996,0.0,1.0,0.0,1,0,1,0,0.44999999999999996,0,1,0,success,2026-08-02,
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,structure,features/structure/300s/classical/validation/classical_musicnet_1727__300s.npz,c2ee2bc6faf17b0d931cc1f4317820868f9dd107b0bb6b6749a41e503b06ee56,graphs/structure/300s/classical/validation/classical_musicnet_1727__300s.npz,d9d378571f640bf51288ae19b4685044f837c426e7ccb763b19420b5b217cd90,homology/persistence/structure/300s/classical/validation/classical_musicnet_1727__300s.npz,e6547e98232f2c8c08af53ff35e04f44fdfcbafaba735a41280a053f50799891,homology/persistence_sensitivity/structure/300s/classical/validation/classical_musicnet_1727__300s.npz,23c137c991bbd22148a0578caee530c38236d30667d62c0c2572c0e78b4efde8,homology/descriptors/structure/300s/classical/validation/classical_musicnet_1727__300s.json,bf3cd1c8c3c90a653878fa3f5f88fa6012a83439d7e92c30ef80215890fe7255,12,12,11,6,0.5454545454545454,3,5,0.8333333333333334,0.8,0.7928362876512273,0.513036631841695,0.46698606699882195,0.33884297520661155,0.2727272727272727,0.8499999999999999,0.0,1.8333333333333333,0.0,2,0,2,0,0.8999999999999999,0,1,0,success,2026-08-02,
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,structure,features/structure/180s/classical/validation/classical_musicnet_1728__180s.npz,c789265b2ab281969c222bb1297b9ba02cacdb441d767e29bbdc0277a29712a2,graphs/structure/180s/classical/validation/classical_musicnet_1728__180s.npz,51f08e648c2777f8323db7c14224bf33a219d8f3f07af9f4cec8e0feee41a096,homology/persistence/structure/180s/classical/validation/classical_musicnet_1728__180s.npz,16aa7768db4a0950f61d7462ef94bc1ac971fffec4f2241286f551ae6cdcdf1c,homology/persistence_sensitivity/structure/180s/classical/validation/classical_musicnet_1728__180s.npz,39e1fbfe89bcbbf17e3a73ec83a92a97d2cc0ae937a39be3776b452bdbad7c8a,homology/descriptors/structure/180s/classical/validation/classical_musicnet_1728__180s.json,bf3cd1c8c3c90a653878fa3f5f88fa6012a83439d7e92c30ef80215890fe7255,6,6,5,3,0.6,2,2,1.0,1.0,0.9609640474436812,0.6591673732008658,0.9509775004326938,0.28,0.1,0.44999999999999996,0.0,1.0,0.0,1,0,1,0,0.44999999999999996,0,1,0,success,2026-08-02,
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,structure,features/structure/300s/classical/validation/classical_musicnet_1728__300s.npz,0fc073d2548e49c7c7265e363c61b5e08370d8c23ff2316c67c006d56233649f,graphs/structure/300s/classical/validation/classical_musicnet_1728__300s.npz,bb9c527f0e87d4ea0ba0c44cb8ab8a13cb38a72c05fc2dd466557f042c9eb619,homology/persistence/structure/300s/classical/validation/classical_musicnet_1728__300s.npz,cb7919bb1c3daf3b7afa31231329039d257250a42671710a99255fc0d6a4a2be,homology/persistence_sensitivity/structure/300s/classical/validation/classical_musicnet_1728__300s.npz,83f07239662e445e3bd38847c9feb6b7f24aa7719ac53dddb0490c471014dd78,homology/descriptors/structure/300s/classical/validation/classical_musicnet_1728__300s.json,bf3cd1c8c3c90a653878fa3f5f88fa6012a83439d7e92c30ef80215890fe7255,11,11,10,7,0.7,3,3,0.5,0.6666666666666666,0.881353453268883,0.7454719949364002,0.6785578521428745,0.28,0.2,0.8499999999999999,0.0,1.8333333333333333,0.0,2,0,2,0,0.8999999999999999,0,1,0,success,2026-08-02,
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,structure,features/structure/180s/classical/validation/classical_musicnet_1729__180s.npz,87b853886f9cfcb5c002e926c32740acc27ed97f6ee7edcb0bb52cc0968896ab,graphs/structure/180s/classical/validation/classical_musicnet_1729__180s.npz,65558cb25a22f3ee8fc4de0b0c79bb4cee3e3ade28bf60207e2d34b3d0bc60ef,homology/persistence/structure/180s/classical/validation/classical_musicnet_1729__180s.npz,35e1587b448ccfd5cd59c37557563de442db936c4e9b306527f4ac449ba7ce77,homology/persistence_sensitivity/structure/180s/classical/validation/classical_musicnet_1729__180s.npz,004a5fd3ce17015e760d71328f22bb1db8a0f308af60a9a1a4124dab5b3f1989,homology/descriptors/structure/180s/classical/validation/classical_musicnet_1729__180s.json,bf3cd1c8c3c90a653878fa3f5f88fa6012a83439d7e92c30ef80215890fe7255,10,10,9,3,0.3333333333333333,4,4,0.3333333333333333,0.5,0.9683925140412224,0.4620981203732969,0.33333333333333337,0.18518518518518517,0.08333333333333333,0.44999999999999996,0.0,1.0,0.0,1,0,1,0,0.44999999999999996,0,1,0,success,2026-08-02,
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,structure,features/structure/300s/classical/validation/classical_musicnet_1729__300s.npz,46e34665ae3edd74cf535492b214605822210bb6e40535385303d4c393cf0786,graphs/structure/300s/classical/validation/classical_musicnet_1729__300s.npz,823c98b01cd1a71013d4422746cbe523aeb2015ba0bd6436d2c9527a80220677,homology/persistence/structure/300s/classical/validation/classical_musicnet_1729__300s.npz,0dc4bcb5b63b4f4a682c5b0e7d6e03116dc667e19cec57be04dab4d5d2bafc56,homology/persistence_sensitivity/structure/300s/classical/validation/classical_musicnet_1729__300s.npz,f7cd6ae3ed574a5d2f9d283061476fc92e1d5fcbeefde8964051222019487433,homology/descriptors/structure/300s/classical/validation/classical_musicnet_1729__300s.json,bf3cd1c8c3c90a653878fa3f5f88fa6012a83439d7e92c30ef80215890fe7255,16,16,15,6,0.4,4,6,0.5,1.0,0.8941962435006111,0.7818554422570315,0.5639894846181334,0.19111111111111112,0.13333333333333333,0.44999999999999996,0.0,1.0,0.0,1,0,1,0,0.44999999999999996,0,1,0,success,2026-08-02,
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,structure,features/structure/180s/classical/validation/classical_musicnet_1730__180s.npz,f313bbefc50129ae3a8ef3f012199b3d3cb5cd4796188649277ea8718d3a24eb,graphs/structure/180s/classical/validation/classical_musicnet_1730__180s.npz,520e7e09153c4faa29f2ddde2f102f38498d83a9dab1887d4812b4fab1d71c5c,homology/persistence/structure/180s/classical/validation/classical_musicnet_1730__180s.npz,7a3a0fca671fafd6e77b73309e5c56ad16bf846ea369d22536cffefb4b86b090,homology/persistence_sensitivity/structure/180s/classical/validation/classical_musicnet_1730__180s.npz,d59e6f6c8420a4a3d15f333eed8cff8091fc047cc0004a860bacb690be7fad1e,homology/descriptors/structure/180s/classical/validation/classical_musicnet_1730__180s.json,bf3cd1c8c3c90a653878fa3f5f88fa6012a83439d7e92c30ef80215890fe7255,8,8,7,2,0.2857142857142857,5,5,0.25,0.0,0.9999999999999999,0.39608410317711157,0.24610089032765317,0.14285714285714285,0.0,0.44999999999999996,0.44999999999999996,1.0,1.0,1,1,1,1,0.44999999999999996,0.44999999999999996,1,1,success,2026-08-02,
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,structure,features/structure/300s/classical/validation/classical_musicnet_1730__300s.npz,32a0525c560c21c960d612d4e3dc7d0aee1078437edc059cc0b272d712fdfcc6,graphs/structure/300s/classical/validation/classical_musicnet_1730__300s.npz,45b165b464b2987322444840e352c8ed39f98439c54cbc1aa7af168796eb538c,homology/persistence/structure/300s/classical/validation/classical_musicnet_1730__300s.npz,8d629ca6593cc8e7473a9bc495d3932d048b8eb05183025450bdbff6893e0f30,homology/persistence_sensitivity/structure/300s/classical/validation/classical_musicnet_1730__300s.npz,b0c0572c9dd1616f2c322ed7e2c9c5f240abec94d1c3b6343e8b8b2aa070c4c2,homology/descriptors/structure/300s/classical/validation/classical_musicnet_1730__300s.json,bf3cd1c8c3c90a653878fa3f5f88fa6012a83439d7e92c30ef80215890fe7255,12,12,11,1,0.09090909090909091,5,8,0.4,0.75,0.9766146686727132,0.6777018135785455,0.42107981199075584,0.12396694214876033,0.03636363636363636,1.15,0.0,2.5,0.0,3,0,3,0,1.25,0,1,0,success,2026-08-02,
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,structure,features/structure/180s/classical/validation/classical_musicnet_1739__180s.npz,3259c99a0ec828f4b7f93af7a19fc0bdce8ecf74fdf8e997da447dd0142b555c,graphs/structure/180s/classical/validation/classical_musicnet_1739__180s.npz,b69a149de0b3ed198c04b8251ce80018268bbf6760332936dd701e64e2f659ca,homology/persistence/structure/180s/classical/validation/classical_musicnet_1739__180s.npz,cb7919bb1c3daf3b7afa31231329039d257250a42671710a99255fc0d6a4a2be,homology/persistence_sensitivity/structure/180s/classical/validation/classical_musicnet_1739__180s.npz,83f07239662e445e3bd38847c9feb6b7f24aa7719ac53dddb0490c471014dd78,homology/descriptors/structure/180s/classical/validation/classical_musicnet_1739__180s.json,bf3cd1c8c3c90a653878fa3f5f88fa6012a83439d7e92c30ef80215890fe7255,7,7,6,3,0.5,3,3,0.5,0.6666666666666666,0.9697238998682473,0.9241962407465937,0.8412396714286098,0.2222222222222222,0.06666666666666667,0.8499999999999999,0.0,1.8333333333333333,0.0,2,0,2,0,0.8999999999999999,0,1,0,success,2026-08-02,
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,structure,features/structure/300s/classical/validation/classical_musicnet_1739__300s.npz,bae7d5d39d15a2af26ac729b7ede8af1f10d778208b9d66eb34242ea8bc33da6,graphs/structure/300s/classical/validation/classical_musicnet_1739__300s.npz,513c9bc9b02b97e5d6c95506725e3f2333ba8342f2a2f5d40ffda64dce0878dd,homology/persistence/structure/300s/classical/validation/classical_musicnet_1739__300s.npz,0dc4bcb5b63b4f4a682c5b0e7d6e03116dc667e19cec57be04dab4d5d2bafc56,homology/persistence_sensitivity/structure/300s/classical/validation/classical_musicnet_1739__300s.npz,f7cd6ae3ed574a5d2f9d283061476fc92e1d5fcbeefde8964051222019487433,homology/descriptors/structure/300s/classical/validation/classical_musicnet_1739__300s.json,bf3cd1c8c3c90a653878fa3f5f88fa6012a83439d7e92c30ef80215890fe7255,13,13,12,3,0.25,4,6,0.5,0.6666666666666666,0.9727652780181634,0.8239592165010823,0.5943609377704336,0.1388888888888889,0.06060606060606061,0.44999999999999996,0.0,1.0,0.0,1,0,1,0,0.44999999999999996,0,1,0,success,2026-08-02,
