role,comparison,split,scale_seconds,representation,metric,n_focus,n_comparator,focus_median,comparator_median,rank_biserial_focus_minus_comparator,p_value,p_fdr_bh,effect_300,scale_spearman,direction_agreement,eligible,selection_score,selected
exploration,focus_vs_pop,discovery,180.0,acoustic_novelty_delay,h0_max_persistence,24,24,0.9446153044700623,1.465881884098053,-0.6180555555555556,0.0002522267513013396,0.008827936295546885,-0.5798611111111112,0.6501061161489485,True,True,0.4018016967865029,True
exploration,focus_vs_pop,discovery,180.0,acoustic_novelty_delay,h0_total_persistence,24,24,10.93781615048647,12.485437475144863,-0.6840277777777778,5.083342321091998e-05,0.003558339624764399,-0.4444444444444444,0.5660492636182393,True,True,0.38719341990553174,False
exploration,focus_vs_pop,discovery,180.0,acoustic_novelty_delay,h0_persistence_entropy,24,24,0.9796909689839194,0.9583497409703177,0.5486111111111112,0.0011638469577302437,0.027156429013705685,0.6319444444444444,0.7050614187407551,True,True,0.38680452833694207,False
exploration,focus_vs_pop,discovery,180.0,onset_delay,h0_max_persistence,24,24,0.8359869122505188,1.326411485671997,-0.4097222222222222,0.015401014690545304,0.16297262912258043,-0.5451388888888888,0.588076403627243,True,True,0.2409479709306065,False
exploration,focus_vs_pop,discovery,180.0,acoustic_pca,h0_persistence_entropy,24,24,0.9801615951333887,0.966187665173625,0.4097222222222223,0.015401014690545304,0.16297262912258043,0.7777777777777777,0.5632838124638242,True,True,0.23078989538448358,True
exploration,focus_vs_pop,discovery,180.0,rhythm,h0_total_persistence,24,24,9.182914014905691,10.661898713558912,-0.3368055555555556,0.04661336118033611,0.30412005956679294,-0.3819444444444444,0.6408772268313077,True,True,0.2158510104258224,True
exploration,focus_vs_pop,discovery,180.0,onset_delay,h0_persistence_entropy,24,24,0.9737911705736908,0.9478052003064842,0.40625,0.016297262912258043,0.16297262912258043,0.7881944444444444,0.5202906939353014,True,True,0.21136809441121618,False
exploration,focus_vs_pop,discovery,180.0,modulation,h0_max_persistence,24,24,0.8435609340667725,1.1678974032402039,-0.33333333333333337,0.048932790787893914,0.30412005956679294,-0.26388888888888884,0.5142452890861149,True,True,0.1714150963620383,False
exploration,focus_vs_pop,discovery,180.0,acoustic_novelty_delay,h0_q75_persistence,24,24,0.5493538826704025,0.5856630206108093,-0.48611111111111116,0.004021867123993529,0.07038267466988676,-0.1875,0.23972602739726032,True,True,0.1165334855403349,False
exploration,focus_vs_pop,discovery,180.0,modulation_delay,h0_persistence_entropy,24,24,0.978285097719483,0.9718605093651512,0.32638888888888884,0.053862899879507355,0.30412005956679294,0.3368055555555556,0.8069972345488456,True,False,0.2633949307208037,False
exploration,focus_vs_pop,discovery,180.0,onset_delay,h0_total_persistence,24,24,10.236306257545948,10.948762699961662,-0.30208333333333337,0.07448869557973885,0.3724434778986942,-0.2743055555555556,0.694867837159946,True,False,0.2099079924754004,False
exploration,focus_vs_pop,discovery,180.0,modulation,h0_persistence_entropy,24,24,0.9498066219334877,0.9204480881859244,0.32638888888888884,0.053862899879507355,0.30412005956679294,0.4444444444444444,0.611807833301177,True,False,0.1996872789246897,False
exploration,focus_vs_pop,discovery,180.0,acoustic_pca,h0_max_persistence,24,24,1.093136966228485,1.4473870992660522,-0.26736111111111116,0.11470273038255883,0.47230536039877163,-0.6840277777777778,0.5101935815808092,True,False,0.1364059228532025,False
exploration,focus_vs_pop,discovery,180.0,modulation,h1_persistence_entropy,24,24,0.6791837771383276,0.8444377747033394,-0.27604166666666663,0.10144951291294178,0.4438416189941203,-0.00868055555555558,0.45994014177052034,True,False,0.12696264330123735,False
exploration,focus_vs_pop,discovery,180.0,chroma,h0_total_persistence,24,24,10.771054416894913,10.166143044829369,0.14236111111111116,0.40366370084884173,0.8898776205621819,0.05902777777777768,0.8463888352948744,True,False,0.12049285502461758,False
exploration,focus_vs_pop,discovery,180.0,chroma,h0_persistence_entropy,24,24,0.9764520975753448,0.9725882114225332,0.19097222222222232,0.2611101618127958,0.7812456769918186,0.07291666666666674,0.63084442729436,True,False,0.12047376215690908,False
exploration,focus_vs_pop,discovery,180.0,rhythm,h0_max_persistence,24,24,1.045520842075348,1.0851553678512573,-0.1840277777777778,0.2790163132113638,0.7812456769918186,-0.3055555555555556,0.5398417904688405,True,False,0.09934588505155746,False
