segment_id,track_id,group,split,scale_seconds,view,threshold,vertex_count,edge_count,h0_betti,h0_allowed_path_count,h0_omega_dimension,h0_cycle_dimension,h0_boundary_rank,h1_betti,h1_allowed_path_count,h1_omega_dimension,h1_cycle_dimension,h1_boundary_rank
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,modulation,0.95,17,6,11,17,17,17,6,0,6,6,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,modulation,0.9,17,6,11,17,17,17,6,0,6,6,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,modulation,0.8,17,6,11,17,17,17,6,0,6,6,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,modulation,0.7,17,6,11,17,17,17,6,0,6,6,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,modulation,0.6,17,7,10,17,17,17,7,0,7,7,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,modulation,0.5,17,10,7,17,17,17,10,0,10,10,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,modulation,0.4,17,11,7,17,17,17,10,0,11,11,1,1
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,modulation,0.3,17,24,2,17,17,17,15,3,24,24,9,6
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,modulation,0.2,17,28,2,17,17,17,15,1,28,28,13,12
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,modulation,0.15,17,31,2,17,17,17,15,1,31,31,16,15
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,modulation,0.1,17,42,2,17,17,17,15,0,42,42,27,27
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,modulation,0.075,17,42,2,17,17,17,15,0,42,42,27,27
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,modulation,0.05,17,44,2,17,17,17,15,0,44,44,29,29
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch,0.95,13,0,13,13,13,13,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch,0.9,13,0,13,13,13,13,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch,0.8,13,0,13,13,13,13,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch,0.7,13,0,13,13,13,13,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch,0.6,13,0,13,13,13,13,0,0,0,0,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch,0.5,13,2,11,13,13,13,2,0,2,2,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch,0.4,13,4,9,13,13,13,4,0,4,4,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch,0.3,13,8,5,13,13,13,8,0,8,8,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch,0.2,13,18,1,13,13,13,12,0,18,18,6,6
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch,0.15,13,32,1,13,13,13,12,0,32,32,20,20
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch,0.1,13,51,1,13,13,13,12,0,51,51,39,39
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch,0.075,13,60,1,13,13,13,12,0,60,60,48,48
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,pitch,0.05,13,69,1,13,13,13,12,0,69,69,57,57
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.95,8,1,7,8,8,8,1,0,1,1,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.9,8,1,7,8,8,8,1,0,1,1,0,0
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,0.8,8,1,7,8,8,8,1,0,1,1,0,0
