pair_id,prompt_id,prompt_family,seed_index,baseline_band_distance,baseline_target_band_hit,guided_band_distance,delta_band_distance,positive_guidance,neutral_guidance,guided_target_band_hit,synthetic,scientific_evidence,qualification_result,production_authorization,mock_seed
p04_piano_strings__v01__s00,p04_piano_strings__v01,p04_piano_strings,0,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p04_piano_strings__v01__s01,p04_piano_strings__v01,p04_piano_strings,1,0.3291043997840115,False,0.3895154666567686,0.0604110668727571,False,False,False,True,False,False,False,20260915
p04_piano_strings__v01__s02,p04_piano_strings__v01,p04_piano_strings,2,0.7408102029931092,False,0.6299502696713126,-0.11085993332179656,True,False,False,True,False,False,False,20260915
p04_piano_strings__v01__s03,p04_piano_strings__v01,p04_piano_strings,3,0.36096957807990876,False,0.42602335802244257,0.06505377994253381,False,False,False,True,False,False,False,20260915
p04_piano_strings__v01__s04,p04_piano_strings__v01,p04_piano_strings,4,0.25318047965372675,False,0.0,-0.25318047965372675,True,False,True,True,False,False,False,20260915
p04_piano_strings__v01__s05,p04_piano_strings__v01,p04_piano_strings,5,0.8263365231604857,False,0.9501979302401877,0.12386140707970206,False,False,False,True,False,False,False,20260915
p04_piano_strings__v01__s06,p04_piano_strings__v01,p04_piano_strings,6,0.41787158142817166,False,0.3172508906897216,-0.10062069073845004,True,False,False,True,False,False,False,20260915
p04_piano_strings__v01__s07,p04_piano_strings__v01,p04_piano_strings,7,0.626860506969785,False,0.5470671113540192,-0.07979339561576582,True,False,False,True,False,False,False,20260915
p04_piano_strings__v02__s00,p04_piano_strings__v02,p04_piano_strings,0,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p04_piano_strings__v02__s01,p04_piano_strings__v02,p04_piano_strings,1,0.5368854896429788,False,0.5975329889286728,0.06064749928569402,False,False,False,True,False,False,False,20260915
p04_piano_strings__v02__s02,p04_piano_strings__v02,p04_piano_strings,2,0.37980824771437033,False,0.26300001053312894,-0.11680823718124139,True,False,False,True,False,False,False,20260915
p04_piano_strings__v02__s03,p04_piano_strings__v02,p04_piano_strings,3,0.8706398765155747,False,0.7944715165383867,-0.07616835997718807,True,False,False,True,False,False,False,20260915
p04_piano_strings__v02__s04,p04_piano_strings__v02,p04_piano_strings,4,1.0650113726080233,False,0.9361137764059957,-0.12889759620202756,True,False,False,True,False,False,False,20260915
p04_piano_strings__v02__s05,p04_piano_strings__v02,p04_piano_strings,5,0.45159920270061016,False,0.3268050876235493,-0.12479411507706084,True,False,False,True,False,False,False,20260915
p04_piano_strings__v02__s06,p04_piano_strings__v02,p04_piano_strings,6,0.571052539064349,False,0.4514643605945025,-0.11958817846984654,True,False,False,True,False,False,False,20260915
p04_piano_strings__v02__s07,p04_piano_strings__v02,p04_piano_strings,7,0.5519633943262608,False,0.6211791984711859,0.06921580414492501,False,False,False,True,False,False,False,20260915
p04_piano_strings__v03__s00,p04_piano_strings__v03,p04_piano_strings,0,1.1715093933713985,False,1.0833964069144932,-0.08811298645690524,True,False,False,True,False,False,False,20260915
p04_piano_strings__v03__s01,p04_piano_strings__v03,p04_piano_strings,1,0.4665878492471909,False,0.34555380973776567,-0.1210340395094252,True,False,False,True,False,False,False,20260915
p04_piano_strings__v03__s02,p04_piano_strings__v03,p04_piano_strings,2,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p04_piano_strings__v03__s03,p04_piano_strings__v03,p04_piano_strings,3,0.5018388490197792,False,0.43093454446633817,-0.07090430455344099,True,False,False,True,False,False,False,20260915
p04_piano_strings__v03__s04,p04_piano_strings__v03,p04_piano_strings,4,0.7974980115940914,False,0.8944722291695124,0.09697421757542102,False,False,False,True,False,False,False,20260915
p04_piano_strings__v03__s05,p04_piano_strings__v03,p04_piano_strings,5,0.5358860233132381,False,0.46660549462174783,-0.06928052869149026,True,False,False,True,False,False,False,20260915
p04_piano_strings__v03__s06,p04_piano_strings__v03,p04_piano_strings,6,0.8407449061144936,False,0.9745512824801124,0.13380637636561876,False,False,False,True,False,False,False,20260915
p04_piano_strings__v03__s07,p04_piano_strings__v03,p04_piano_strings,7,0.3695550781090081,False,0.0,-0.3695550781090081,True,False,True,True,False,False,False,20260915
p04_piano_strings__v04__s00,p04_piano_strings__v04,p04_piano_strings,0,0.7547966599966328,False,0.5550917889324396,-0.1997048710641932,True,False,False,True,False,False,False,20260915
p04_piano_strings__v04__s01,p04_piano_strings__v04,p04_piano_strings,1,0.8521763233556109,False,0.7077101267532154,-0.14446619660239546,True,False,False,True,False,False,False,20260915
p04_piano_strings__v04__s02,p04_piano_strings__v04,p04_piano_strings,2,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p04_piano_strings__v04__s03,p04_piano_strings__v04,p04_piano_strings,3,0.6866474674815821,False,0.0,-0.6866474674815821,True,False,True,True,False,False,False,20260915
p04_piano_strings__v04__s04,p04_piano_strings__v04,p04_piano_strings,4,0.4632447128098649,False,0.5323675771898635,0.0691228643799986,False,False,False,True,False,False,False,20260915
p04_piano_strings__v04__s05,p04_piano_strings__v04,p04_piano_strings,5,0.5395003736390537,False,0.4319022851048673,-0.1075980885341864,True,False,False,True,False,False,False,20260915
p04_piano_strings__v04__s06,p04_piano_strings__v04,p04_piano_strings,6,0.45418429771765356,False,0.3435175536851351,-0.11066674403251847,True,False,False,True,False,False,False,20260915
p04_piano_strings__v04__s07,p04_piano_strings__v04,p04_piano_strings,7,0.5732122664659564,False,0.6931591573976297,0.11994689093167332,False,False,False,True,False,False,False,20260915
p04_piano_strings__v05__s00,p04_piano_strings__v05,p04_piano_strings,0,0.5170630935620032,False,0.3791613605827768,-0.13790173297922642,True,False,False,True,False,False,False,20260915
p04_piano_strings__v05__s01,p04_piano_strings__v05,p04_piano_strings,1,0.39341424563883104,False,0.0,-0.39341424563883104,True,False,True,True,False,False,False,20260915
p04_piano_strings__v05__s02,p04_piano_strings__v05,p04_piano_strings,2,0.500742933753561,False,0.36676112759927154,-0.1339818061542895,True,False,False,True,False,False,False,20260915
p04_piano_strings__v05__s03,p04_piano_strings__v05,p04_piano_strings,3,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p04_piano_strings__v05__s04,p04_piano_strings__v05,p04_piano_strings,4,0.41103427164648765,False,0.4913120148208527,0.08027774317436503,False,False,False,True,False,False,False,20260915
p04_piano_strings__v05__s05,p04_piano_strings__v05,p04_piano_strings,5,0.6578301037932247,False,0.7145930922912535,0.056762988498028744,False,False,False,True,False,False,False,20260915
p04_piano_strings__v05__s06,p04_piano_strings__v05,p04_piano_strings,6,0.8392870289261942,False,0.7143632483337403,-0.1249237805924539,True,False,False,True,False,False,False,20260915
p04_piano_strings__v05__s07,p04_piano_strings__v05,p04_piano_strings,7,0.16,False,0.055999999999999994,-0.10400000000000001,True,False,False,True,False,False,False,20260915
p04_piano_strings__v06__s00,p04_piano_strings__v06,p04_piano_strings,0,0.9999119067419644,False,0.9365057709359933,-0.0634061358059711,True,False,False,True,False,False,False,20260915
p04_piano_strings__v06__s01,p04_piano_strings__v06,p04_piano_strings,1,0.33119397468889666,False,0.0,-0.33119397468889666,True,False,True,True,False,False,False,20260915
p04_piano_strings__v06__s02,p04_piano_strings__v06,p04_piano_strings,2,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p04_piano_strings__v06__s03,p04_piano_strings__v06,p04_piano_strings,3,0.4356135015468998,False,0.3181720381509866,-0.11744146339591321,True,False,False,True,False,False,False,20260915
p04_piano_strings__v06__s04,p04_piano_strings__v06,p04_piano_strings,4,0.6219317652456121,False,0.5780432043180417,-0.04388856092757043,True,False,False,True,False,False,False,20260915
p04_piano_strings__v06__s05,p04_piano_strings__v06,p04_piano_strings,5,0.556222896427435,False,0.0,-0.556222896427435,True,False,True,True,False,False,False,20260915
p04_piano_strings__v06__s06,p04_piano_strings__v06,p04_piano_strings,6,0.3031058636312206,False,0.0,-0.3031058636312206,True,False,True,True,False,False,False,20260915
p04_piano_strings__v06__s07,p04_piano_strings__v06,p04_piano_strings,7,1.35,False,1.4476345750812636,0.0976345750812635,False,False,False,True,False,False,False,20260915
p04_piano_strings__v07__s00,p04_piano_strings__v07,p04_piano_strings,0,0.4525957469834976,False,0.0,-0.4525957469834976,True,False,True,True,False,False,False,20260915
p04_piano_strings__v07__s01,p04_piano_strings__v07,p04_piano_strings,1,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p04_piano_strings__v07__s02,p04_piano_strings__v07,p04_piano_strings,2,0.42974699504929914,False,0.0,-0.42974699504929914,True,False,True,True,False,False,False,20260915
p04_piano_strings__v07__s03,p04_piano_strings__v07,p04_piano_strings,3,0.5979490999871867,False,0.5002028559297729,-0.09774624405741383,True,False,False,True,False,False,False,20260915
p04_piano_strings__v07__s04,p04_piano_strings__v07,p04_piano_strings,4,0.42588203813651065,False,0.4904900406186341,0.06460800248212345,False,False,False,True,False,False,False,20260915
p04_piano_strings__v07__s05,p04_piano_strings__v07,p04_piano_strings,5,0.6844256751579548,False,0.4583702827253133,-0.2260553924326415,True,False,False,True,False,False,False,20260915
p04_piano_strings__v07__s06,p04_piano_strings__v07,p04_piano_strings,6,0.7338651695025951,False,0.5952444781627778,-0.13862069133981725,True,False,False,True,False,False,False,20260915
p04_piano_strings__v07__s07,p04_piano_strings__v07,p04_piano_strings,7,1.057694999268175,False,0.9649489437797123,-0.09274605548846271,True,False,False,True,False,False,False,20260915
p04_piano_strings__v08__s00,p04_piano_strings__v08,p04_piano_strings,0,0.366204080611945,False,0.2046548163075405,-0.16154926430440447,True,False,False,True,False,False,False,20260915
p04_piano_strings__v08__s01,p04_piano_strings__v08,p04_piano_strings,1,0.5415169908328533,False,0.4513536504541573,-0.090163340378696,True,False,False,True,False,False,False,20260915
p04_piano_strings__v08__s02,p04_piano_strings__v08,p04_piano_strings,2,0.6291877203235877,False,0.4820895725237626,-0.1470981477998251,True,False,False,True,False,False,False,20260915
p04_piano_strings__v08__s03,p04_piano_strings__v08,p04_piano_strings,3,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p04_piano_strings__v08__s04,p04_piano_strings__v08,p04_piano_strings,4,1.0219151356998926,False,1.2127914414694083,0.19087630576951575,False,False,False,True,False,False,False,20260915
p04_piano_strings__v08__s05,p04_piano_strings__v08,p04_piano_strings,5,1.1812303028222302,False,0.9614135288105798,-0.21981677401165034,True,False,False,True,False,False,False,20260915
p04_piano_strings__v08__s06,p04_piano_strings__v08,p04_piano_strings,6,0.3175817311140835,False,0.0,-0.3175817311140835,True,False,True,True,False,False,False,20260915
p04_piano_strings__v08__s07,p04_piano_strings__v08,p04_piano_strings,7,0.23338896986418184,False,0.13466539210178383,-0.09872357776239801,True,False,False,True,False,False,False,20260915
p16_bell_texture__v01__s00,p16_bell_texture__v01,p16_bell_texture,0,0.5553129564719959,False,0.48010630399528087,-0.07520665247671499,True,False,False,True,False,False,False,20260915
p16_bell_texture__v01__s01,p16_bell_texture__v01,p16_bell_texture,1,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p16_bell_texture__v01__s02,p16_bell_texture__v01,p16_bell_texture,2,0.3029228738095071,False,0.3628921267478744,0.0599692529383673,False,False,False,True,False,False,False,20260915
p16_bell_texture__v01__s03,p16_bell_texture__v01,p16_bell_texture,3,0.9502017137959182,False,1.087031543972171,0.13682983017625272,False,False,False,True,False,False,False,20260915
p16_bell_texture__v01__s04,p16_bell_texture__v01,p16_bell_texture,4,0.7221516328960376,False,0.6531144882255154,-0.06903714467052213,True,False,False,True,False,False,False,20260915
p16_bell_texture__v01__s05,p16_bell_texture__v01,p16_bell_texture,5,0.3465092888053919,False,0.45851304969480106,0.11200376088940917,False,False,False,True,False,False,False,20260915
p16_bell_texture__v01__s06,p16_bell_texture__v01,p16_bell_texture,6,0.356828344848887,False,0.23139826505277863,-0.12543007979610835,True,False,False,True,False,False,False,20260915
p16_bell_texture__v01__s07,p16_bell_texture__v01,p16_bell_texture,7,0.5404081736170676,False,0.48113531139500293,-0.05927286222206468,True,False,False,True,False,False,False,20260915
p16_bell_texture__v02__s00,p16_bell_texture__v02,p16_bell_texture,0,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p16_bell_texture__v02__s01,p16_bell_texture__v02,p16_bell_texture,1,0.43538717425416684,False,0.3146212634358745,-0.12076591081829235,True,False,False,True,False,False,False,20260915
p16_bell_texture__v02__s02,p16_bell_texture__v02,p16_bell_texture,2,0.5448117651443845,False,0.6131114137121885,0.06829964856780402,False,False,False,True,False,False,False,20260915
p16_bell_texture__v02__s03,p16_bell_texture__v02,p16_bell_texture,3,0.35148909831741026,False,0.16903416975834745,-0.1824549285590628,True,False,False,True,False,False,False,20260915
p16_bell_texture__v02__s04,p16_bell_texture__v02,p16_bell_texture,4,0.5591591946340155,False,0.412621423538041,-0.14653777109597454,True,False,False,True,False,False,False,20260915
p16_bell_texture__v02__s05,p16_bell_texture__v02,p16_bell_texture,5,0.49034818985018985,False,0.3866539527162942,-0.10369423713389564,True,False,False,True,False,False,False,20260915
p16_bell_texture__v02__s06,p16_bell_texture__v02,p16_bell_texture,6,0.43162340415916634,False,0.5520016018343853,0.12037819767521896,False,False,False,True,False,False,False,20260915
p16_bell_texture__v02__s07,p16_bell_texture__v02,p16_bell_texture,7,1.1013857725815888,False,0.9307504483145025,-0.17063532426708627,True,False,False,True,False,False,False,20260915
p16_bell_texture__v03__s00,p16_bell_texture__v03,p16_bell_texture,0,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p16_bell_texture__v03__s01,p16_bell_texture__v03,p16_bell_texture,1,1.042956451590763,False,0.7463289788839064,-0.29662747270685663,True,False,False,True,False,False,False,20260915
p16_bell_texture__v03__s02,p16_bell_texture__v03,p16_bell_texture,2,0.4884658420686023,False,0.0,-0.4884658420686023,True,False,True,True,False,False,False,20260915
p16_bell_texture__v03__s03,p16_bell_texture__v03,p16_bell_texture,3,0.8779019684122432,False,0.0,-0.8779019684122432,True,False,True,True,False,False,False,20260915
p16_bell_texture__v03__s04,p16_bell_texture__v03,p16_bell_texture,4,0.7692509487148097,False,0.8209481617924244,0.05169721307761466,False,False,False,True,False,False,False,20260915
p16_bell_texture__v03__s05,p16_bell_texture__v03,p16_bell_texture,5,0.49889767254892153,False,0.0,-0.49889767254892153,True,False,True,True,False,False,False,20260915
p16_bell_texture__v03__s06,p16_bell_texture__v03,p16_bell_texture,6,0.6263641698536514,False,0.6762859546824803,0.04992178482882892,False,False,False,True,False,False,False,20260915
p16_bell_texture__v03__s07,p16_bell_texture__v03,p16_bell_texture,7,0.9304326997746792,False,0.8393041930232626,-0.0911285067514166,True,False,False,True,False,False,False,20260915
p16_bell_texture__v04__s00,p16_bell_texture__v04,p16_bell_texture,0,0.2674204444929814,False,0.17943988333730132,-0.08798056115568009,True,False,False,True,False,False,False,20260915
p16_bell_texture__v04__s01,p16_bell_texture__v04,p16_bell_texture,1,0.5226728314486386,False,0.37983202021095797,-0.14284081123768066,True,False,False,True,False,False,False,20260915
p16_bell_texture__v04__s02,p16_bell_texture__v04,p16_bell_texture,2,0.7530405519408414,False,0.5919041908568816,-0.1611363610839598,True,False,False,True,False,False,False,20260915
p16_bell_texture__v04__s03,p16_bell_texture__v04,p16_bell_texture,3,0.2141881452719688,False,0.07590387308536631,-0.1382842721866025,True,False,False,True,False,False,False,20260915
p16_bell_texture__v04__s04,p16_bell_texture__v04,p16_bell_texture,4,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p16_bell_texture__v04__s05,p16_bell_texture__v04,p16_bell_texture,5,0.24852561879246754,False,0.17766994456061486,-0.07085567423185268,True,False,False,True,False,False,False,20260915
p16_bell_texture__v04__s06,p16_bell_texture__v04,p16_bell_texture,6,0.7279924855501164,False,0.7959423443794582,0.06794985882934179,False,False,False,True,False,False,False,20260915
p16_bell_texture__v04__s07,p16_bell_texture__v04,p16_bell_texture,7,0.48587453057256674,False,0.34902187709177485,-0.1368526534807919,True,False,False,True,False,False,False,20260915
p16_bell_texture__v05__s00,p16_bell_texture__v05,p16_bell_texture,0,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p16_bell_texture__v05__s01,p16_bell_texture__v05,p16_bell_texture,1,0.24785752342778183,False,0.1167245826044479,-0.13113294082333393,True,False,False,True,False,False,False,20260915
p16_bell_texture__v05__s02,p16_bell_texture__v05,p16_bell_texture,2,1.35,False,1.2378649944780011,-0.11213500552199895,True,False,False,True,False,False,False,20260915
